role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-01-01,12659,12659.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-02-01,8397,8397.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-03-01,21726,21726.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-04-01,13196,13196.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-05-01,11454,11454.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-06-01,22741,22741.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-07-01,7791,7791.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-08-01,13577,13577.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-09-01,2079,2079.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-10-01,2273,2273.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-11-01,15627,15627.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2023-12-01,15750,15750.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-01-01,9969,9969.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-02-01,7604,7604.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-03-01,14481,14481.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-04-01,5065,5065.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-05-01,15230,15230.0,0.0,exact
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,Model 3,2024-06-01,18151,18151.0,0.0,exact
