role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,fetch_status,identity_status,returned_source_name,returned_identity_text,http_status,cache_path,content_sha256,error
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,Model Y,特斯拉美国 特斯拉中国,200,data/raw/alternative_sales_recrawl/icauto/car_1692.html,0f2bc0d02db32fe837d0cd400be07e9112186ad90b9daedcdccfbce1651b2077,
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,Model 3,特斯拉美国 特斯拉中国,200,data/raw/alternative_sales_recrawl/icauto/car_985.html,cf07f10a0186271810bfbfba8c35bdd5b8833a3a8ef824f6519842d3a7af154f,
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,长安CS55 PLUS,长安中国 长安汽车,200,data/raw/alternative_sales_recrawl/icauto/car_1432.html,a9023d989e49a3509b1cec2d007e6e7a15dfcbd77ba9a10bf2f36fe3e951cf53,
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,捷途山海L9,捷途中国 奇瑞汽车,200,data/raw/alternative_sales_recrawl/icauto/car_3495.html,3e7e0bd22e803989d941abf56a7b1fddad859fe0c8d854e6ef0b3beaa507ff86,
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,长安欧尚Z6 智电iDD,长安欧尚中国 长安欧尚,200,data/raw/alternative_sales_recrawl/icauto/car_3067.html,9f8ec12d0a7d0886a039fb9f81d8383ded8af32347381268d5ba6027cc018f4c,
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,威马W6,威马汽车中国 威马汽车,200,data/raw/alternative_sales_recrawl/icauto/car_1845.html,72086cc5c29650db062ab029270ef016b1dbd81523adfb6fe713ba8ddf827470,
target,宝骏530,宝骏530,宝骏,车主手册,https://www.icauto.com.cn/rank/car_101.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,宝骏530,宝骏中国 上汽通用五菱,200,data/raw/alternative_sales_recrawl/icauto/car_101.html,49828a2fb56f20603441fb36c5b76ab3ad6c7cb595c0944b1b6ae91bf842055b,
target,极越01,极越01,极越,车主手册,https://www.icauto.com.cn/rank/car_3078.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,极越01,极越中国 极越,200,data/raw/alternative_sales_recrawl/icauto/car_3078.html,b5ddc004c6ce0b6ef4961aa55b522fdf124bf5fb4d8f74da31bdd8c8c541a9fe,
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,cached,verified,名爵HS,MG名爵英国 上汽集团,200,data/raw/alternative_sales_recrawl/icauto/car_58.html,9d75f36d14f1af909985ee322a809c4001e2e600d818f9188115e59007422dfa,
target,东南DX8 PLUS,东南DX8 PLUS,东南,待映射,,identity_conflict,2026-08-29T11:00:56+08:00,not_mapped,not_checked,,,,,,
target,博骏,博骏,野马汽车,待映射,,needs_mapping,2026-08-29T11:00:56+08:00,not_mapped,not_checked,,,,,,
target,启悦,启悦,铃木,待映射,,needs_mapping,2026-08-29T11:00:56+08:00,not_mapped,not_checked,,,,,,
target,桑塔纳,桑塔纳,大众,待映射,,needs_mapping,2026-08-29T11:00:56+08:00,not_mapped,not_checked,,,,,,
target,荣威RX5 eMAX,荣威RX5 eMAX,荣威,待映射,,needs_mapping,2026-08-29T11:00:56+08:00,not_mapped,not_checked,,,,,,
