role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-01-01,25694
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-02-01,8006
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-03-01,48189
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-04-01,19984
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-05-01,24770
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-06-01,44848
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-07-01,30766
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-08-01,39413
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-09-01,51173
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-10-01,19488
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-11-01,47132
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2025-12-01,65874
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-01-01,29912
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-02-01,22537
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-03-01,47917
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-04-01,26356
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-05-01,39985
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-06-01,41110
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-07-01,36299
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-08-01,45330
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-09-01,48202
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-10-01,36204
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-11-01,44576
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2024-12-01,61881
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-01-01,14184
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-02-01,25526
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-03-01,54937
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-04-01,26760
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-05-01,31054
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-06-01,51471
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-07-01,23632
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-08-01,51117
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-09-01,41428
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-10-01,26353
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-11-01,49877
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T15:42:55+08:00,Model Y,2023-12-01,60055
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-01-01,8009
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-02-01,18771
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-03-01,25938
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-04-01,8747
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-05-01,13818
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-06-01,16636
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-07-01,9851
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-08-01,17739
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-09-01,20352
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-10-01,6518
