series_name,date,original_sales,corrected_sales,source_name,source_url,evidence_status,verified_at,note
Model Y,2026-01-01,0,16845,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m1/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页；不采用批发口径替代
Model Y,2026-02-01,0,25286,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m2/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model Y,2026-03-01,0,39827,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m3/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model Y,2026-04-01,0,22990,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m4/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model Y,2026-05-01,0,28911,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m5/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model Y,2026-06-01,0,38654,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m6/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model 3,2026-01-01,0,1640,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m1/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页；不采用批发口径替代
Model 3,2026-02-01,0,12920,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m2/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model 3,2026-03-01,0,16280,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m3/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model 3,2026-04-01,0,2966,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m4/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model 3,2026-05-01,0,18370,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m5/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model 3,2026-06-01,0,14266,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m6/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页
Model Y,2024-06-01,0,41110,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-07-01,0,36299,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-08-01,0,45330,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-09-01,0,48202,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-10-01,0,36204,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-11-01,0,44576,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2024-12-01,0,61881,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309
Model Y,2025-01-01,0,25694,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-02-01,0,8006,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-03-01,0,48189,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-04-01,0,19984,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-05-01,0,24770,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-06-01,0,44848,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-07-01,0,30766,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
