series_id,series_name,brand,category,in_model_cohort,row_months,raw_positive_months,repaired_positive_months,raw_first_positive_date,raw_last_positive_date,repaired_first_positive_date,repaired_last_positive_date,prelaunch_zero_months,internal_zero_months,longest_internal_zero_run,trailing_zero_months,raw_train_positive_months,raw_test_sales,repaired_test_sales,test_sales_delta,reference_avg_12_before_raw_cutoff,audit_status,current_modeling_action,evidence_url,status_note,flag_never_positive,flag_no_positive_in_training,flag_all_zero_raw_test,flag_all_zero_repaired_test,flag_internal_gap_ge3,flag_recent_trailing_cutoff,flag_high_volume_cutoff,verification_priority,risk_score,verification_reason
30092,长安启源Q05经典,长安启源,SUV,True,54,24,24,2023-12-01,2025-12-01,2023-12-01,2025-12-01,23,1,1,6,18,0,0,0,2016.9166666666667,source_page_stops_before_period,keep_zero_pending_manual,https://price.pcauto.com.cn/salescar/sg30092/,同源页面序列止于2025-12；不可与名称不同的新Q05自动合并,False,False,True,True,False,True,True,high,135,source page stops before audit period; affects 371-series model cohort; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros; high-volume history followed by a zero gap
27551,奥迪Q5 e-tron,奥迪,SUV,True,54,45,45,2022-03-01,2025-12-01,2022-03-01,2025-12-01,2,1,1,6,39,0,0,0,278.1666666666667,source_page_stops_before_period,keep_zero_pending_manual,https://price.pcauto.com.cn/salescar/sg27551/,同源页面序列止于2025-12但未见明确停售标记,False,False,True,True,False,True,False,high,110,source page stops before audit period; affects 371-series model cohort; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
30347,电动MINI COOPER,MINI,轿车,True,54,10,10,2025-03-01,2025-12-01,2025-03-01,2025-12-01,38,0,0,6,4,0,0,0,794.3333333333334,unreviewed,not_reviewed,,,False,False,True,True,False,True,True,high,90,affects 371-series model cohort; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros; high-volume history followed by a zero gap
22904,海马8S,海马郑州,SUV,True,54,28,28,2022-01-01,2025-12-01,2022-01-01,2025-12-01,0,20,6,6,24,0,0,0,123.91666666666667,unreviewed,not_reviewed,,,False,False,True,True,True,True,False,high,77,affects 371-series model cohort; entire repaired test window is zero; internal zero run=6 months; positive in 2025 then at least 6 trailing zeros
26061,奔奔E-Star,长安欧尚,轿车,True,54,40,40,2022-01-01,2025-12-01,2022-01-01,2025-12-01,0,8,4,6,38,0,0,0,233.5,unreviewed,not_reviewed,,,False,False,True,True,True,True,False,high,73,affects 371-series model cohort; entire repaired test window is zero; internal zero run=4 months; positive in 2025 then at least 6 trailing zeros
27201,摩卡,魏牌,SUV,True,54,12,12,2022-01-01,2022-12-01,2022-01-01,2022-12-01,0,0,0,42,12,0,0,0,628.6666666666666,unreviewed,not_reviewed,,,False,False,True,True,False,False,True,high,70,affects 371-series model cohort; entire repaired test window is zero; high-volume history followed by a zero gap
30064,哪吒AYA,哪吒汽车,SUV,False,54,17,17,2023-08-01,2024-12-01,2023-08-01,2024-12-01,19,0,0,18,17,0,0,0,576.75,unresolved,keep_zero_pending_manual,,2024-12后全零；尚未以同口径来源确认生命周期状态,False,False,True,True,False,False,True,high,70,previous high-risk review unresolved; entire repaired test window is zero; high-volume history followed by a zero gap
28842,极越01,极越,SUV,False,54,13,13,2023-12-01,2024-12-01,2023-12-01,2024-12-01,23,0,0,18,13,0,0,0,795.6666666666666,unresolved,keep_zero_pending_manual,,2024-12后全零；尚未以同口径来源确认生命周期状态,False,False,True,True,False,False,True,high,70,previous high-risk review unresolved; entire repaired test window is zero; high-volume history followed by a zero gap
4613,五菱宏光,五菱,SUV,True,54,0,0,,,,,0,0,0,54,0,0,0,0,0.0,unreviewed,not_reviewed,,,True,True,True,True,False,False,False,high,65,affects 371-series model cohort; no positive sales in entire 54-month panel
9604,五菱宏光S,五菱,MPV,True,54,0,0,,,,,0,0,0,54,0,0,0,0,0.0,unreviewed,not_reviewed,,,True,True,True,True,False,False,False,high,65,affects 371-series model cohort; no positive sales in entire 54-month panel
30388,电动MINI ACEMAN,MINI,SUV,True,54,10,10,2025-03-01,2025-12-01,2025-03-01,2025-12-01,38,0,0,6,4,0,0,0,124.41666666666667,unreviewed,not_reviewed,,,False,False,True,True,False,True,False,high,65,affects 371-series model cohort; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
