series_id,series_name,brand,category,row_months,positive_months,zero_months,zero_share,longest_positive_run,train_positive_months,test_positive_months,test_sales_sum,avg_monthly_sales_2024,config_series_name,config_match_method,flag_never_positive,flag_positive_run_lt24,flag_no_positive_before_forecast,flag_all_zero_test,flag_high_2024_then_zero_test
30604,AION RT,埃安,轿车,54,21,33,0.6111111111111112,21,15,6,24297.0,1234.0,AION RT,exact_name,False,True,False,False,False
23867,AION S,埃安,轿车,54,54,0,0.0,54,48,6,13223.0,11651.75,AION S,exact_name,False,False,False,False,False
30636,AION UT,埃安,轿车,54,17,37,0.6851851851851852,17,11,6,11775.0,0.0,AION UT,exact_name,False,True,False,False,False
28742,ARIYA艾睿雅,日产,SUV,54,37,17,0.3148148148148148,28,36,1,7.0,176.16666666666666,ARIYA 艾睿雅,unique_normalized_name,False,False,False,False,False
13018,C4世嘉,雪铁龙,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
9656,DS 5,DS,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
10199,DS 5LS,DS,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
10750,DS 6,DS,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
22407,ENCINO昂希诺,现代,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
30870,EO 羿欧,现代,SUV,54,9,45,0.8333333333333334,9,3,6,487.0,0.0,EO 羿欧,exact_name,False,True,False,False,False
11899,ES210,北汽新能源,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
27583,EVOS,福特,SUV,54,36,18,0.3333333333333333,36,36,0,0.0,74.33333333333333,EVOS,exact_name,False,False,False,True,False
11889,EV系列,北汽新能源,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
11763,GX3,中兴,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
25600,ID.4 CROZZ,大众,SUV,54,54,0,0.0,54,48,6,3405.0,3124.25,ID.4 CROZZ,exact_name,False,False,False,False,False
26993,ID.4 X,大众,SUV,54,54,0,0.0,54,48,6,562.0,2874.8333333333335,ID.4 X,exact_name,False,False,False,False,False
27362,ID.6 CROZZ,大众,SUV,54,49,5,0.09259259259259259,48,48,1,1.0,356.75,ID.6 CROZZ,exact_name,False,False,False,False,False
30835,ID.ERA 9X,大众,SUV,54,3,51,0.9444444444444444,3,0,3,10347.0,0.0,ID. ERA 9X,unique_normalized_name,False,True,True,False,False
30049,IQ傲歌,凯迪拉克,SUV,54,27,27,0.5,27,21,6,73.0,198.83333333333334,IQ傲歌,exact_name,False,False,False,False,False
28281,IQ锐歌,凯迪拉克,SUV,54,48,6,0.1111111111111111,48,42,6,757.0,91.41666666666667,IQ锐歌,exact_name,False,False,False,False,False
12011,K50,开瑞,MPV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
22189,LITE,LITE,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
31221,MG 4X,MG名爵,SUV,54,2,52,0.9629629629629629,2,0,2,4004.0,0.0,,unmatched,False,True,True,False,False
27404,MG Cyberster,MG名爵,轿车,54,30,24,0.4444444444444444,29,24,6,33.0,47.25,,unmatched,False,False,False,False,False
30535,MG ES5,MG名爵,SUV,54,20,34,0.6296296296296297,20,14,6,439.0,124.33333333333333,,unmatched,False,True,False,False,False
28701,MG4,MG名爵,轿车,54,47,7,0.12962962962962962,47,41,6,70753.0,646.0,MG4,exact_name,False,False,False,False,False
7195,MG5,MG名爵,轿车,54,54,0,0.0,54,48,6,13612.0,3936.0833333333335,,unmatched,False,False,False,False,False
3686,MG6,MG名爵,轿车,54,54,0,0.0,54,48,6,114.0,111.0,MG6,exact_name,False,False,False,False,False
1983,MG7,MG名爵,轿车,54,39,15,0.2777777777777778,39,33,6,4445.0,2123.3333333333335,MG7,exact_name,False,False,False,False,False
27044,MG领航新能源,MG名爵,SUV,54,7,47,0.8703703703703703,5,7,0,0.0,0.0,,unmatched,False,True,False,True,False
22634,Mattu,猎豹汽车,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
24824,Model 3,特斯拉,轿车,54,27,27,0.5,18,27,0,0.0,4362.416666666667,Model 3,exact_name,False,True,False,True,True
26651,Model Y,特斯拉,SUV,54,26,28,0.5185185185185185,18,26,0,0.0,13892.25,Model Y,exact_name,False,True,False,True,True
10069,Ottimo致悦,菲亚特,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
30130,PATHFINDER探陆,日产,SUV,54,30,24,0.4444444444444444,30,24,6,1338.0,1015.5,PATHFINDER探陆,exact_name,False,False,False,False,False
29652,Polestar 4,Polestar极星,SUV,54,1,53,0.9814814814814815,1,1,0,0.0,0.0,Polestar 4,exact_name,False,True,False,True,False
27822,QQ冰淇淋,奇瑞新能源,轿车,54,54,0,0.0,54,48,6,4949.0,3360.9166666666665,QQ冰淇淋,exact_name,False,False,False,False,False
3715,RAV4荣放,丰田,SUV,54,54,0,0.0,54,48,6,68874.0,16116.833333333334,RAV4荣放,exact_name,False,False,False,False,False
22937,SITECH DEV 1,新特,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
24136,SWM斯威X2,SWM斯威汽车,MPV,54,10,44,0.8148148148148148,6,10,0,0.0,0.0,,unmatched,False,True,False,True,False
20582,SWM斯威X7,SWM斯威汽车,SUV,54,13,41,0.7592592592592593,6,13,0,0.0,0.0,,unmatched,False,True,False,True,False
22663,T-ROC探歌,大众,SUV,54,54,0,0.0,54,48,6,13741.0,4578.666666666667,T-ROC探歌,exact_name,False,False,False,False,False
3337,V3菱悦,东南,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
12764,V5 plus,东南,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
7542,V5菱致,东南,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
8129,V6菱仕,东南,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
21072,VELITE 5,别克,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
22184,WEY P8,魏牌,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
9509,Yeti,斯柯达,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
29761,e:NP2 极湃2,本田,SUV,54,25,29,0.5370370370370371,21,20,5,30.0,224.5,,unmatched,False,True,False,False,False
30207,eπ007,东风奕派,轿车,54,28,26,0.48148148148148145,28,22,6,6100.0,2224.0833333333335,eπ007,exact_name,False,False,False,False,False
26592,e爱丽舍,东风富康,轿车,54,52,2,0.037037037037037035,28,46,6,3796.0,419.9166666666667,e爱丽舍,exact_name,False,False,False,False,False
30673,firefly萤火虫,firefly萤火虫,轿车,54,15,39,0.7222222222222222,15,9,6,28951.0,0.0,firefly萤火虫,exact_name,False,True,False,False,False
29436,iCAR 03,iCAR,SUV,54,25,29,0.5370370370370371,25,25,0,0.0,3779.3333333333335,iCAR 03,exact_name,False,False,False,True,True
11920,mu-X牧游侠,五十铃,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
31114,smart精灵#6 EHD,smart,轿车,54,2,52,0.9629629629629629,2,0,2,331.0,0.0,,unmatched,False,True,True,False,False
14192,上汽大通MAXUS D90,大通,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
13500,上汽大通MAXUS EG10,大通,MPV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
29236,世纪,别克,MPV,54,44,10,0.18518518518518517,44,38,6,1614.0,904.75,世纪,exact_name,False,False,False,False,False
23694,世锐PHEV,广汽集团,SUV,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
4018,丘比特,海马,轿车,54,0,54,1.0,0,0,0,0.0,0.0,,unmatched,True,True,True,True,False
