status,match_method,normalized_key,sales_series_name,series_id,source_series_id,brand,config_series_name,config_series_id,brand_name
matched,exact_name,aionrt,AION RT,30604.0,sg30604,埃安,AION RT,24800,埃安
matched,exact_name,aions,AION S,23867.0,sg23867,埃安,AION S,3101,埃安
matched,exact_name,aionut,AION UT,30636.0,sg30636,埃安,AION UT,25014,埃安
matched,exact_name,eo羿欧,EO 羿欧,30870.0,sg30870,现代,EO 羿欧,25427,现代
matched,exact_name,evos,EVOS,27583.0,sg27583,福特,EVOS,sg27583,福特
matched,exact_name,id4crozz,ID.4 CROZZ,25600.0,sg25600,大众,ID.4 CROZZ,4586,大众
matched,exact_name,id4x,ID.4 X,26993.0,sg26993,大众,ID.4 X,4258,大众
matched,exact_name,id6crozz,ID.6 CROZZ,27362.0,sg27362,大众,ID.6 CROZZ,sg27362,大众
matched,exact_name,iq傲歌,IQ傲歌,30049.0,sg30049,凯迪拉克,IQ傲歌,9186,凯迪拉克
matched,exact_name,iq锐歌,IQ锐歌,28281.0,sg28281,凯迪拉克,IQ锐歌,5358,凯迪拉克
matched,exact_name,mg4,MG4,28701.0,sg28701,MG名爵,MG4,sg28701,MG名爵
matched,exact_name,mg6,MG6,3686.0,sg3686,MG名爵,MG6,sg3686,MG名爵
matched,exact_name,mg7,MG7,1983.0,sg1983,MG名爵,MG7,sg1983,MG名爵
matched,exact_name,model3,Model 3,24824.0,sg24824,特斯拉,Model 3,3762,特斯拉
matched,exact_name,modely,Model Y,26651.0,sg26651,特斯拉,Model Y,4363,特斯拉
matched,exact_name,pathfinder探陆,PATHFINDER探陆,30130.0,sg30130,日产,PATHFINDER探陆,sg30130,日产
matched,exact_name,polestar4,Polestar 4,29652.0,sg29652,Polestar极星,Polestar 4,5832,Polestar极星
matched,exact_name,qq冰淇淋,QQ冰淇淋,27822.0,sg27822,奇瑞新能源,QQ冰淇淋,sg27822,奇瑞新能源
matched,exact_name,rav4荣放,RAV4荣放,3715.0,sg3715,丰田,RAV4荣放,546,丰田
matched,exact_name,troc探歌,T-ROC探歌,22663.0,sg22663,大众,T-ROC探歌,sg22663,大众
matched,exact_name,eπ007,eπ007,30207.0,sg30207,东风奕派,eπ007,sg30207,东风奕派
matched,exact_name,e爱丽舍,e爱丽舍,26592.0,sg26592,东风富康,e爱丽舍,4391,东风富康
matched,exact_name,firefly萤火虫,firefly萤火虫,30673.0,sg30673,firefly萤火虫,firefly萤火虫,25116,firefly萤火虫
matched,exact_name,icar03,iCAR 03,29436.0,sg29436,iCAR,iCAR 03,sg29436,iCAR
matched,exact_name,世纪,世纪,29236.0,sg29236,别克,世纪,5935,别克
matched,exact_name,东风本田s7,东风本田S7,30424.0,sg30424,本田,东风本田S7,10128,本田
matched,exact_name,丰田bz3,丰田bZ3,29117.0,sg29117,丰田,丰田bZ3,6126,丰田
matched,exact_name,丰田bz5,丰田bZ5,30455.0,sg30455,丰田,丰田bZ5,25314,丰田
matched,exact_name,五菱佳辰,五菱佳辰,28681.0,sg28681,五菱,五菱佳辰,sg28681,五菱汽车
