series_name,date,original_sales,corrected_sales,source_name,source_url,evidence_status,verified_at,note,sales_delta
Model 3,2022-01-01,26548,2988,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面124456一致,-23560
Model 3,2022-02-01,24112,4607,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面124456一致,-19505
Model 3,2022-10-01,0,2809,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量124456一致,2809
Model 3,2022-11-01,0,10069,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量124456一致,10069
Model 3,2024-06-01,0,18151,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,18151
Model 3,2024-07-01,0,9928,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,9928
Model 3,2024-08-01,0,18126,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,18126
Model 3,2024-09-01,0,23998,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,23998
Model 3,2024-10-01,0,4281,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,4281
Model 3,2024-11-01,0,28914,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,28914
Model 3,2024-12-01,0,21046,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793,21046
Model 3,2025-01-01,0,8009,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,8009
Model 3,2025-02-01,0,18771,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,18771
Model 3,2025-03-01,0,25938,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,25938
Model 3,2025-04-01,0,8747,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,8747
Model 3,2025-05-01,0,13818,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,13818
Model 3,2025-06-01,0,16636,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,16636
Model 3,2025-07-01,0,9851,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,9851
Model 3,2025-08-01,0,17739,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,17739
Model 3,2025-09-01,0,20352,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,20352
Model 3,2025-10-01,0,6518,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,6518
Model 3,2025-11-01,0,26013,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,26013
Model 3,2025-12-01,0,27969,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致,27969
Model 3,2026-01-01,0,1640,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m1/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页；不采用批发口径替代,1640
Model 3,2026-02-01,0,12920,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m2/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,12920
Model 3,2026-03-01,0,16280,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m3/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,16280
Model 3,2026-04-01,0,2966,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m4/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,2966
Model 3,2026-05-01,0,18370,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m5/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,18370
Model 3,2026-06-01,0,14266,太平洋汽车,https://price.pcauto.com.cn/salescar/sg24824/y2026-m6/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,14266
Model Y,2022-01-01,33297,16358,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面315314一致,-16939
Model Y,2022-02-01,32403,18593,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面315314一致,-13810
Model Y,2022-09-01,0,46694,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致,46694
Model Y,2022-10-01,0,14391,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致,14391
Model Y,2022-11-01,0,52424,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致,52424
Model Y,2024-06-01,0,41110,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,41110
Model Y,2024-07-01,0,36299,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,36299
Model Y,2024-08-01,0,45330,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,45330
Model Y,2024-09-01,0,48202,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,48202
Model Y,2024-10-01,0,36204,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,36204
Model Y,2024-11-01,0,44576,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,44576
Model Y,2024-12-01,0,61881,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计480309,61881
Model Y,2025-01-01,0,25694,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,25694
Model Y,2025-02-01,0,8006,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,8006
Model Y,2025-03-01,0,48189,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,48189
Model Y,2025-04-01,0,19984,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,19984
Model Y,2025-05-01,0,24770,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,24770
Model Y,2025-06-01,0,44848,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,44848
Model Y,2025-07-01,0,30766,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,30766
Model Y,2025-08-01,0,39413,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,39413
Model Y,2025-09-01,0,51173,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,51173
Model Y,2025-10-01,0,19488,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,19488
Model Y,2025-11-01,0,47132,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,47132
Model Y,2025-12-01,0,65874,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致,65874
Model Y,2026-01-01,0,16845,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m1/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页；不采用批发口径替代,16845
Model Y,2026-02-01,0,25286,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m2/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,25286
Model Y,2026-03-01,0,39827,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m3/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,39827
Model Y,2026-04-01,0,22990,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m4/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,22990
Model Y,2026-05-01,0,28911,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m5/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,28911
Model Y,2026-06-01,0,38654,太平洋汽车,https://price.pcauto.com.cn/salescar/sg26651/y2026-m6/,verified_same_source,2026-08-28,同一车系同一来源的月度销量页,38654
五菱宏光,2024-12-01,0,4,车主手册 + 太平洋汽车,https://www.icauto.com.cn/rank/car_2868.html | https://m.pcauto.com.cn/x/5105/51055541.html,verified_cross_source_consensus,2026-08-29,两个页面的年度同比表均为4；精确匹配五菱宏光与上汽通用五菱，不合并五菱宏光S或宏光MINIEV,4
五菱宏光,2025-01-01,0,1,车主手册 + 太平洋汽车,https://www.icauto.com.cn/rank/car_2868.html | https://m.pcauto.com.cn/x/5105/51055541.html,verified_cross_source_consensus,2026-08-29,两个页面的年度同比表均为1；精确匹配五菱宏光与上汽通用五菱，不合并五菱宏光S或宏光MINIEV,1
五菱宏光,2025-12-01,0,86,车主手册 + 太平洋汽车,https://www.icauto.com.cn/rank/car_2868.html | https://m.pcauto.com.cn/x/5105/51055541.html,verified_cross_source_consensus,2026-08-29,两个页面的年度同比表均为86且2025年合计87；精确匹配五菱宏光与上汽通用五菱,86
五菱宏光S,2026-06-01,0,2215,太平洋汽车,https://price.pcauto.com.cn/salescar/sg9604/y2026-m6/,verified_same_source,2026-08-28,批量回采试点命中；车系ID和页面名称均精确一致，半年页与厂商汇总页数值一致,2215
