segment_type,segment,series,actual_volume,baseline_global_WMAPE,selected_feedback_global_WMAPE,improvement_pp
history_group,cold_start,13,38778.0,98.49215243070314,97.20531821562557,1.2868342150775676
history_group,historical,358,5256743.0,38.65833806665094,37.96533117926522,0.6930068873857217
sentiment_coverage,no_prior_review,41,430137.0,45.86162782818979,44.720828511413444,1.1407993167763375
sentiment_coverage,prior_but_not_recent,58,240280.0,36.770695836416756,36.85039360030297,-0.07969776388621774
sentiment_coverage,recent_180d,272,4625104.0,38.588155186510484,37.89167144378917,0.696483742721313
actual_volume_quartile,Q1_low,93,9057.0,486.5249263209491,446.71571232601417,39.809213994934964
actual_volume_quartile,Q2,93,149743.0,99.01911444104185,97.72737778364849,1.291736657393362
actual_volume_quartile,Q3,92,792561.0,52.957974000534236,50.4362487873709,2.5217252131633408
actual_volume_quartile,Q4_high,93,4344160.0,33.56920011398924,33.30671937403057,0.2624807399586636
vehicle_category,MPV,51,317987.0,36.51990364259795,35.89184600718185,0.628057635416105
vehicle_category,SUV,134,2067236.0,32.40756294863613,32.93784907010977,-0.5302861214736468
vehicle_category,轿车,186,2910298.0,44.12927518459386,42.55233276883211,1.5769424157617513
