version,date,actual_volume,absolute_error,global_volume_weighted_WMAPE,baseline_month_WMAPE,improvement_vs_base_pp
ALL_SENTIMENT_FIXED,2026-01-01,985398.0,463491.1283957064,47.03593151150159,46.96364815011383,-0.07228336138775404
BASE,2026-01-01,985398.0,462778.84959825873,46.96364815011383,46.96364815011383,0.0
LOCAL_LEXICON_FIXED,2026-01-01,985398.0,458728.294371482,46.5525903616084,46.96364815011383,0.4110577885054312
PLATFORM_RATING_FIXED,2026-01-01,985398.0,459956.8732922971,46.677268808369526,46.96364815011383,0.2863793417443077
REVIEW_RICH_FIXED,2026-01-01,985398.0,461289.8835505247,46.8125451391747,46.96364815011383,0.15110301093913137
REVIEW_TEXT_FIXED,2026-01-01,985398.0,453397.43774283305,46.011605233908845,46.96364815011383,0.9520429162049879
REVIEW_TEXT_ROLLING,2026-01-01,985398.0,453397.43774283305,46.011605233908845,46.96364815011383,0.9520429162049879
ALL_SENTIMENT_FIXED,2026-02-01,658150.0,321701.924390018,48.87972717313956,47.11218548430993,-1.767541688829624
BASE,2026-02-01,658150.0,310068.8487649858,47.11218548430993,47.11218548430993,0.0
LOCAL_LEXICON_FIXED,2026-02-01,658150.0,300204.86295475066,45.61344115395436,47.11218548430993,1.4987443303555708
PLATFORM_RATING_FIXED,2026-02-01,658150.0,298263.4544066191,45.31846150674148,47.11218548430993,1.7937239775684546
REVIEW_RICH_FIXED,2026-02-01,658150.0,305548.00980667025,46.42528448023555,47.11218548430993,0.6869010040743859
REVIEW_TEXT_FIXED,2026-02-01,658150.0,304345.38950153627,46.24255709208178,47.11218548430993,0.8696283922281509
REVIEW_TEXT_ROLLING,2026-02-01,658150.0,306075.6618488971,46.5054564839166,47.11218548430993,0.6067290003933294
ALL_SENTIMENT_FIXED,2026-03-01,1057736.0,340270.3122362159,32.16968243836041,31.136966288646278,-1.0327161497141333
BASE,2026-03-01,1057736.0,329346.9017428756,31.136966288646278,31.136966288646278,0.0
LOCAL_LEXICON_FIXED,2026-03-01,1057736.0,320789.38799859956,30.32792568264667,31.136966288646278,0.8090406059996091
PLATFORM_RATING_FIXED,2026-03-01,1057736.0,316411.08919772133,29.91399453150137,31.136966288646278,1.222971757144908
REVIEW_RICH_FIXED,2026-03-01,1057736.0,324785.1972135776,30.70569567581869,31.136966288646278,0.43127061282758916
REVIEW_TEXT_FIXED,2026-03-01,1057736.0,335076.4095397503,31.678642831457974,31.136966288646278,-0.5416765428116967
REVIEW_TEXT_ROLLING,2026-03-01,1057736.0,340009.5677411319,32.145031249870655,31.136966288646278,-1.0080649612243775
ALL_SENTIMENT_FIXED,2026-04-01,814014.0,353351.80454267,43.408566012706174,41.018434052983984,-2.39013195972219
BASE,2026-04-01,814014.0,333895.795772057,41.018434052983984,41.018434052983984,0.0
LOCAL_LEXICON_FIXED,2026-04-01,814014.0,325490.7627675794,39.98589247452494,41.018434052983984,1.0325415784590461
PLATFORM_RATING_FIXED,2026-04-01,814014.0,328012.8713208027,40.295728491254785,41.018434052983984,0.7227055617291995
REVIEW_RICH_FIXED,2026-04-01,814014.0,327839.0421642121,40.27437392529024,41.018434052983984,0.7440601276937429
REVIEW_TEXT_FIXED,2026-04-01,814014.0,316993.3750353828,38.942005301552896,41.018434052983984,2.076428751431088
REVIEW_TEXT_ROLLING,2026-04-01,814014.0,313892.6488925293,38.56108726539461,41.018434052983984,2.4573467875893726
ALL_SENTIMENT_FIXED,2026-05-01,868506.0,329331.9641634673,37.919365457862966,36.29469711110932,-1.6246683467536442
BASE,2026-05-01,868506.0,315221.62209181115,36.29469711110932,36.29469711110932,0.0
LOCAL_LEXICON_FIXED,2026-05-01,868506.0,310608.94237555354,35.76359200460947,36.29469711110932,0.5311051064998509
PLATFORM_RATING_FIXED,2026-05-01,868506.0,303307.3064763914,34.922879804675084,36.29469711110932,1.371817306434238
REVIEW_RICH_FIXED,2026-05-01,868506.0,305905.6277820654,35.22205117547437,36.29469711110932,1.0726459356349523
REVIEW_TEXT_FIXED,2026-05-01,868506.0,309093.29447209183,35.58907992254421,36.29469711110932,0.7056171885651139
REVIEW_TEXT_ROLLING,2026-05-01,868506.0,317824.77923994604,36.59442528202984,36.29469711110932,-0.29972817092051685
ALL_SENTIMENT_FIXED,2026-06-01,911717.0,379075.3690890679,41.578183700541715,40.29974394973651,-1.2784397508052052
BASE,2026-06-01,911717.0,367419.6165462192,40.29974394973651,40.29974394973651,0.0
LOCAL_LEXICON_FIXED,2026-06-01,911717.0,356075.8017372461,39.05551851476348,40.29974394973651,1.244225434973032
PLATFORM_RATING_FIXED,2026-06-01,911717.0,348887.6392561537,38.26709815174596,40.29974394973651,2.032645797990547
REVIEW_RICH_FIXED,2026-06-01,911717.0,356472.8876162376,39.099072148072,40.29974394973651,1.2006718016645124
REVIEW_TEXT_FIXED,2026-06-01,911717.0,343387.73002918623,37.66385073758482,40.29974394973651,2.635893212151686
REVIEW_TEXT_ROLLING,2026-06-01,911717.0,351343.00034083985,38.53640991018483,40.29974394973651,1.7633340395516797
