series_name,actual_volume,cold_start,has_prior_review,has_recent_180d_review,absolute_error_BASE,absolute_error_PLATFORM_RATING_FIXED,series_WMAPE_BASE,series_WMAPE_PLATFORM_RATING_FIXED,brand,category,WMAPE_improvement_pp,absolute_error_reduction,share_of_best_total_absolute_error,history_group,sentiment_coverage_group,pre_test_volume_quartile
小米SU7,80496.0,False,1,1,63206.3642578125,61690.07958984375,78.52112435128764,76.63744731395815,小米汽车,轿车,1.883677037329491,1516.28466796875,0.030581659691377026,historical,recent_180d,Q4_high
秦PLUS,68369.0,False,1,1,77182.12890625,57636.259765625,112.8905335842999,84.30174460007458,比亚迪,轿车,28.588788984225317,19545.869140625,0.028572057189019003,historical,recent_180d,Q4_high
宏光MINIEV,72799.0,False,1,1,54575.20703125,42189.4296875,74.96697349036387,57.95330936894738,五菱,轿车,17.01366412141649,12385.77734375,0.020914590965916306,historical,recent_180d,Q4_high
Model Y,172513.0,False,1,1,37490.880859375,38371.53515625,21.7322061869975,22.242691945679454,特斯拉,SUV,-0.510485758681952,-880.654296875,0.01902194384876979,historical,recent_180d,Q4_high
元UP,82670.0,False,1,1,34314.4228515625,34936.8056640625,41.507708783794,42.2605608613312,比亚迪,SUV,-0.7528520775371987,-622.3828125,0.01731924336336942,historical,recent_180d,Q4_high
轩逸,95129.0,False,1,1,38161.765625,34234.962890625,40.11580656266753,35.98793521494497,日产,轿车,4.127871347722561,3926.802734375,0.016971318429622836,historical,recent_180d,Q4_high
长安CS75 PLUS,72962.0,False,1,1,29043.583984375,32381.47607421875,39.806452652579424,44.381288991829656,长安,SUV,-4.574836339250233,-3337.89208984375,0.01605248831238756,historical,recent_180d,Q4_high
Model 3,66442.0,False,1,1,28400.9208984375,28779.248046875,42.7454334584111,43.31484309153096,特斯拉,轿车,-0.5694096331198608,-378.3271484375,0.014266753678952214,historical,recent_180d,Q4_high
长安Lumin,11826.0,False,1,1,30731.36376953125,28526.2802734375,259.86270733579613,241.21664361100542,长安启源,轿车,18.646063724790707,2205.08349609375,0.014141349814804426,historical,recent_180d,Q4_high
MG4,70753.0,False,1,1,25922.59912109375,27407.3349609375,36.638162510556086,38.73664008725778,MG名爵,轿车,-2.098477576701697,-1484.73583984375,0.013586654392337015,historical,recent_180d,Q4_high
雅阁,40401.0,False,1,1,28203.4482421875,26992.0546875,69.80878751067424,66.81036283136555,本田,轿车,2.998424679308684,1211.3935546875,0.013380787256433718,historical,recent_180d,Q4_high
星瑞,65657.0,False,1,1,24606.68017578125,26752.76416015625,37.477618800403995,40.74624816875009,吉利汽车,轿车,-3.2686293683460974,-2146.083984375,0.013262163621592412,historical,recent_180d,Q4_high
驱逐舰05,4388.0,False,1,1,28827.73876953125,26267.3662109375,656.9676109738207,598.6181907688582,比亚迪,轿车,58.349420204962485,2560.37255859375,0.013021537008746479,historical,recent_180d,Q4_high
海狮06EV,63270.0,False,1,1,23602.1884765625,25551.2001953125,37.3039173013474,40.38438469308124,比亚迪,SUV,-3.0804673917338405,-1949.01171875,0.012666511605667265,historical,recent_180d,Q4_high
星越L,77254.0,False,1,1,26643.53515625,24820.0498046875,34.488227349069305,32.12785073224364,吉利汽车,SUV,2.3603766168256683,1823.4853515625,0.012304057989494717,historical,recent_180d,Q4_high
宋PLUS新能源,1498.0,False,1,1,22913.113525390625,24780.35888671875,1529.5803421489068,1654.2295652015189,比亚迪,SUV,-124.64922305261211,-1867.245361328125,0.012284381987222894,historical,recent_180d,Q4_high
速腾,84591.0,False,1,1,24431.185546875,24544.41015625,28.88154241807639,29.015391893050086,大众,轿车,-0.13384947497369737,-113.224609375,0.01216741498332563,historical,recent_180d,Q4_high
海豚,69113.0,False,1,1,20746.9248046875,24258.06640625,30.018845665341544,35.099136785047676,比亚迪,轿车,-5.080291119706132,-3511.1416015625,0.0120254656265494,historical,recent_180d,Q4_high
宋Pro新能源,76298.0,False,1,1,18568.484375,23544.6357421875,24.33679044666964,30.858784951358487,比亚迪,SUV,-6.521994504688848,-4976.1513671875,0.01167179622092029,historical,recent_180d,Q4_high
海鸥,55105.0,False,1,1,24006.4306640625,22629.5517578125,43.564886424212865,41.06624037349151,比亚迪,轿车,2.498646050721355,1376.87890625,0.01121816109538233,historical,recent_180d,Q4_high
朗逸,100465.0,False,1,1,23312.2802734375,21898.86328125,23.20437990687055,21.79750488354153,大众,轿车,1.4068750233290181,1413.4169921875,0.010855936464141557,historical,recent_180d,Q4_high
长安X5 PLUS,50256.0,False,1,1,20647.3427734375,20481.404296875,41.084333758033864,40.75414735927054,长安,SUV,0.330186398763324,165.9384765625,0.010153258682319116,historical,recent_180d,Q4_high
帕萨特,80040.0,False,1,1,20966.958984375,20182.7919921875,26.19560093000375,25.21588204920977,大众,轿车,0.9797188807939783,784.1669921875,0.010005227427661531,historical,recent_180d,Q4_high
小鹏MONA M03,62312.0,False,0,0,21975.8759765625,19833.9833984375,35.267486160871904,31.830118433748716,小鹏,轿车,3.4373677271231884,2141.892578125,0.009832312336897952,historical,no_prior_review,Q4_high
