version,scenario,coverage_group,test_rows,test_series,actual_volume,global_volume_weighted_WMAPE,median_per_series_WMAPE
ALL_SENTIMENT_FIXED,fixed_origin_primary,all_test_rows,2226,371,5295521.0,38.803367706039666,48.77357070955808
ALL_SENTIMENT_FIXED,fixed_origin_primary,historical_series,2148,358,5256743.0,38.366920311024685,47.61000070622744
ALL_SENTIMENT_FIXED,fixed_origin_primary,cold_start_series,78,13,38778.0,97.96814641080103,99.23299677043374
ALL_SENTIMENT_FIXED,fixed_origin_primary,any_prior_review,1980,330,4865384.0,38.05068569520117,47.675200087738446
ALL_SENTIMENT_FIXED,fixed_origin_primary,no_prior_review,246,41,430137.0,47.31713660437078,75.2277284389103
ALL_SENTIMENT_FIXED,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,38.15128507049268,44.155896752605756
ALL_SENTIMENT_FIXED,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,43.30198573929192,72.76143180295682
BASE,fixed_origin_primary,all_test_rows,2226,371,5295521.0,39.09648865719892,47.72229375302723
BASE,fixed_origin_primary,historical_series,2148,358,5256743.0,38.65833806665094,44.83449785615211
BASE,fixed_origin_primary,cold_start_series,78,13,38778.0,98.49215243070314,99.77540741040015
BASE,fixed_origin_primary,any_prior_review,1980,330,4865384.0,38.49839883169028,44.89718402724668
BASE,fixed_origin_primary,no_prior_review,246,41,430137.0,45.86162782818979,75.3205857655877
BASE,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,38.588155186510484,42.591239374404694
BASE,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,42.60340326201199,71.61504626274109
LOCAL_LEXICON_FIXED,fixed_origin_primary,all_test_rows,2226,371,5295521.0,39.0664751504813,46.937079002366666
LOCAL_LEXICON_FIXED,fixed_origin_primary,historical_series,2148,358,5256743.0,38.63070103148669,44.71462566778648
LOCAL_LEXICON_FIXED,fixed_origin_primary,cold_start_series,78,13,38778.0,98.13998460445332,98.6775905643619
LOCAL_LEXICON_FIXED,fixed_origin_primary,any_prior_review,1980,330,4865384.0,38.43350971771072,44.918208104258426
LOCAL_LEXICON_FIXED,fixed_origin_primary,no_prior_review,246,41,430137.0,46.226100779420676,76.69698982337917
LOCAL_LEXICON_FIXED,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,38.53881537512363,41.0676068848754
LOCAL_LEXICON_FIXED,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,42.70671896536947,70.12171638187375
PLATFORM_RATING_FIXED,fixed_origin_primary,all_test_rows,2226,371,5295521.0,38.39913329567567,46.884310812262356
PLATFORM_RATING_FIXED,fixed_origin_primary,historical_series,2148,358,5256743.0,37.96533117926522,44.93846883392706
PLATFORM_RATING_FIXED,fixed_origin_primary,cold_start_series,78,13,38778.0,97.20531821562557,98.78589915779402
PLATFORM_RATING_FIXED,fixed_origin_primary,any_prior_review,1980,330,4865384.0,37.84024729304735,45.0421029342251
PLATFORM_RATING_FIXED,fixed_origin_primary,no_prior_review,246,41,430137.0,44.720828511413444,75.50209234100859
PLATFORM_RATING_FIXED,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,37.89167144378917,42.991445795394725
PLATFORM_RATING_FIXED,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,41.90003473613385,72.1670919389867
REVIEW_RICH_FIXED,fixed_origin_primary,all_test_rows,2226,371,5295521.0,40.2130796693691,48.87184766853381
REVIEW_RICH_FIXED,fixed_origin_primary,historical_series,2148,358,5256743.0,39.779073817040775,45.8624561708645
REVIEW_RICH_FIXED,fixed_origin_primary,cold_start_series,78,13,38778.0,99.04688301626523,99.82792942457603
REVIEW_RICH_FIXED,fixed_origin_primary,any_prior_review,1980,330,4865384.0,39.649177184667714,45.87263427261651
REVIEW_RICH_FIXED,fixed_origin_primary,no_prior_review,246,41,430137.0,46.59151753132095,79.01014280533275
REVIEW_RICH_FIXED,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,39.80771222636191,44.097754385777655
REVIEW_RICH_FIXED,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,43.00964745049984,69.30505493917755
REVIEW_TEXT_FIXED,fixed_origin_primary,all_test_rows,2226,371,5295521.0,39.272694084150736,47.984476570524905
REVIEW_TEXT_FIXED,fixed_origin_primary,historical_series,2148,358,5256743.0,38.83055119592292,46.62662807748918
REVIEW_TEXT_FIXED,fixed_origin_primary,cold_start_series,78,13,38778.0,99.20955345522043,99.79888191003174
REVIEW_TEXT_FIXED,fixed_origin_primary,any_prior_review,1980,330,4865384.0,38.75480003259281,47.36521935036579
REVIEW_TEXT_FIXED,fixed_origin_primary,no_prior_review,246,41,430137.0,45.130719392703796,86.27899009261918
REVIEW_TEXT_FIXED,fixed_origin_primary,recent_180d_review,1632,272,4625104.0,38.895069551517395,43.507641350043976
REVIEW_TEXT_FIXED,fixed_origin_primary,no_recent_180d_review,594,99,670417.0,41.87786778407271,70.04400013449663
REVIEW_TEXT_ROLLING,rolling_origin_supplement,all_test_rows,2226,371,5295521.0,39.26428922552871,48.762909162378506
REVIEW_TEXT_ROLLING,rolling_origin_supplement,historical_series,2148,358,5256743.0,38.82564900360207,46.40102340320734
REVIEW_TEXT_ROLLING,rolling_origin_supplement,cold_start_series,78,13,38778.0,98.72632739488381,97.8443834442681
REVIEW_TEXT_ROLLING,rolling_origin_supplement,any_prior_review,2001,339,4889696.0,39.05758336031468,47.6716951544681
REVIEW_TEXT_ROLLING,rolling_origin_supplement,no_prior_review,225,41,405825.0,41.75484264711076,86.27899009261918
REVIEW_TEXT_ROLLING,rolling_origin_supplement,recent_180d_review,1628,300,4715357.0,38.86119843019162,43.75164023813905
REVIEW_TEXT_ROLLING,rolling_origin_supplement,no_recent_180d_review,598,136,580164.0,42.540461141449505,70.00109973165112
