feature,feature_family,mean_abs_shap_log_sales,mean_signed_shap_log_sales,nonmissing_test_rows,rank,share_of_total_abs_shap
lag_1,sales_lag_roll,1.5207938,0.04680961,2226,1,0.5607317
roll_mean_3,sales_lag_roll,0.4030615,0.21401186,2226,2,0.14861277
lag_2,sales_lag_roll,0.12800854,0.111286804,2226,3,0.047198016
roll_mean_6,sales_lag_roll,0.097390205,0.06067301,2226,4,0.035908733
month_sin,calendar,0.07849067,-0.052758023,2226,5,0.028940285
month_cos,calendar,0.0702513,0.0013451583,2226,6,0.02590235
sentiment_review_count_180d,review_observation_context,0.057236265,0.05002468,2226,7,0.021103578
sentiment_review_count_prior_all,review_observation_context,0.048108857,-0.013839736,2226,8,0.017738212
trunk_volume_l,configuration,0.026182577,0.01662984,2226,9,0.009653775
platform_rating_configuration_sentiment_180d_mean,platform_rating_scores,0.025124574,0.021305477,1398,10,0.009263679
height_mm,configuration,0.02157803,0.0061064567,2226,11,0.007956034
energy_type_enc,configuration,0.020745642,0.018634014,2226,12,0.0076491237
lag_3,sales_lag_roll,0.01573666,0.011217744,2226,13,0.005802262
platform_rating_interior_sentiment_180d_mean,platform_rating_scores,0.01316469,0.009306723,1632,14,0.0048539513
curb_weight_kg,configuration,0.012704351,0.0069225146,2226,15,0.00468422
platform_rating_appearance_sentiment_180d_mean,platform_rating_scores,0.011962211,0.00832817,1632,16,0.0044105854
length_mm,configuration,0.01122088,0.004962742,2226,17,0.004137249
gearbox_type_enc,configuration,0.010570636,0.007966279,2226,18,0.0038974981
year,calendar,0.010474414,-0.0103652505,2226,19,0.0038620199
vehicle_class_enc,configuration,0.010398859,0.008812472,2226,20,0.0038341621
official_price_wan,configuration,0.010109767,0.0046484107,2226,21,0.0037275713
width_mm,configuration,0.009705693,-0.001067774,2226,22,0.003578585
brand_name_enc,configuration,0.008997043,0.0026970806,2226,23,0.0033172986
fuel_consumption_l_100km,configuration,0.00863172,0.00430617,2226,24,0.0031826007
acceleration_0_100_s,configuration,0.008114816,0.0031726384,2226,25,0.0029920128
platform_rating_power_sentiment_180d_mean,platform_rating_scores,0.0077217803,0.00045614075,504,26,0.0028470969
wheelbase_mm,configuration,0.0074135824,0.0032837163,2226,27,0.002733461
platform_rating_space_sentiment_180d_mean,platform_rating_scores,0.007341484,0.003956513,1632,28,0.002706878
battery_range_km,configuration,0.006301616,0.0002056125,2226,29,0.0023234682
battery_capacity_kwh,configuration,0.0060438253,0.0040275287,2226,30,0.0022284181
platform_rating_overall_sentiment_180d_mean,platform_rating_scores,0.005970085,-0.0004416683,1632,31,0.0022012293
engine_max_torque_nm,configuration,0.0051330356,0.0005272385,2226,32,0.001892601
engine_max_power_kw,configuration,0.0047988687,-9.055397e-05,2226,33,0.0017693903
body_structure_enc,configuration,0.0038930583,-0.00041236315,2226,34,0.0014354091
sentiment_available_prior,review_observation_context,0.0031706807,-0.0013871136,2226,35,0.0011690614
seat_material_enc,configuration,0.0026174767,0.0015106715,2226,36,0.0009650896
platform_rating_fuel_consumption_sentiment_180d_mean,platform_rating_scores,0.0026010482,0.0004027884,1050,37,0.0009590322
seat_count,configuration,0.0025862476,0.0013395983,2226,38,0.0009535751
platform_rating_control_sentiment_180d_mean,platform_rating_scores,0.002412159,0.0006538695,276,39,0.00088938687
platform_rating_overall_polarity_180d_mean,platform_rating_scores,0.0023742323,0.00027338177,1632,40,0.00087540294
platform_rating_comfort_sentiment_180d_mean,platform_rating_scores,0.0023660387,0.0015095838,276,41,0.0008723819
door_count,configuration,0.0006238175,-0.00036875627,2226,42,0.00023000769
sentiment_available_180d,review_observation_context,2.6719228e-05,2.6719228e-05,2226,43,9.851644e-06
