feature,gain,block
center_screen_NA,0.02868052,config
fuel_form_插电式混合动力,0.025609743,config
cylinder_material_铝,0.024743091,config
oil_supply_直喷,0.024274236,config
engine_cylinder_arrangement_L,0.023548573,config
steering_wheel_material_真皮,0.022643968,config
steering_wheel_material_NA,0.016972624,config
engine_intake_type_自然吸气,0.01654613,config
fuel_grade_95#,0.015394619,config
battery_type_NA,0.014732231,config
manufacturer_freq,0.014379268,config
brand_小米汽车,0.013103961,brand
oil_supply_混合喷射,0.012006587,config
center_screen_大屏,0.01101107,config
body_structure_客车,0.010318229,config
door_open_way_平开门,0.010220028,config
steering_wheel_material_皮质,0.010018046,config
year_2026,0.009805455,year
brand_起亚,0.009709193,brand
body_structure_MPV,0.009694417,config
brand_比亚迪,0.009460636,brand
battery_type_磷酸铁锂电池,0.009260706,config
cylinder_material_铝合金,0.0092206625,config
body_structure_两厢车,0.009129151,config
gearbox_type_freq,0.00906705,config
multimedia_interface_USB/Type-C+AUX,0.008606046,config
fuel_form_油电混合,0.0085841175,config
sound_brand_索尼,0.008492154,config
engine_intake_type_NA,0.00823815,config
door_open_way_侧滑门,0.008037295,config
seat_material_freq,0.007950948,config
brand_福田,0.007847729,brand
brand_江淮汽车,0.007834893,brand
steering_wheel_adjustment_上下+前后,0.00775768,config
sound_brand_宝华韦健,0.0076673194,config
battery_type_三元锂电池,0.007205925,config
brand_北京汽车,0.007199812,brand
body_structure_轿车,0.0071246987,config
curb_weight_kg,0.007076986,config
motor_total_power_kw,0.007073725,config
engine_cylinder_arrangement_直列,0.0069572725,config
body_structure_三厢车,0.006955875,config
fast_charge_percent_NA,0.006879837,config
motor_front_torque_nm,0.006782867,config
gearbox_short_freq,0.0067465594,config
motor_front_power_kw,0.006606747,config
brand_埃安,0.006252499,brand
brand_东风风光,0.0059973095,brand
brand_宝骏,0.0059698042,brand
brand_特斯拉,0.0059121093,brand
fast_charge_percent_80.0,0.005896748,config
brand_MINI,0.0058406293,brand
vehicle_class_freq,0.005767114,config
width_mm,0.0057306183,config
motor_type_永磁/同步,0.005664345,config
door_open_way_平开门+侧滑门,0.005537375,config
engine_max_power_rpm,0.005512459,config
front_track_mm,0.005423955,config
battery_range_km,0.005414694,config
fast_charge_percent_8.0,0.005350577,config
brand_启辰,0.0052448423,brand
body_structure_SUV,0.005176745,config
engine_max_torque_rpm,0.0049733236,config
sound_brand_NA,0.0049362304,config
warranty_period_freq,0.0048861657,config
motor_total_torque_nm,0.0048231184,config
environmental_standard_国VI,0.00481845,config
brand_标致,0.0047974074,brand
brand_沃尔沃,0.0046130554,brand
brand_小鹏汽车,0.004603265,brand
battery_capacity_kwh,0.0045370995,config
rear_track_mm,0.004466146,config
brand_江铃集团新能源,0.0043319096,brand
max_speed_kmh,0.0043212962,config
cylinder_material_铁,0.004300176,config
charging_time_h_freq,0.0042779814,config
brand_吉利汽车,0.004200075,brand
motor_rear_torque_nm,0.00417125,config
engine_max_torque_nm,0.0041468255,config
brand_大通,0.0041003334,brand
brand_雪佛兰,0.0040891157,brand
wheelbase_mm,0.0040135076,config
height_mm,0.0040032407,config
cylinder_material_NA,0.003987771,config
fuel_grade_92#,0.0039619333,config
oil_supply_多点电喷,0.0038678795,config
door_open_way_NA,0.0038476218,config
brand_林肯,0.0037773154,brand
fast_charge_percent_30.0,0.0037632873,config
brand_海马郑州,0.0037221361,brand
gear_count,0.0037177124,config
energy_type_油电混合,0.0036899622,config
engine_unique_tech_freq,0.0036116375,config
steering_wheel_adjustment_NA,0.0034940292,config
brand_星途,0.0034400178,brand
brand_Polestar极星,0.0033892416,brand
brand_零跑汽车,0.0033870875,brand
min_ground_clearance_mm,0.0033536921,config
environmental_standard_国VI b,0.0033170197,config
brand_江淮钇为,0.0032910774,brand
official_price_wan,0.0032845037,config
length_mm,0.0032750296,config
fuel_consumption_l_100km,0.0032553265,config
brand_大众,0.0031966781,brand
fuel_grade_95号(原97号),0.0031692502,config
steering_wheel_adjustment_上下,0.003166405,config
aircon_control_手动,0.003134342,config
trunk_volume_l,0.0031065214,config
fast_charge_percent_10.0,0.0029644477,config
multimedia_interface_USB/Type-C+存储卡插槽,0.002954088,config
engine_max_horsepower_ps,0.0029344251,config
engine_cylinder_nums,0.0029324405,config
fuel_form_NA,0.0029276246,config
motor_rear_power_kw,0.00291227,config
motor_type_永磁同步,0.002885238,config
brand_凯翼,0.0028291529,brand
brand_合创汽车,0.002755301,brand
seat_count,0.0027332774,config
brand_长安,0.0027193732,brand
brand_海马,0.0026955032,brand
battery_type_锂离子电池,0.0026668783,config
battery_warranty_freq,0.0026634187,config
engine_max_power_kw,0.002651607,config
brand_吉利银河,0.0025475062,brand
multimedia_interface_USB/Type-C,0.0025136622,config
brand_方程豹,0.0024661263,brand
brand_现代,0.0024334642,brand
speaker_count,0.0024050071,config
multimedia_interface_USB/Type-C+AUX+SD卡槽,0.0024037615,config
brand_荣威,0.002394879,brand
energy_type_增程式,0.0023926257,config
brand_奔腾,0.0023910427,brand
brand_红旗,0.0023844168,brand
brand_睿蓝汽车,0.0023824386,brand
acceleration_0_100_s,0.0023788621,config
brand_福特,0.0022958296,brand
energy_type_纯电动,0.002289102,config
engine_displacement_l,0.002270972,config
brand_乐道,0.0021909522,brand
cylinder_material_铸铁,0.002159888,config
electricity_consumption_kwh_100km,0.002158172,config
brand_五菱汽车,0.0021408347,brand
steering_wheel_material_Alcantara/翻毛皮,0.002107368,config
brand_哈弗,0.002073681,brand
engine_intake_type_涡轮增压,0.0020486128,config
brand_东风风行,0.0020415923,brand
brand_领克,0.002039634,brand
brand_昊铂,0.0019910904,brand
sound_brand_哈曼卡顿,0.0019862156,config
brand_广汽传祺,0.0019781126,brand
motor_type_前感应/异步后永磁/同步,0.0019603635,config
aircon_control_自动,0.0019238212,config
brand_思皓,0.0019196457,brand
brand_理念,0.0018942134,brand
brand_丰田,0.0018838355,brand
brand_理想汽车,0.0018571701,brand
engine_intake_type_双涡轮增压,0.0018568147,config
brand_江淮瑞风,0.0018380712,brand
steering_wheel_material_塑料,0.0018290374,config
brand_灵悉,0.0017602987,brand
brand_宝马,0.0017267502,brand
brand_斯柯达,0.001714687,brand
brand_智己汽车,0.0017080934,brand
brand_东风风神,0.0016973501,brand
door_count,0.0016902112,config
body_structure_掀背车,0.0016550038,config
brand_北京汽车制造厂,0.0016440324,brand
brand_长安启源,0.0016290594,brand
multimedia_interface_USB/Type-C+SD卡槽,0.0016158338,config
brand_小鹏,0.0016152902,brand
fuel_grade_92号(原93号),0.0015604554,config
year_2022,0.001559782,year
sound_brand_AKG(爱科技),0.0015338022,config
brand_马自达,0.001515497,brand
brand_北京越野,0.0013971876,brand
brand_魏牌,0.0013816833,brand
brand_凯迪拉克,0.0013634949,brand
brand_长安欧尚,0.0013569457,brand
brand_欧拉,0.0013388683,brand
brand_五菱,0.001331889,brand
brand_捷达,0.0013209841,brand
brand_iCAR,0.0013031072,brand
brand_捷途,0.001293171,brand
brand_本田,0.0012837772,brand
brand_路虎,0.0012703211,brand
brand_猛士,0.0012263814,brand
fast_charge_percent_60.0,0.0012000481,config
brand_东风奕派,0.0011884372,brand
brand_ARCFOX极狐,0.0011786483,brand
brand_MG名爵,0.001175159,brand
year_2023,0.0011701337,year
oil_supply_缸内直喷,0.0011493048,config
brand_日产,0.0011354756,brand
motor_system_power_kw,0.0010277361,config
brand_北汽制造,0.001024331,brand
multimedia_interface_NA,0.0010233807,config
year_2025,0.0010022945,year
brand_别克,0.000990147,brand
brand_深蓝汽车,0.00095712894,brand
energy_type_插电混动,0.0009515313,config
brand_捷豹,0.00093527755,brand
aircon_control_手动(选装自动),0.0009315589,config
motor_type_前交流/异步后永磁/同步,0.00092306157,config
fast_charge_percent_20.0,0.00092228805,config
brand_奇瑞风云,0.00089536316,brand
cylinder_material_未知,0.0008938529,config
brand_阿维塔,0.00088744826,brand
year_2024,0.0008519668,year
sound_brand_丹拿,0.0008468527,config
brand_极氪,0.00081591477,brand
brand_奥迪,0.00079483906,brand
energy_type_燃油,0.0007758059,config
brand_凌宝汽车,0.00077509583,brand
brand_坦克,0.00076472625,brand
brand_新龙马汽车,0.0007590094,brand
motor_system_torque_nm,0.0007526425,config
brand_飞凡汽车,0.0007264863,brand
sound_brand_BOSE,0.00072532566,config
brand_蔚来,0.0006956868,brand
brand_大运,0.0006559428,brand
fuel_form_48V轻混系统,0.0006479852,config
