series_name,date,split
AION RT,2022-01-01,train
AION RT,2022-02-01,train
AION RT,2022-03-01,train
AION RT,2022-04-01,train
AION RT,2022-05-01,train
AION RT,2022-06-01,train
AION RT,2022-07-01,train
AION RT,2022-08-01,train
AION RT,2022-09-01,train
AION RT,2022-10-01,train
AION RT,2022-11-01,train
AION RT,2022-12-01,train
AION RT,2023-01-01,train
AION RT,2023-02-01,train
AION RT,2023-03-01,train
AION RT,2023-04-01,train
AION RT,2023-05-01,train
AION RT,2023-06-01,train
AION RT,2023-07-01,train
AION RT,2023-08-01,train
AION RT,2023-09-01,train
AION RT,2023-10-01,train
AION RT,2023-11-01,train
AION RT,2023-12-01,train
AION RT,2024-01-01,train
AION RT,2024-02-01,train
AION RT,2024-03-01,train
AION RT,2024-04-01,train
AION RT,2024-05-01,train
AION RT,2024-06-01,train
AION RT,2024-07-01,train
AION RT,2024-08-01,train
AION RT,2024-09-01,train
AION RT,2024-10-01,train
AION RT,2024-11-01,train
AION RT,2024-12-01,train
AION RT,2025-01-01,train
AION RT,2025-02-01,train
AION RT,2025-03-01,train
AION RT,2025-04-01,train
AION RT,2025-05-01,train
AION RT,2025-06-01,train
AION RT,2025-07-01,val
AION RT,2025-08-01,val
AION RT,2025-09-01,val
AION RT,2025-10-01,val
AION RT,2025-11-01,val
AION RT,2025-12-01,val
AION RT,2026-01-01,test
AION RT,2026-02-01,test
AION RT,2026-03-01,test
AION RT,2026-04-01,test
AION RT,2026-05-01,test
AION RT,2026-06-01,test
AION S,2022-01-01,train
AION S,2022-02-01,train
AION S,2022-03-01,train
AION S,2022-04-01,train
AION S,2022-05-01,train
AION S,2022-06-01,train
AION S,2022-07-01,train
AION S,2022-08-01,train
AION S,2022-09-01,train
AION S,2022-10-01,train
AION S,2022-11-01,train
AION S,2022-12-01,train
AION S,2023-01-01,train
AION S,2023-02-01,train
AION S,2023-03-01,train
AION S,2023-04-01,train
AION S,2023-05-01,train
AION S,2023-06-01,train
AION S,2023-07-01,train
AION S,2023-08-01,train
AION S,2023-09-01,train
AION S,2023-10-01,train
AION S,2023-11-01,train
AION S,2023-12-01,train
AION S,2024-01-01,train
AION S,2024-02-01,train
AION S,2024-03-01,train
AION S,2024-04-01,train
AION S,2024-05-01,train
AION S,2024-06-01,train
AION S,2024-07-01,train
AION S,2024-08-01,train
AION S,2024-09-01,train
AION S,2024-10-01,train
AION S,2024-11-01,train
AION S,2024-12-01,train
AION S,2025-01-01,train
AION S,2025-02-01,train
AION S,2025-03-01,train
AION S,2025-04-01,train
AION S,2025-05-01,train
AION S,2025-06-01,train
AION S,2025-07-01,val
AION S,2025-08-01,val
AION S,2025-09-01,val
AION S,2025-10-01,val
AION S,2025-11-01,val
AION S,2025-12-01,val
AION S,2026-01-01,test
AION S,2026-02-01,test
AION S,2026-03-01,test
AION S,2026-04-01,test
AION S,2026-05-01,test
AION S,2026-06-01,test
AION UT,2022-01-01,train
AION UT,2022-02-01,train
AION UT,2022-03-01,train
AION UT,2022-04-01,train
AION UT,2022-05-01,train
AION UT,2022-06-01,train
AION UT,2022-07-01,train
AION UT,2022-08-01,train
AION UT,2022-09-01,train
AION UT,2022-10-01,train
AION UT,2022-11-01,train
AION UT,2022-12-01,train
AION UT,2023-01-01,train
AION UT,2023-02-01,train
AION UT,2023-03-01,train
AION UT,2023-04-01,train
AION UT,2023-05-01,train
AION UT,2023-06-01,train
AION UT,2023-07-01,train
AION UT,2023-08-01,train
AION UT,2023-09-01,train
AION UT,2023-10-01,train
AION UT,2023-11-01,train
AION UT,2023-12-01,train
AION UT,2024-01-01,train
AION UT,2024-02-01,train
AION UT,2024-03-01,train
AION UT,2024-04-01,train
AION UT,2024-05-01,train
AION UT,2024-06-01,train
AION UT,2024-07-01,train
AION UT,2024-08-01,train
AION UT,2024-09-01,train
AION UT,2024-10-01,train
AION UT,2024-11-01,train
AION UT,2024-12-01,train
AION UT,2025-01-01,train
AION UT,2025-02-01,train
AION UT,2025-03-01,train
AION UT,2025-04-01,train
AION UT,2025-05-01,train
AION UT,2025-06-01,train
AION UT,2025-07-01,val
AION UT,2025-08-01,val
AION UT,2025-09-01,val
AION UT,2025-10-01,val
AION UT,2025-11-01,val
AION UT,2025-12-01,val
AION UT,2026-01-01,test
AION UT,2026-02-01,test
AION UT,2026-03-01,test
AION UT,2026-04-01,test
AION UT,2026-05-01,test
AION UT,2026-06-01,test
EO 羿欧,2022-01-01,train
EO 羿欧,2022-02-01,train
EO 羿欧,2022-03-01,train
EO 羿欧,2022-04-01,train
EO 羿欧,2022-05-01,train
EO 羿欧,2022-06-01,train
EO 羿欧,2022-07-01,train
EO 羿欧,2022-08-01,train
EO 羿欧,2022-09-01,train
EO 羿欧,2022-10-01,train
EO 羿欧,2022-11-01,train
EO 羿欧,2022-12-01,train
EO 羿欧,2023-01-01,train
EO 羿欧,2023-02-01,train
EO 羿欧,2023-03-01,train
EO 羿欧,2023-04-01,train
EO 羿欧,2023-05-01,train
EO 羿欧,2023-06-01,train
EO 羿欧,2023-07-01,train
EO 羿欧,2023-08-01,train
EO 羿欧,2023-09-01,train
EO 羿欧,2023-10-01,train
EO 羿欧,2023-11-01,train
EO 羿欧,2023-12-01,train
EO 羿欧,2024-01-01,train
EO 羿欧,2024-02-01,train
EO 羿欧,2024-03-01,train
EO 羿欧,2024-04-01,train
EO 羿欧,2024-05-01,train
EO 羿欧,2024-06-01,train
EO 羿欧,2024-07-01,train
EO 羿欧,2024-08-01,train
EO 羿欧,2024-09-01,train
EO 羿欧,2024-10-01,train
EO 羿欧,2024-11-01,train
EO 羿欧,2024-12-01,train
EO 羿欧,2025-01-01,train
EO 羿欧,2025-02-01,train
EO 羿欧,2025-03-01,train
EO 羿欧,2025-04-01,train
EO 羿欧,2025-05-01,train
EO 羿欧,2025-06-01,train
EO 羿欧,2025-07-01,val
EO 羿欧,2025-08-01,val
EO 羿欧,2025-09-01,val
EO 羿欧,2025-10-01,val
EO 羿欧,2025-11-01,val
EO 羿欧,2025-12-01,val
EO 羿欧,2026-01-01,test
EO 羿欧,2026-02-01,test
EO 羿欧,2026-03-01,test
EO 羿欧,2026-04-01,test
EO 羿欧,2026-05-01,test
EO 羿欧,2026-06-01,test
EVOS,2022-01-01,train
EVOS,2022-02-01,train
EVOS,2022-03-01,train
EVOS,2022-04-01,train
EVOS,2022-05-01,train
EVOS,2022-06-01,train
EVOS,2022-07-01,train
EVOS,2022-08-01,train
EVOS,2022-09-01,train
EVOS,2022-10-01,train
EVOS,2022-11-01,train
EVOS,2022-12-01,train
EVOS,2023-01-01,train
EVOS,2023-02-01,train
EVOS,2023-03-01,train
EVOS,2023-04-01,train
EVOS,2023-05-01,train
EVOS,2023-06-01,train
EVOS,2023-07-01,train
EVOS,2023-08-01,train
EVOS,2023-09-01,train
EVOS,2023-10-01,train
EVOS,2023-11-01,train
EVOS,2023-12-01,train
EVOS,2024-01-01,train
EVOS,2024-02-01,train
EVOS,2024-03-01,train
EVOS,2024-04-01,train
EVOS,2024-05-01,train
EVOS,2024-06-01,train
EVOS,2024-07-01,train
EVOS,2024-08-01,train
EVOS,2024-09-01,train
EVOS,2024-10-01,train
EVOS,2024-11-01,train
EVOS,2024-12-01,train
EVOS,2025-01-01,train
EVOS,2025-02-01,train
EVOS,2025-03-01,train
EVOS,2025-04-01,train
EVOS,2025-05-01,train
EVOS,2025-06-01,train
