series_name,brand,category,information_cutoff_inclusive,window_days,current_window_start,previous_window_start,current_reviews,previous_reviews,current_overall_score,previous_overall_score,score_change,current_negative_review_rate,current_rating_reviews,previous_rating_reviews,current_platform_rating,previous_platform_rating,platform_rating_change,eligible_for_alert,text_alert_candidate,text_rule_retrigger_probability,rating_decline_probability,alert_status,alert,alert_id,risk_level,worst_aspect,worst_aspect_zh,worst_aspect_change,worst_aspect_current_score,worst_aspect_previous_score,worst_aspect_current_mentions,worst_aspect_previous_mentions,rule_version
AION S,埃安,轿车,2024-05-31,180,2023-12-04,2023-06-07,14,9,-0.11150793650793651,0.5554232804232804,-0.6669312169312169,0.42857142857142855,14,9,3.95,4.488888888888889,-0.5388888888888888,True,True,0.4196666666666667,0.998,watchlist,False,AION S::2024-05,high,interior,内饰,-0.7142857142857143,0.0,0.7142857142857143,7,7,v3_dual_signal_bootstrap
AION S,埃安,轿车,2024-06-30,180,2024-01-03,2023-07-07,15,6,-0.17629629629629628,0.43915343915343913,-0.6154497354497355,0.5333333333333333,15,6,3.986666666666667,4.366666666666667,-0.38000000000000034,True,True,0.6166666666666667,0.9763333333333334,watchlist,False,AION S::2024-06,high,control,操控,-0.8666666666666667,-0.2,0.6666666666666666,5,3,v3_dual_signal_bootstrap
AION S,埃安,轿车,2024-08-31,180,2024-03-05,2023-09-07,8,12,-0.16249999999999998,0.10502645502645502,-0.267526455026455,0.5,8,12,4.0625,3.9166666666666665,0.14583333333333348,True,True,0.43866666666666665,0.215,watchlist,False,AION S::2024-08,medium,intelligence,智能化,-1.2,-1.0,0.2,4,5,v3_dual_signal_bootstrap
IQ傲歌,凯迪拉克,SUV,2025-04-30,180,2024-11-02,2024-05-06,5,25,-0.1,0.41836507936507933,-0.5183650793650794,0.4,5,25,3.8400000000000007,4.328,-0.48799999999999955,True,True,0.37966666666666665,0.9486666666666667,watchlist,False,IQ傲歌::2025-04,high,comfort,舒适性,-1.9,-1.0,0.9,2,10,v3_dual_signal_bootstrap
世纪,别克,MPV,2024-01-31,180,2023-08-05,2023-02-06,5,9,-0.3083333333333333,0.37191358024691357,-0.6802469135802469,0.6,5,9,4.44,4.166666666666667,0.27333333333333343,True,True,0.736,0.05433333333333333,watchlist,False,世纪::2024-01,high,intelligence,智能化,-1.2,-1.0,0.2,3,5,v3_dual_signal_bootstrap
世纪,别克,MPV,2024-03-31,180,2023-10-04,2023-04-07,5,7,-0.2333333333333333,0.1988095238095238,-0.4321428571428571,0.6,5,7,4.279999999999999,4.385714285714286,-0.10571428571428676,True,True,0.577,0.748,watchlist,False,世纪::2024-03,high,configuration,配置,-1.1,-0.5,0.6,2,5,v3_dual_signal_bootstrap
世纪,别克,MPV,2024-04-30,180,2023-11-03,2023-05-07,5,6,-0.2333333333333333,0.29861111111111116,-0.5319444444444444,0.6,5,6,4.279999999999999,4.45,-0.17000000000000082,True,True,0.6113333333333333,0.8553333333333333,watchlist,False,世纪::2024-04,high,configuration,配置,-1.0,-0.5,0.5,2,4,v3_dual_signal_bootstrap
丰田bZ3,丰田,轿车,2024-09-30,180,2024-04-04,2023-10-07,7,14,-0.11507936507936507,0.1728458049886621,-0.28792517006802715,0.42857142857142855,7,14,3.2714285714285714,4.007142857142857,-0.7357142857142858,True,True,0.326,0.977,watchlist,False,丰田bZ3::2024-09,low,power,动力,-1.0833333333333333,-0.3333333333333333,0.75,3,4,v3_dual_signal_bootstrap
丰田bZ3,丰田,轿车,2024-10-31,180,2024-05-05,2023-11-07,6,16,-0.1611111111111111,0.14255952380952377,-0.30367063492063484,0.5,6,16,3.016666666666667,3.9499999999999997,-0.9333333333333327,True,True,0.3893333333333333,0.9976666666666667,watchlist,False,丰田bZ3::2024-10,medium,value,性价比,-0.8,0.0,0.8,3,5,v3_dual_signal_bootstrap
启辰D60,启辰,轿车,2023-09-30,180,2023-04-04,2022-10-06,9,13,-0.16481481481481483,0.34102564102564104,-0.5058404558404559,0.5555555555555556,9,13,3.7777777777777777,3.9307692307692315,-0.15299145299145378,True,True,0.5593333333333333,0.7286666666666667,watchlist,False,启辰D60::2023-09,high,appearance,外观,-1.0,0.0,1.0,5,2,v3_dual_signal_bootstrap
启辰D60,启辰,轿车,2023-10-31,180,2023-05-05,2022-11-06,7,14,-0.25000000000000006,0.33571428571428574,-0.5857142857142859,0.5714285714285714,7,14,3.5714285714285716,4.071428571428572,-0.5000000000000004,True,True,0.693,0.9863333333333333,watchlist,False,启辰D60::2023-10,high,configuration,配置,-1.25,-0.75,0.5,4,8,v3_dual_signal_bootstrap
夏,比亚迪,MPV,2025-12-31,180,2025-07-05,2025-01-06,26,25,-0.10357142857142856,0.38487301587301587,-0.48844444444444446,0.4230769230769231,26,25,4.3,4.279999999999999,0.020000000000000462,True,True,0.35633333333333334,0.447,watchlist,False,夏::2025-12,medium,configuration,配置,-0.8875,-0.2,0.6875,10,16,v3_dual_signal_bootstrap
夏,比亚迪,MPV,2026-01-31,180,2025-08-05,2025-02-06,21,27,-0.19965986394557825,0.38105526161081715,-0.5807151255563954,0.47619047619047616,21,27,4.228571428571429,4.377777777777778,-0.14920634920634956,True,True,0.673,0.8386666666666667,watchlist,False,夏::2026-01,high,configuration,配置,-0.875,-0.125,0.75,8,16,v3_dual_signal_bootstrap
奔腾小马,奔腾,轿车,2025-04-30,180,2024-11-02,2024-05-06,17,15,-0.17871148459383754,0.41423280423280423,-0.5929442888266417,0.5294117647058824,17,15,3.1941176470588233,3.6266666666666665,-0.4325490196078432,True,True,0.68,0.9626666666666667,watchlist,False,奔腾小马::2025-04,high,control,操控,-1.0,-1.0,0.0,7,6,v3_dual_signal_bootstrap
奔腾小马,奔腾,轿车,2025-06-30,180,2025-01-02,2024-07-06,17,19,-0.2106442577030812,0.37564745196324145,-0.5862917096663227,0.5882352941176471,17,19,3.235294117647059,3.5789473684210518,-0.3436532507739929,True,True,0.742,0.9353333333333333,corroborated,True,奔腾小马::2025-06,high,configuration,配置,-0.9666666666666666,-0.6666666666666666,0.3,6,10,v3_dual_signal_bootstrap
奔腾小马,奔腾,轿车,2025-07-31,180,2025-02-02,2024-08-06,16,16,-0.1613095238095238,0.19092261904761904,-0.3522321428571428,0.5625,16,16,3.2125,3.36875,-0.15625,True,True,0.571,0.7176666666666667,watchlist,False,奔腾小马::2025-07,medium,interior,内饰,-1.3333333333333333,-0.3333333333333333,1.0,9,4,v3_dual_signal_bootstrap
奔腾小马,奔腾,轿车,2025-08-31,180,2025-03-05,2024-09-06,17,19,-0.261344537815126,0.1657894736842105,-0.4271340114993365,0.6470588235294118,17,19,3.088235294117647,3.3315789473684205,-0.24334365325077334,True,True,0.806,0.802,corroborated,True,奔腾小马::2025-08,high,configuration,配置,-1.0,-1.0,0.0,2,9,v3_dual_signal_bootstrap
奔腾小马,奔腾,轿车,2025-09-30,180,2025-04-04,2024-10-06,19,19,-0.1426065162907268,0.12368421052631577,-0.2662907268170426,0.5263157894736842,19,19,3.131578947368421,3.3368421052631576,-0.20526315789473681,True,True,0.49166666666666664,0.7596666666666667,watchlist,False,奔腾小马::2025-09,medium,space,空间,-0.3714285714285714,0.2,0.5714285714285714,10,7,v3_dual_signal_bootstrap
奥德赛,本田,MPV,2026-04-30,180,2025-11-02,2025-05-06,7,5,-0.2976190476190476,0.06666666666666667,-0.36428571428571427,0.5714285714285714,7,5,3.742857142857143,3.7399999999999998,0.0028571428571431134,True,True,0.6413333333333333,0.49633333333333335,watchlist,False,奥德赛::2026-04,high,control,操控,-1.0,0.0,1.0,2,2,v3_dual_signal_bootstrap
奥迪Q3 Sportback,奥迪,SUV,2023-05-31,180,2022-12-03,2022-06-06,8,15,-0.146875,0.36777777777777776,-0.5146527777777777,0.5,8,15,3.5625,4.166666666666667,-0.604166666666667,True,True,0.5046666666666667,0.9896666666666667,watchlist,False,奥迪Q3 Sportback::2023-05,high,control,操控,-1.6666666666666665,-1.0,0.6666666666666666,2,6,v3_dual_signal_bootstrap
奥迪Q3 Sportback,奥迪,SUV,2023-06-30,180,2023-01-02,2022-07-06,8,14,-0.146875,0.37023809523809526,-0.5171130952380952,0.5,8,14,3.5625,4.114285714285715,-0.5517857142857148,True,True,0.502,0.9786666666666667,watchlist,False,奥迪Q3 Sportback::2023-06,high,control,操控,-1.6666666666666665,-1.0,0.6666666666666666,2,6,v3_dual_signal_bootstrap
奥迪Q4 e-tron,奥迪,SUV,2026-04-30,180,2025-11-02,2025-05-06,5,5,-0.35,0.15,-0.5,0.6,5,5,3.7399999999999998,3.7600000000000002,-0.020000000000000462,True,True,0.7713333333333333,0.533,watchlist,False,奥迪Q4 e-tron::2026-04,high,control,操控,-1.0,0.0,1.0,2,3,v3_dual_signal_bootstrap
奥迪Q4 e-tron,奥迪,SUV,2026-07-31,180,2026-02-02,2025-08-06,5,5,-0.23333333333333334,-0.08333333333333334,-0.15,0.4,5,5,3.8,3.7399999999999998,0.06000000000000005,True,True,0.31666666666666665,0.3436666666666667,watchlist,False,奥迪Q4 e-tron::2026-07,medium,overall,综合情感,-0.15,-0.23333333333333334,-0.08333333333333334,5,5,v3_dual_signal_bootstrap
宋L EV,比亚迪,SUV,2026-04-30,180,2025-11-02,2025-05-06,5,10,-0.2033333333333333,0.11416666666666667,-0.3175,0.6,5,10,4.08,4.04,0.040000000000000036,True,True,0.5793333333333334,0.453,watchlist,False,宋L EV::2026-04,high,power,动力,-1.4166666666666665,-0.6666666666666666,0.75,3,4,v3_dual_signal_bootstrap
宋L EV,比亚迪,SUV,2026-06-30,180,2026-01-02,2025-07-06,6,8,-0.16944444444444443,0.17395833333333333,-0.3434027777777777,0.5,6,8,3.9666666666666663,4.1,-0.1333333333333333,True,True,0.3993333333333333,0.6396666666666667,watchlist,False,宋L EV::2026-06,medium,value,性价比,-1.0,-0.5,0.5,2,4,v3_dual_signal_bootstrap
悦意03,奔腾,SUV,2026-01-31,180,2025-08-05,2025-02-06,21,23,-0.17951625094482238,0.25600414078674943,-0.4355203917315718,0.5714285714285714,21,23,3.4666666666666663,3.9565217391304337,-0.48985507246376736,True,True,0.7453333333333333,0.9796666666666667,corroborated,True,悦意03::2026-01,medium,configuration,配置,-1.0,-0.8571428571428571,0.14285714285714285,7,7,v3_dual_signal_bootstrap
捷达VA3,捷达,轿车,2022-11-30,180,2022-06-04,2021-12-06,10,12,-0.24416666666666664,0.1685185185185185,-0.41268518518518515,0.6,10,12,3.2700000000000005,3.5499999999999994,-0.2799999999999989,True,True,0.7806666666666666,0.884,corroborated,True,捷达VA3::2022-11,high,power,动力,-0.625,-0.875,-0.25,8,8,v3_dual_signal_bootstrap
捷达VA3,捷达,轿车,2022-12-31,180,2022-07-05,2022-01-06,8,15,-0.12291666666666667,0.10425925925925926,-0.22717592592592595,0.5,8,15,3.2875,3.4666666666666663,-0.17916666666666625,True,True,0.436,0.765,watchlist,False,捷达VA3::2022-12,medium,value,性价比,-0.875,-0.25,0.625,4,8,v3_dual_signal_bootstrap
