series_name,brand,category,information_cutoff_inclusive,window_days,current_window_start,previous_window_start,current_reviews,previous_reviews,current_overall_score,previous_overall_score,score_change,current_negative_review_rate,current_rating_reviews,previous_rating_reviews,current_platform_rating,previous_platform_rating,platform_rating_change,eligible_for_alert,text_alert_candidate,text_rule_retrigger_probability,rating_decline_probability,alert_status,alert
AION RT,埃安,轿车,2024-11-30,180,2024-06-04,2023-12-07,6,0,0.41250000000000003,,,0.0,6,0,4.183333333333333,,,False,False,,,none,False
AION RT,埃安,轿车,2024-12-31,180,2024-07-05,2024-01-07,26,0,0.5504273504273504,,,0.038461538461538464,26,0,4.438461538461538,,,False,False,,,none,False
AION RT,埃安,轿车,2025-01-31,180,2024-08-05,2024-02-07,26,0,0.5504273504273504,,,0.038461538461538464,26,0,4.438461538461538,,,False,False,,,none,False
AION RT,埃安,轿车,2025-02-28,180,2024-09-02,2024-03-06,28,0,0.5617063492063491,,,0.03571428571428571,28,0,4.421428571428572,,,False,False,,,none,False
AION RT,埃安,轿车,2025-03-31,180,2024-10-03,2024-04-06,28,0,0.5617063492063491,,,0.03571428571428571,28,0,4.421428571428572,,,False,False,,,none,False
AION RT,埃安,轿车,2025-04-30,180,2024-11-02,2024-05-06,34,0,0.5421218487394958,,,0.058823529411764705,34,0,4.376470588235294,,,False,False,,,none,False
AION RT,埃安,轿车,2025-05-31,180,2024-12-03,2024-06-06,27,8,0.564373897707231,0.48854166666666665,0.07583223104056436,0.07407407407407407,27,8,4.411111111111111,4.3125,0.09861111111111143,True,False,,,none,False
AION RT,埃安,轿车,2025-06-30,180,2025-01-02,2024-07-06,11,26,0.5564574314574314,0.5504273504273504,0.006030081030081069,0.09090909090909091,11,26,4.3090909090909095,4.438461538461538,-0.12937062937062827,True,False,,,none,False
AION RT,埃安,轿车,2025-07-31,180,2025-02-02,2024-08-06,13,26,0.5477716727716727,0.5504273504273504,-0.0026556776556776462,0.07692307692307693,13,26,4.2846153846153845,4.438461538461538,-0.1538461538461533,True,False,,,none,False
AION RT,埃安,轿车,2025-08-31,180,2025-03-05,2024-09-06,11,28,0.5185786435786436,0.5617063492063491,-0.043127705627705515,0.09090909090909091,11,28,4.3,4.421428571428572,-0.12142857142857189,True,False,,,none,False
AION RT,埃安,轿车,2025-09-30,180,2025-04-04,2024-10-06,11,29,0.5185786435786436,0.5768199233716473,-0.05824127979300375,0.09090909090909091,11,29,4.327272727272727,4.431034482758621,-0.10376175548589384,True,False,,,none,False
AION RT,埃安,轿车,2025-10-31,180,2025-05-05,2024-11-06,9,33,0.45185185185185195,0.5403679653679654,-0.08851611351611344,0.1111111111111111,9,33,4.344444444444445,4.393939393939394,-0.04949494949494859,True,False,,,none,False
