aspect,aspect_zh,eligible_reviews,mentioned_reviews,mention_rate,scored_mentions,positive_mentions,neutral_mentions,negative_mentions,positive_rate_among_scored,negative_rate_among_scored,mean_polarity,share_of_all_negative_mentions,mention_rank,negative_burden_rank
space,空间,24175,17568,0.7267011375387797,17077,13160,1514,2403,0.7706271593371201,0.1407155823622416,0.6299115769748785,0.07755866120130395,1,6
fuel_consumption,能耗/油耗,24175,17149,0.7093691830403309,16697,9765,2476,4456,0.5848355992094388,0.2668742887943942,0.3179613104150446,0.14382080495755736,2,3
power,动力,24175,16740,0.6924508790072389,16498,12844,1536,2118,0.7785186083161595,0.12837919747848223,0.6501394108376773,0.06836006842461995,3,8
comfort,舒适性,24175,16498,0.682440537745605,15260,7578,1976,5706,0.49659239842726083,0.3739187418086501,0.12267365661861075,0.18416551011845206,4,1
appearance,外观,24175,16275,0.6732161323681489,15767,14234,1025,508,0.9027716115938352,0.032219191983256165,0.870552419610579,0.0163960881773876,5,10
value,性价比,24175,15316,0.6335470527404343,14813,9995,3062,1756,0.6747451562816446,0.11854452170390872,0.5562006345777357,0.056676241810024855,6,9
interior,内饰,24175,14731,0.6093485005170631,13880,8373,2245,3262,0.6032420749279539,0.235014409221902,0.36822766570605187,0.10528354258787077,7,5
control,操控,24175,14626,0.6050051706308169,13826,9768,1761,2297,0.7064950094025748,0.16613626500795603,0.5403587443946188,0.07413743020366007,8,7
configuration,配置,24175,14247,0.5893278179937952,12737,8148,1221,3368,0.6397110779618435,0.26442647405197456,0.3752846039098689,0.10870477358551464,9,4
intelligence,智能化,24175,10995,0.4548086866597725,10673,4493,1071,5109,0.4209687997751335,0.47868453105968334,-0.0577157312845498,0.16489687893360874,10,2
