aspect,aspect_zh,polarity_group,rank,keyword,keyword_score,documents_available,documents_sampled,min_document_frequency,method
appearance,外观,all,1,外观,0.0684202943458431,16275,6000,6,mean TF-IDF
appearance,外观,all,2,设计,0.036250015118358674,16275,6000,6,mean TF-IDF
appearance,外观,all,3,内饰,0.03253523460249119,16275,6000,6,mean TF-IDF
appearance,外观,all,4,喜欢,0.02733422936743392,16275,6000,6,mean TF-IDF
appearance,外观,all,5,空间,0.026958480332390834,16275,6000,6,mean TF-IDF
appearance,外观,all,6,颜值,0.023540366517056405,16275,6000,6,mean TF-IDF
appearance,外观,all,7,好看,0.02275431688872637,16275,6000,6,mean TF-IDF
appearance,外观,all,8,不错,0.018781556166129663,16275,6000,6,mean TF-IDF
appearance,外观,all,9,大灯,0.018297488133871227,16275,6000,6,mean TF-IDF
appearance,外观,all,10,造型,0.017950597458816508,16275,6000,6,mean TF-IDF
appearance,外观,all,11,满意,0.017515011588817988,16275,6000,6,mean TF-IDF
appearance,外观,all,12,动力,0.016499223301987304,16275,6000,6,mean TF-IDF
appearance,外观,all,13,配置,0.016430378464976275,16275,6000,6,mean TF-IDF
appearance,外观,all,14,大气,0.01561126473181688,16275,6000,6,mean TF-IDF
appearance,外观,all,15,轮毂,0.01539923543935798,16275,6000,6,mean TF-IDF
appearance,外观,all,16,外观·内饰,0.013116644250375446,16275,6000,6,mean TF-IDF
appearance,外观,all,17,座椅,0.012067301531240481,16275,6000,6,mean TF-IDF
appearance,外观,all,18,车身,0.011940395679041562,16275,6000,6,mean TF-IDF
appearance,外观,all,19,后排,0.011494917601230904,16275,6000,6,mean TF-IDF
appearance,外观,all,20,运动,0.011491971990690455,16275,6000,6,mean TF-IDF
appearance,外观,negative,1,车漆,15.266190441276613,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,2,太薄,9.274213218498561,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,3,车漆·太薄,8.114147792042113,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,4,难看,7.43097669892598,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,5,划痕,7.115302351440488,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,6,不太好,6.544196970240343,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,7,小石子,6.401792807435328,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,8,屁股,6.380558413613497,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,9,太丑,6.2557332837146165,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,10,不够,6.207682291246594,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,11,那样,5.641928950107867,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,12,协调,5.363069155204199,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,13,前脸·好看,5.135700507782251,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,14,石子,5.107165327028729,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,15,别扭,5.107165327028729,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,16,外观·中规中矩,5.051346793710367,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,17,可靠性,4.802076450436238,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,18,骑士,4.790954332483999,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,19,有些,4.732906890954835,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,negative,20,平平,4.689879285201646,508,508,7,informative Dirichlet log-odds z-score
appearance,外观,positive,1,采用,4.26374058067099,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,2,颜值,4.140393522480784,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,3,运动,3.7237139386960125,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,4,辨识,3.6960849477349034,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,5,搭配,3.3165765327847563,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,6,时尚,3.1404298952477094,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,7,吸引,2.955143416799166,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,8,贯穿,2.946496686904931,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,9,更加,2.864901992386086,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,10,十足,2.7734294391299494,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,11,格栅,2.7381198677448344,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,12,看到,2.7274834951085642,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,13,led,2.6993891226669278,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,14,耐看,2.641087909239215,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,15,犀利,2.618823246395039,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,16,年轻人,2.5432204902391904,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,17,大气,2.480632811631797,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,18,回头率,2.4518365719233084,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,19,外观·大气,2.439410659576769,14234,6000,7,informative Dirichlet log-odds z-score
appearance,外观,positive,20,十分,2.386906508110009,14234,6000,7,informative Dirichlet log-odds z-score
interior,内饰,all,1,内饰,0.07460518471621232,14731,6000,6,mean TF-IDF
interior,内饰,all,2,空间,0.028183793240892246,14731,6000,6,mean TF-IDF
interior,内饰,all,3,外观,0.026058702988579454,14731,6000,6,mean TF-IDF
interior,内饰,all,4,喜欢,0.02159946731301256,14731,6000,6,mean TF-IDF
interior,内饰,all,5,设计,0.0199252405173569,14731,6000,6,mean TF-IDF
interior,内饰,all,6,不错,0.01980344689296806,14731,6000,6,mean TF-IDF
interior,内饰,all,7,座椅,0.01943901191534459,14731,6000,6,mean TF-IDF
interior,内饰,all,8,氛围,0.018820715310808953,14731,6000,6,mean TF-IDF
interior,内饰,all,9,配置,0.017804198258201787,14731,6000,6,mean TF-IDF
interior,内饰,all,10,中控,0.01695263615721933,14731,6000,6,mean TF-IDF
interior,内饰,all,11,用料,0.01571282123832992,14731,6000,6,mean TF-IDF
interior,内饰,all,12,车内,0.014676063830472279,14731,6000,6,mean TF-IDF
interior,内饰,all,13,满意,0.014235841180856619,14731,6000,6,mean TF-IDF
interior,内饰,all,14,塑料,0.013951860034862379,14731,6000,6,mean TF-IDF
interior,内饰,all,15,外观·内饰,0.01390147368068799,14731,6000,6,mean TF-IDF
interior,内饰,all,16,好看,0.013671640871109446,14731,6000,6,mean TF-IDF
interior,内饰,all,17,内饰·内饰,0.013180647338679722,14731,6000,6,mean TF-IDF
interior,内饰,all,18,动力,0.012642371159927205,14731,6000,6,mean TF-IDF
interior,内饰,all,19,还有,0.012155024978316593,14731,6000,6,mean TF-IDF
interior,内饰,all,20,后排,0.011551914282488857,14731,6000,6,mean TF-IDF
interior,内饰,negative,1,塑料,29.70542285920488,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,2,内饰·塑料,15.820792847579604,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,3,异响,13.329945702498035,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,4,廉价,9.889433973506037,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,5,简陋,9.70390575560544,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,6,塑料件,8.950362385568873,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,7,有些,8.182844287096849,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,8,不够,8.175106860512697,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,9,满意·内饰,7.918056072714736,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,10,缺点,7.832293596880749,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,11,容易,7.829930011757864,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,12,感太强,7.572375803348126,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,13,内饰·简陋,7.510642816349745,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,14,一般般,7.430767212351449,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,15,塑料·感太强,7.070162559294002,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,16,隔音,6.98826805415973,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,17,明显,6.853732693784251,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,18,不好,6.703262791154237,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,19,中控,6.575358225017032,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,negative,20,国产车,6.570328358027785,3262,3262,10,informative Dirichlet log-odds z-score
interior,内饰,positive,1,外观·内饰,10.212513031128081,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,2,外观,9.575550571074892,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,3,不错,8.949219366564806,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,4,英寸,8.596866637568944,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,5,采用,8.473901052837196,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,6,搭配,7.871759292184924,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,7,科技,7.4514590590491965,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,8,包裹,7.198571431764402,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,9,豪华,7.067376992358416,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,10,简洁,6.96955752295384,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,11,氛围,6.944739855147497,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,12,喜欢,6.870604445563977,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,13,好看,6.679290778862361,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,14,内饰·好看,6.287791789455571,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,15,简约,6.172773757715652,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,16,符合,6.039477762102976,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,17,运动,5.8413520079154475,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,18,舒适,5.829678232381353,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,19,舒服,5.7831286544546,8373,6000,10,informative Dirichlet log-odds z-score
interior,内饰,positive,20,大气,5.7502212563593655,8373,6000,10,informative Dirichlet log-odds z-score
space,空间,all,1,空间,0.10564742202774474,17568,6000,6,mean TF-IDF
space,空间,all,2,后排,0.051131539712937414,17568,6000,6,mean TF-IDF
space,空间,all,3,座椅,0.03204246459197219,17568,6000,6,mean TF-IDF
space,空间,all,4,后备箱,0.031375579663256103,17568,6000,6,mean TF-IDF
space,空间,all,5,乘坐,0.02799525657312732,17568,6000,6,mean TF-IDF
space,空间,all,6,前排,0.02156226255689019,17568,6000,6,mean TF-IDF
space,空间,all,7,不错,0.021332714983317687,17568,6000,6,mean TF-IDF
space,空间,all,8,后排·空间,0.019342332969706416,17568,6000,6,mean TF-IDF
space,空间,all,9,够用,0.01926748925452795,17568,6000,6,mean TF-IDF
space,空间,all,10,空间·空间,0.01865288502832135,17568,6000,6,mean TF-IDF
space,空间,all,11,体验,0.0172289698590881,17568,6000,6,mean TF-IDF
space,空间,all,12,内饰,0.016333778771236186,17568,6000,6,mean TF-IDF
space,空间,all,13,满意,0.01604652115019679,17568,6000,6,mean TF-IDF
space,空间,all,14,舒服,0.01601502060767016,17568,6000,6,mean TF-IDF
space,空间,all,15,外观,0.01540230611906863,17568,6000,6,mean TF-IDF
space,空间,all,16,很大,0.015260782109609733,17568,6000,6,mean TF-IDF
space,空间,all,17,还有,0.015079730851646588,17568,6000,6,mean TF-IDF
space,空间,all,18,动力,0.014575104346068202,17568,6000,6,mean TF-IDF
space,空间,all,19,配置,0.014264816357388783,17568,6000,6,mean TF-IDF
space,空间,all,20,宽敞,0.014101843567390708,17568,6000,6,mean TF-IDF
space,空间,negative,1,后排,15.112140645230337,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,2,只能,12.93452624726538,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,3,后排·空间,11.572943210019584,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,4,局促,11.026055071279258,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,5,后排·头部,9.600048592231573,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,6,缺点,9.52518342060277,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,7,不够,9.436096028299424,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,8,空间·只能,9.335558098528931,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,9,牺牲,9.091808418897603,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,10,不足,8.46625839218832,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,11,的话,8.075232923395934,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,12,头部·空间,7.847341932654934,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,13,头部,7.738269671943837,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,14,偏小,7.704757813704371,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,15,略显,7.688364912617931,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,16,顶头,7.508307115831944,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,17,勉强,7.38396185416384,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,18,稍微,7.344774239773453,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,19,不算,7.334041448346675,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,negative,20,有些,7.303111976043433,2403,2403,9,informative Dirichlet log-odds z-score
space,空间,positive,1,宽敞,10.850649863624133,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,2,很大,8.391266035346993,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,3,空间·宽敞,8.123797956217047,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,4,第三排,7.985235181033816,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,5,空间·很大,7.654274945828946,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,6,不错,7.140420579681791,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,7,二郎腿,7.060196000727456,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,8,空间·不错,6.920903686489105,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,9,轻松,6.147143187056771,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,10,第二排,5.666445581130309,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,11,配置,5.461901594140723,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,12,足够,5.458542211675742,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,13,空间·空间,5.308145028778456,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,14,两拳,5.2760826331958315,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,15,三排,5.179712682659419,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,16,七座,5.122601880706252,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,17,空间·足够,5.045396199015664,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,18,完全,4.893911427075829,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,19,超大,4.870906582259779,13160,6000,9,informative Dirichlet log-odds z-score
space,空间,positive,20,大气,4.815796491822115,13160,6000,9,informative Dirichlet log-odds z-score
power,动力,all,1,动力,0.07673549667601,16740,6000,6,mean TF-IDF
power,动力,all,2,发动机,0.03283460387731898,16740,6000,6,mean TF-IDF
power,动力,all,3,加速,0.03238663958187503,16740,6000,6,mean TF-IDF
power,动力,all,4,起步,0.026452491508871842,16740,6000,6,mean TF-IDF
power,动力,all,5,模式,0.024196559380075804,16740,6000,6,mean TF-IDF
power,动力,all,6,高速,0.023941624414618133,16740,6000,6,mean TF-IDF
power,动力,all,7,超车,0.023559368091959246,16740,6000,6,mean TF-IDF
power,动力,all,8,提速,0.022457128413281104,16740,6000,6,mean TF-IDF
power,动力,all,9,变速箱,0.0214407592572864,16740,6000,6,mean TF-IDF
power,动力,all,10,油耗,0.021096027042389106,16740,6000,6,mean TF-IDF
power,动力,all,11,不错,0.020320775019325825,16740,6000,6,mean TF-IDF
power,动力,all,12,够用,0.019829578804739085,16740,6000,6,mean TF-IDF
power,动力,all,13,感受,0.01854917336799037,16740,6000,6,mean TF-IDF
power,动力,all,14,空间,0.016905580085504822,16740,6000,6,mean TF-IDF
power,动力,all,15,顿挫,0.016182300403221047,16740,6000,6,mean TF-IDF
