aspect,aspect_zh,topic_id,topic_label,top_words,assigned_documents,topic_prevalence_in_sample,mean_polarity,negative_rate,documents_available,documents_sampled,min_document_frequency,method
appearance,外观,1,设计·/·外观·/·造型,设计·|·外观·|·造型·|·内饰·|·大灯·|·采用·|·车身·|·尾灯·|·运动·|·前脸,1377,0.2295,0.8832831325301205,0.022590361445783132,16275,6000,9,aspect-filtered LDA
appearance,外观,2,外观·/·内饰·/·动力,外观·|·内饰·|·动力·|·不错·|·轮毂·|·油耗·|·高速·|·续航·|·底盘·|·还有,1225,0.20416666666666666,0.797809604043808,0.04717775905644482,16275,6000,9,aspect-filtered LDA
appearance,外观,3,外观·/·空间·/·喜欢,外观·|·空间·|·喜欢·|·满意·|·后排·|·设计·|·好看·|·颜值·|·大气·|·造型,1780,0.2966666666666667,0.9182389937106918,0.024013722126929673,16275,6000,9,aspect-filtered LDA
appearance,外观,4,外观·/·喜欢·/·内饰,外观·|·喜欢·|·内饰·|·颜值·|·配置·|·大灯·|·价格·|·开始·|·自动·|·看到,1618,0.26966666666666667,0.8740458015267175,0.027353689567430027,16275,6000,9,aspect-filtered LDA
interior,内饰,1,内饰·/·配置·/·氛围,内饰·|·配置·|·氛围·|·座椅·|·车机·|·自动·|·高速·|·噪音·|·功能·|·隔音,1180,0.19666666666666666,0.1563106796116505,0.24951456310679612,14731,6000,9,aspect-filtered LDA
interior,内饰,2,内饰·/·外观·/·喜欢,内饰·|·外观·|·喜欢·|·好看·|·外观·内饰·|·动力·|·试驾·|·价格·|·配置·|·不错,2170,0.3616666666666667,0.42877629063097517,0.22848948374760994,14731,6000,9,aspect-filtered LDA
interior,内饰,3,内饰·/·设计·/·中控,内饰·|·设计·|·中控·|·英寸·|·中控台·|·科技·|·按键·|·车内·|·控屏·|·仪表,1306,0.21766666666666667,0.5118670886075949,0.1962025316455696,14731,6000,9,aspect-filtered LDA
interior,内饰,4,空间·/·内饰·/·座椅,空间·|·内饰·|·座椅·|·后排·|·不错·|·车内·|·塑料·|·舒服·|·用料·|·后备箱,1344,0.224,0.31430805316653637,0.2650508209538702,14731,6000,9,aspect-filtered LDA
space,空间,1,座椅·/·空间·/·乘坐,座椅·|·空间·|·乘坐·|·后排·|·配置·|·不错·|·内饰·|·前排·|·体验·|·加热,1207,0.20116666666666666,0.5961887477313974,0.10254083484573502,17568,6000,9,aspect-filtered LDA
space,空间,2,空间·/·后排·/·后备箱,空间·|·后排·|·后备箱·|·够用·|·满意·|·空间·空间·|·完全·|·后排·空间·|·很大·|·问题,2107,0.3511666666666667,0.6794441782462866,0.1370388116914231,17568,6000,9,aspect-filtered LDA
space,空间,3,空间·/·内饰·/·价格,空间·|·内饰·|·价格·|·外观·|·喜欢·|·后排·|·试驾·|·考虑·|·动力·|·配置,869,0.14483333333333334,0.6563245823389021,0.12291169451073986,17568,6000,9,aspect-filtered LDA
space,空间,4,空间·/·后排·/·座椅,空间·|·后排·|·座椅·|·前排·|·乘坐·|·腿部·|·头部·|·身高·|·后备箱·|·腿部·空间,1817,0.30283333333333334,0.5885619100499723,0.17268184342032206,17568,6000,9,aspect-filtered LDA
power,动力,1,动力·/·空间·/·油耗,动力·|·空间·|·油耗·|·外观·|·内饰·|·配置·|·不错·|·喜欢·|·试驾·|·满意,1774,0.2956666666666667,0.6743383199079401,0.12197928653624857,16740,6000,9,aspect-filtered LDA
