series_name,candidate_autohome_series_id,expected_source_name,evidence_url,evidence_source,note
EVOS,6143,EVOS,https://k.autohome.com.cn/6143/,official_search_result,Official Autohome result names the target series
PATHFINDER探陆,7396,探陆,https://www.autohome.com.cn/7396/,official_search_result,Target roster retains the English prefix while Autohome uses the Chinese short name
iCAR 03,7069,iCAR 03,https://car.autohome.com.cn/diandongche/series-7069-0-0-0-0-0-0-1.html,official_search_result,Official Autohome result names the target series
五菱宏光S,2139,五菱宏光S,https://k.autohome.com.cn/2139/,candidate_collision_check,Known risk: Autohome may merge this into the 五菱宏光 series
五菱星光,7349,五菱星光,https://car.autohome.com.cn/price/series-7349.html,official_search_result,Official Autohome result names the target series
亚洲狮,5960,亚洲狮,https://www.autohome.com.cn/5960/,official_search_result,Official Autohome result names the target series
传祺E8新能源,7329,传祺E8 PHEV,https://www.autohome.com.cn/7329/,official_search_result,Autohome renamed the series display from 传祺E8新能源 to 传祺E8 PHEV
别克E4,7122,别克E4,https://www.autohome.com.cn/7122/,official_search_result,Official Autohome result names the target series
北京EU5,5058,北京EU5,https://www.autohome.com.cn/5058/,official_search_result,Official Autohome result names the target series
宋PLUS新能源,5761,宋PLUS新能源,https://www.autohome.com.cn/5761/,official_search_result,Official Autohome result names the target series
唐新能源,3430,唐新能源,https://www.autohome.com.cn/3430/,official_search_result,Official Autohome result names the target series
宏光MINIEV,5714,宏光MINIEV,https://www.autohome.com.cn/5714/,official_search_result,Official Autohome result names the target series
五菱佳辰,6650,五菱佳辰,https://car.autohome.com.cn/price/series-6650.html,official_search_result,Official Autohome result names the target series
五菱征程,6039,五菱征程,https://www.autohome.com.cn/6039/,official_search_result,Official Autohome result names the target series
五菱星云,7272,五菱星云,https://www.autohome.com.cn/7272/,official_search_result,Official Autohome result names the target series
五菱星驰,6777,五菱星驰,https://www.autohome.com.cn/6777/,official_search_result,Official Autohome result names the target series
传祺GA8,3782,传祺GA8,https://www.autohome.com.cn/3782/,official_search_result,Official Autohome result names the target series
凌尚,5963,凌尚,https://www.autohome.com.cn/5963/,official_search_result,Official Autohome result names the target series
凌放HARRIER,6077,凌放HARRIER,https://www.autohome.com.cn/6077/,official_search_result,Official Autohome result names the target series
凯翼拾月,6845,凯翼拾月,https://www.autohome.com.cn/6845/,official_search_result,Official Autohome result names the target series
