series_name,candidate_autohome_series_id,candidate_source_name,decision,decision_reason,series_suggestions,checked_at
宋Pro新能源,5279.0,宋Pro新能源,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""宋Pro新能源"", ""id"": 5279}]",2026-08-24T00:50:11
宝马1系,4171.0,宝马1系,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""宝马1系"", ""id"": 4171}, {""name"": ""宝马1系(进口)"", ""id"": 373}, {""name"": ""宝马1系M"", ""id"": 2725}]",2026-08-24T00:50:12
宝马X2,5309.0,宝马X2,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""宝马X2"", ""id"": 5309}, {""name"": ""宝马X2(进口)"", ""id"": 3386}, {""name"": ""宝马X2 M35i"", ""id"": 7952}]",2026-08-24T00:50:12
宝马iX3,5758.0,宝马iX3,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""宝马iX3"", ""id"": 5758}, {""name"": ""宝马iX3(海外)"", ""id"": 4838}]",2026-08-24T00:50:12
宝骏KiWi EV,6155.0,宝骏KiWi EV,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""宝骏KiWi EV"", ""id"": 6155}]",2026-08-24T00:50:12
小鹏G3,4489.0,小鹏G3,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏G3"", ""id"": 4489}]",2026-08-24T00:50:13
小鹏MONA M03,6998.0,小鹏MONA M03,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏MONA M03"", ""id"": 6998}, {""name"": ""小鹏MONA M03旅行车"", ""id"": 8738}]",2026-08-24T00:50:13
小鹏P5,6095.0,小鹏P5,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏P5"", ""id"": 6095}]",2026-08-24T00:50:13
小鹏P7,5213.0,小鹏P7,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏P7"", ""id"": 5213}, {""name"": ""小鹏P7+"", ""id"": 7554}]",2026-08-24T00:50:13
小鹏P7+,7554.0,小鹏P7+,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏P7+"", ""id"": 7554}, {""name"": ""小鹏P7"", ""id"": 5213}]",2026-08-24T00:50:13
小鹏X9,7067.0,小鹏X9,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""小鹏X9"", ""id"": 7067}]",2026-08-24T00:50:14
岚图梦想家,6459.0,岚图梦想家,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""岚图梦想家"", ""id"": 6459}, {""name"": ""岚图梦想家9"", ""id"": 8535}]",2026-08-24T00:50:14
岚图追光L,8259.0,岚图追光 L,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""岚图追光 L"", ""id"": 8259}]",2026-08-24T00:50:14
帕萨特新能源,,,not_found,no official series suggestion returned,[],2026-08-24T00:50:14
护卫舰07,6671.0,护卫舰07,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""护卫舰07"", ""id"": 6671}]",2026-08-24T00:50:14
捷豹XEL,4462.0,捷豹XEL,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""捷豹XEL"", ""id"": 4462}]",2026-08-24T00:50:15
摩卡,,,manual_or_missing,no exact name match; do not auto-accept alias,"[{""name"": ""魏牌 摩卡新能源"", ""id"": 6011}]",2026-08-24T00:50:15
新帝豪,,,not_found,no official series suggestion returned,[],2026-08-24T00:50:15
昊铂GT,7084.0,昊铂GT,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""昊铂GT"", ""id"": 7084}]",2026-08-24T00:50:15
星海T5,8457.0,星海T5,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""星海T5"", ""id"": 8457}]",2026-08-24T00:50:16
星瑞L,,,manual_or_missing,no exact name match; do not auto-accept alias,"[{""name"": ""星瑞L PLUS"", ""id"": 7437}]",2026-08-24T01:35:19
星越L 智擎,7496.0,星越L智擎,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""星越L智擎"", ""id"": 7496}]",2026-08-24T01:35:19
极氪001,6091.0,极氪001,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""极氪001"", ""id"": 6091}, {""name"": ""极氪001 FR"", ""id"": 7698}]",2026-08-24T01:35:20
极氪009,6846.0,极氪009,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""极氪009"", ""id"": 6846}]",2026-08-24T01:35:20
极狐考拉,7120.0,极狐 考拉,ready_for_endpoint_verification,unique official suggestion name match,"[{""name"": ""极狐 考拉S"", ""id"": 7797}, {""name"": ""极狐 考拉"", ""id"": 7120}]",2026-08-24T01:35:20
