version,series_name,WMAPE
FULL,AION S,59.42626620785043
FULL,AION UT,25.899921004179937
FULL,ID.4 CROZZ,52.0157268148862
FULL,ID.6 CROZZ,55984.27200317383
FULL,IQ锐歌,145.1417144412566
FULL,MG4,99.90408822605352
FULL,Model 3,
FULL,Model Y,
FULL,PATHFINDER探陆,257.4707943584174
FULL,eπ007,30.886384557505124
FULL,iCAR 03,
FULL,五菱佳辰,197.44690946866422
FULL,享域,
FULL,传祺GA8,
FULL,传祺M6,52.25339550832104
FULL,元PLUS,51.23101016311424
FULL,元UP,68.70805754430265
FULL,凌宝BOX,41.02019666848313
FULL,凯美瑞,59.3469034265201
FULL,凯迪拉克XT5,59.32272532953523
FULL,凯迪拉克XT6,249.01900167358852
FULL,别克GL8,60.55835841697197
FULL,北京EU5,472.45964086111724
FULL,卡罗拉,40.53587018343515
FULL,卡罗拉双擎E+,
FULL,卡罗拉锐放,48.89934507664877
FULL,君越,57.4630251613789
FULL,启辰T60,
FULL,嘉华,162.80802246649878
FULL,夏,52.87170633401153
FULL,大家9,148.917971375168
FULL,大通G50,86.81912781762296
FULL,大通G70,566.5516549890691
FULL,奇骏,66.77706285684508
FULL,奔腾小马,71.21644039685398
FULL,奕炫,31.353678201610435
FULL,奕跑,54.80953456326083
FULL,奥德赛,20.69009142937649
FULL,奥迪A6L,48.63751047547171
FULL,奥迪E5 Sportback,87.46241264025564
FULL,奥迪Q3,46.9952688629049
FULL,奥迪Q5L,50.35677433171738
FULL,威兰达,51.03391333593552
FULL,威然,142.7730620471461
FULL,威霆,158.54375867823208
FULL,宋PLUS新能源,3785.464180104723
FULL,宏光MINIEV,61.319852945911
FULL,宝来,37.77791875876652
FULL,宝马3系,54.819869295686075
FULL,宝马X5,58.62797408701631
FULL,宝马i3,19.24690505103674
FULL,宝马i5,166.88051979248888
FULL,小米SU7,90.67219609272122
FULL,小虎FEV,
FULL,小鹏P5,
FULL,小鹏P7,90.3246270050639
FULL,小鹏X9,58.29685729962145
FULL,岚图梦想家,63.099878892797044
FULL,帕萨特,56.119845960808654
FULL,帕萨特新能源,95.58604779924666
FULL,思域,18.74889008440582
FULL,护卫舰07,8112.040328979492
FULL,捷达VA3,44.603936727902436
FULL,探岳,52.423554199943176
FULL,新帝豪,55.05345183820928
FULL,星海V9,32.21815971479024
FULL,星瑞L,97.67661660960948
FULL,星越L,54.59332569450287
FULL,星越L 智擎,103.99170256898313
FULL,星途ES,584.3003106644464
FULL,朗逸,50.93623537270442
FULL,本田UR-V,79.82794713492345
FULL,本田XR-V,45.38510170551012
FULL,极氪009,53.34710991385963
FULL,极狐考拉,489.827524554667
FULL,林肯Z,24.181752654511673
FULL,标致5008,117.67789948484528
FULL,格瑞维亚,39.15378281081357
FULL,欧诺S,43.074236955515055
FULL,汉,43.10487616606502
FULL,沃尔沃EM90,425.4658600379681
FULL,沃尔沃S90,62.81654835160446
FULL,沃尔沃S90新能源,806.1400937362455
FULL,海狮06EV,99.41500372997444
FULL,海狮07EV,645.6393160863934
FULL,海豹,1028.2048696708237
FULL,海豹07DM-i,306.7314968231273
FULL,海马8S,
FULL,海鸥,40.16433913806596
FULL,深蓝L06,99.7664148357212
FULL,深蓝L07,60.43552790668076
FULL,深蓝SL03,257.0716998387897
FULL,焕驰,2873.241310119629
FULL,猛士917,
FULL,理想MEGA,86.44981961245274
FULL,瑞虎5x,24.16553290820869
FULL,瑞虎8,42.99749027259662
FULL,瑞虎9,64.03041033088766
FULL,瑞风E3,49.05978532558149
FULL,电动MINI ACEMAN,
FULL,电动MINI COOPER,
FULL,秦L,33.9452854055913
FULL,秦PLUS,44.394077171077164
FULL,红旗E-HS9,
FULL,红旗H9,54.804988079760456
FULL,红旗HS7 PHEV,691.8074772275728
FULL,红旗国耀,60.82649368506211
FULL,红旗天工05,37.99158594778238
FULL,纳米01,34.79830757990968
FULL,缤智,48.11081106294461
FULL,缤越,66.14774106328832
FULL,腾势D9,60.60021210635805
FULL,艾瑞泽5,41.7968807976876
FULL,荣威D5X DMH,2206.710333573191
FULL,荣威D7,50.08455436727219
FULL,菱智,19.08208546876428
FULL,蔚来ET5T,35.98944732916098
FULL,蔚来ET9,101.96307443028732
FULL,赛图斯,47.41588330450859
FULL,赛那SIENNA,71.69220628049506
FULL,起亚EV5,618.0468598673167
FULL,起亚K3,67.16956826267216
FULL,起亚K5凯酷,550.5392363577178
FULL,轩逸,59.09207517719361
FULL,迈腾,54.661724300847595
FULL,途昂,25.09640465371219
FULL,途胜L,49.29460575188114
FULL,途观L,57.788156697771
FULL,途观L新能源,117.58474342436658
FULL,速腾,58.98993022307337
FULL,逸动,56.186152608901196
FULL,铂智4X,237.28797156531533
FULL,银河V900,75.24130397947327
FULL,银河星耀6,96.21710144567925
FULL,锋兰达,62.73130837639109
FULL,锐界L,35.0008478928584
FULL,长安CS75 PLUS,79.51602335055405
FULL,长安Lumin,133.37119102639312
FULL,长安UNI-K 智电iDD,6186.45008632115
FULL,长安UNI-Z新能源,48.18428606517096
FULL,长安启源A07,44.38810566815556
FULL,长安启源Q05经典,
FULL,长安欧尚520,56.89271758163886
FULL,雅阁,42.65562685252222
FULL,风云A9L,98.71411646342624
FULL,风光330,852.2625364106277
FULL,风光380,319.7940108520958
FULL,马自达3 昂克赛拉,44.883032587697116
NO-LAG,AION S,54.017373403586554
NO-LAG,AION UT,141.72539933320064
NO-LAG,ID.4 CROZZ,241.79874997131975
NO-LAG,ID.6 CROZZ,32266.860961914062
NO-LAG,IQ锐歌,80.02050039475314
NO-LAG,MG4,99.63134866824763
NO-LAG,Model 3,
NO-LAG,Model Y,
NO-LAG,PATHFINDER探陆,205.2290980591368
NO-LAG,eπ007,29.08815577772797
NO-LAG,iCAR 03,
NO-LAG,五菱佳辰,232.9766544065074
NO-LAG,享域,
NO-LAG,传祺GA8,
NO-LAG,传祺M6,24.693630213870748
NO-LAG,元PLUS,62.63367361668464
NO-LAG,元UP,37.83156937031269
NO-LAG,凌宝BOX,127.02003488950966
NO-LAG,凯美瑞,38.13312043503797
NO-LAG,凯迪拉克XT5,33.59619219441786
NO-LAG,凯迪拉克XT6,386.81768254276545
NO-LAG,别克GL8,21.500761602474814
NO-LAG,北京EU5,444.5345453253374
NO-LAG,卡罗拉,23.313447229580312
NO-LAG,卡罗拉双擎E+,
NO-LAG,卡罗拉锐放,25.406039858927176
NO-LAG,君越,31.53173849711262
NO-LAG,启辰T60,
NO-LAG,嘉华,53.89463037999182
NO-LAG,夏,31.397308148688964
NO-LAG,大家9,68.20336032756097
NO-LAG,大通G50,142.68183673796108
NO-LAG,大通G70,70.87085030295633
NO-LAG,奇骏,44.104075824156055
NO-LAG,奔腾小马,53.80651445049832
NO-LAG,奕炫,40.41288761057783
NO-LAG,奕跑,52.62381700965447
NO-LAG,奥德赛,59.177423862017264
NO-LAG,奥迪A6L,37.46216897773109
NO-LAG,奥迪E5 Sportback,99.7371479414862
NO-LAG,奥迪Q3,51.176814994938745
NO-LAG,奥迪Q5L,30.924327063012285
NO-LAG,威兰达,28.113719875339292
NO-LAG,威然,213.3652230793244
NO-LAG,威霆,227.5627479308167
NO-LAG,宋PLUS新能源,12948.285604764686
NO-LAG,宏光MINIEV,157.99141729281996
NO-LAG,宝来,81.10588743963456
NO-LAG,宝马3系,74.98099860170478
NO-LAG,宝马X5,28.66983229816563
NO-LAG,宝马i3,97.28754186367217
NO-LAG,宝马i5,58.14974026072313
NO-LAG,小米SU7,82.47065338456258
NO-LAG,小虎FEV,
NO-LAG,小鹏P5,
NO-LAG,小鹏P7,80.40370034140803
NO-LAG,小鹏X9,45.20134995986449
NO-LAG,岚图梦想家,24.39910754906661
NO-LAG,帕萨特,26.011634075540357
NO-LAG,帕萨特新能源,94.88897399902343
NO-LAG,思域,123.1615105102478
NO-LAG,护卫舰07,21648.2541402181
NO-LAG,捷达VA3,21.73506429309683
NO-LAG,探岳,29.361528783611114
NO-LAG,新帝豪,81.2808851752437
NO-LAG,星海V9,61.41022460101402
NO-LAG,星瑞L,115.2343661362456
NO-LAG,星越L,29.068239741226993
NO-LAG,星越L 智擎,107.748876788659
NO-LAG,星途ES,383.3606054507544
NO-LAG,朗逸,34.942873062136066
NO-LAG,本田UR-V,194.12288473110007
NO-LAG,本田XR-V,122.07075014866588
NO-LAG,极氪009,53.10212689000539
NO-LAG,极狐考拉,689.4429311702389
NO-LAG,林肯Z,38.89411343246312
NO-LAG,标致5008,28.699929239708904
NO-LAG,格瑞维亚,39.11924002713857
NO-LAG,欧诺S,46.45022020893085
NO-LAG,汉,98.25764326069861
NO-LAG,沃尔沃EM90,56.1827774705558
NO-LAG,沃尔沃S90,87.74438176198882
NO-LAG,沃尔沃S90新能源,760.7986880020356
NO-LAG,海狮06EV,99.63687558337676
NO-LAG,海狮07EV,966.4945979201318
NO-LAG,海豹,1871.2728053400522
NO-LAG,海豹07DM-i,529.635220004687
NO-LAG,海马8S,
NO-LAG,海鸥,165.48706996160738
NO-LAG,深蓝L06,99.7562186239765
NO-LAG,深蓝L07,116.63721796862762
NO-LAG,深蓝SL03,961.7615327380953
NO-LAG,焕驰,716.5400123596191
NO-LAG,猛士917,
NO-LAG,理想MEGA,49.82858309643478
NO-LAG,瑞虎5x,33.183646303220954
NO-LAG,瑞虎8,35.980205100420946
NO-LAG,瑞虎9,55.20181191798179
NO-LAG,瑞风E3,66.22857435396246
NO-LAG,电动MINI ACEMAN,
NO-LAG,电动MINI COOPER,
NO-LAG,秦L,59.59748964666273
NO-LAG,秦PLUS,211.82768609036992
NO-LAG,红旗E-HS9,
NO-LAG,红旗H9,66.05326181434722
NO-LAG,红旗HS7 PHEV,339.77524658729294
NO-LAG,红旗国耀,33.770840901594894
NO-LAG,红旗天工05,121.0335815956989
NO-LAG,纳米01,31.298145061714038
NO-LAG,缤智,50.945604277820124
NO-LAG,缤越,33.98915487160747
