version,coverage_group,test_rows,test_series,actual_volume,global_volume_weighted_WMAPE,median_per_series_WMAPE
ALL_SENTIMENT,all_test_rows,900,150,2944471.0,42.520074466796174,49.32309467411295
ALL_SENTIMENT,any_prior_review,840,140,2789050.0,42.25670413574644,48.62636613714625
ALL_SENTIMENT,no_prior_review,60,10,155421.0,47.24628921135618,125.28863437164955
ALL_SENTIMENT,recent_180d_review,678,123,2697683.0,42.18047668745141,43.90780793398464
ALL_SENTIMENT,no_recent_180d_review,222,53,246788.0,46.232277475759844,101.3176983252339
BASE,all_test_rows,900,150,2944471.0,38.428134960868334,44.71245486603792
BASE,any_prior_review,840,140,2789050.0,38.05403644882255,44.18646273655904
BASE,no_prior_review,60,10,155421.0,45.14138127263635,55.95425540163518
BASE,recent_180d_review,678,123,2697683.0,37.980716370995395,39.27157362883791
BASE,no_recent_180d_review,222,53,246788.0,43.31894619878997,65.49175057777228
PLATFORM_RATING,all_test_rows,900,150,2944471.0,37.93745763711798,44.4958615893053
PLATFORM_RATING,any_prior_review,840,140,2789050.0,37.690558039683225,44.4958615893053
PLATFORM_RATING,no_prior_review,60,10,155421.0,42.36810293103198,56.51160730598626
PLATFORM_RATING,recent_180d_review,678,123,2697683.0,37.77711793457296,41.6000069944268
PLATFORM_RATING,no_recent_180d_review,222,53,246788.0,39.69015910469647,65.67781831191068
TEXT_ABSA,all_test_rows,900,150,2944471.0,42.15128217206632,48.43166218175871
TEXT_ABSA,any_prior_review,840,140,2789050.0,42.0156603338591,47.652483223853054
TEXT_ABSA,no_prior_review,60,10,155421.0,44.58503364613893,87.03245828179163
TEXT_ABSA,recent_180d_review,678,123,2697683.0,42.00905353892993,42.37027399523949
TEXT_ABSA,no_recent_180d_review,222,53,246788.0,43.70600835699134,78.82683764641772
