feature_family,feature_name,training_nonmissing_rows,included_in_model,exclusion_reason
platform_rating,platform_rating_overall_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_overall_polarity_180d_mean,5396,True,
platform_rating,platform_rating_appearance_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_interior_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_space_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_power_sentiment_180d_mean,2750,True,
platform_rating,platform_rating_control_sentiment_180d_mean,2324,True,
platform_rating,platform_rating_comfort_sentiment_180d_mean,2324,True,
platform_rating,platform_rating_fuel_consumption_sentiment_180d_mean,1194,True,
platform_rating,platform_rating_configuration_sentiment_180d_mean,4794,True,
platform_rating,platform_rating_intelligence_sentiment_180d_mean,0,False,all values missing in train split
platform_rating,platform_rating_value_sentiment_180d_mean,0,False,all values missing in train split
text_absa,text_global_polarity_180d_mean,5396,True,
text_absa,text_appearance_polarity_180d_mean,5076,True,
text_absa,text_interior_polarity_180d_mean,4983,True,
text_absa,text_space_polarity_180d_mean,5211,True,
text_absa,text_power_polarity_180d_mean,5175,True,
text_absa,text_control_polarity_180d_mean,4944,True,
text_absa,text_comfort_polarity_180d_mean,5116,True,
text_absa,text_fuel_consumption_polarity_180d_mean,5195,True,
text_absa,text_configuration_polarity_180d_mean,4986,True,
text_absa,text_intelligence_polarity_180d_mean,4554,True,
text_absa,text_value_polarity_180d_mean,5017,True,
text_absa,text_appearance_mentioned_180d_count,9468,True,
text_absa,text_interior_mentioned_180d_count,9468,True,
text_absa,text_space_mentioned_180d_count,9468,True,
text_absa,text_power_mentioned_180d_count,9468,True,
text_absa,text_control_mentioned_180d_count,9468,True,
text_absa,text_comfort_mentioned_180d_count,9468,True,
text_absa,text_fuel_consumption_mentioned_180d_count,9468,True,
text_absa,text_configuration_mentioned_180d_count,9468,True,
text_absa,text_intelligence_mentioned_180d_count,9468,True,
text_absa,text_value_mentioned_180d_count,9468,True,
observation_context,sentiment_review_count_prior_all,9468,True,
observation_context,sentiment_review_count_180d,9468,True,
observation_context,sentiment_available_prior,9468,True,
observation_context,sentiment_available_180d,9468,True,
