,0
brand_id,0.050483447
brand_name_吉利汽车,0.03749915
brand_name_比亚迪,0.029482773
rear_track_mm,0.026615536
front_track_mm,0.02630779
brand_name_雪佛兰,0.025688991
brand_name_东风风光,0.02397781
motor_front_power_kw,0.022537127
engine_max_power_kw,0.022256685
brand_name_起亚,0.02161951
battery_range_km,0.020494306
brand_name_长安,0.019904
brand_name_丰田,0.019181794
door_count,0.018553874
brand_name_江淮汽车,0.01826992
width_mm,0.018155377
brand_name_捷达,0.017893862
engine_max_power_rpm,0.017198693
brand_name_捷途,0.017098108
brand_name_北京汽车,0.016504027
engine_displacement_ml,0.014394383
curb_weight_kg,0.014182877
battery_capacity_kwh,0.014152905
acceleration_0_100_s,0.014078006
brand_name_埃安,0.014014595
brand_name_林肯,0.013241429
max_speed_kmh,0.013173074
official_price_wan,0.012657585
engine_max_torque_nm,0.01200452
brand_name_江淮瑞风,0.011910482
brand_name_红旗,0.011888915
brand_name_宝马,0.011607251
wheelbase_mm,0.011549813
trunk_volume_l,0.011322477
brand_name_小米汽车,0.010915744
height_mm,0.010761523
length_mm,0.010722459
brand_name_江铃集团新能源,0.01069689
brand_name_MINI,0.010630209
brand_name_凯迪拉克,0.010612157
brand_name_启辰,0.010504927
motor_total_torque_nm,0.010066795
motor_front_torque_nm,0.010037986
min_ground_clearance_mm,0.009933255
motor_total_power_kw,0.009787406
brand_name_奔腾,0.009456361
motor_rear_power_kw,0.0093501555
brand_name_零跑汽车,0.009306517
brand_name_凯翼,0.008954214
brand_name_星途,0.008948347
fuel_consumption_l_100km,0.008186684
seat_count,0.0077847145
brand_name_睿蓝汽车,0.0076515186
brand_name_福特,0.0076378076
engine_max_horsepower_ps,0.007496501
brand_name_宝骏,0.007301572
brand_name_领克,0.007180254
brand_name_北京汽车制造厂,0.007171816
motor_rear_torque_nm,0.006964828
brand_name_大通,0.0067763547
brand_name_吉利银河,0.0067343945
brand_name_荣威,0.0067334063
brand_name_理想汽车,0.006689565
brand_name_海马,0.0063072927
brand_name_沃尔沃,0.006196805
brand_name_小鹏汽车,0.006029749
brand_name_合创汽车,0.00587081
brand_name_广汽传祺,0.0058593685
brand_name_领途汽车,0.005809101
brand_name_小虎,0.005525822
electricity_consumption_kwh_100km,0.0054758275
brand_name_五菱,0.005219927
brand_name_马自达,0.005001566
brand_name_江淮钇为,0.0049727065
brand_name_乐道,0.0048749438
brand_name_东风风行,0.0047549116
brand_name_鸿蒙智行,0.004092587
brand_name_Polestar极星,0.0035568832
brand_name_灵悉,0.0035461814
gear_count,0.0033217235
brand_name_英菲尼迪,0.003307756
brand_name_哈弗,0.0028031054
motor_system_power_kw,0.0022730697
brand_name_长安凯程,0.00030449982
brand_name_示界,0.0
brand_name_知豆,0.0
brand_name_SRM鑫源,0.0
brand_name_瑞驰,0.0
brand_name_SWM斯威汽车,0.0
brand_name_理念,0.0
brand_name_特斯拉,0.0
brand_name_现代,0.0
brand_name_猛士,0.0
brand_name_MG名爵,0.0
brand_name_深蓝汽车,0.0
brand_name_海马郑州,0.0
brand_name_firefly萤火虫,0.0
brand_name_iCAR,0.0
brand_name_smart,0.0
brand_name_福田,0.0
brand_name_坦克,0.0
brand_name_纵横,0.0
brand_name_长安欧尚,0.0
brand_name_魏牌,0.0
engine_displacement_l,0.0
brand_name_飞凡汽车,0.0
engine_cylinder_nums,0.0
brand_name_雪铁龙,0.0
motor_system_torque_nm,0.0
brand_name_阿维塔,0.0
brand_name_长安启源,0.0
brand_name_腾势,0.0
fast_charge_percent,0.0
brand_name_路虎,0.0
side_air_curtain,0.0
brand_name_蔚来,0.0
brand_name_蓝电,0.0
brand_name_DS,0.0
brand_name_东风奕派,0.0
brand_name_一汽,0.0
brand_name_东风富康,0.0
brand_name_哪吒汽车,0.0
brand_name_仰望,0.0
brand_name_岚图,0.0
brand_name_凌宝汽车,0.0
brand_name_小鹏,0.0
brand_name_创维汽车,0.0
brand_name_别克,0.0
brand_name_北京越野,0.0
brand_name_北汽制造,0.0
brand_name_奥迪AUDI,0.0
brand_name_奥迪,0.0
brand_name_奔驰,0.0
brand_name_华境,0.0
brand_name_奇瑞风云,0.0
brand_name_奇瑞新能源,0.0
brand_name_奇瑞,0.0
brand_name_吉利几何,0.0
brand_name_大众,0.0
brand_name_埃尚,0.0
brand_name_岚图汽车,0.0
brand_name_开瑞,0.0
brand_name_东风纳米,0.0
brand_name_思皓,0.0
brand_name_欧拉,0.0
brand_name_标致,0.0
brand_name_东风风度,0.0
brand_name_极石汽车,0.0
brand_name_极氪,0.0
brand_name_本田,0.0
brand_name_曹操汽车,0.0
brand_name_智己汽车,0.0
brand_name_东风风神,0.0
brand_name_昊铂,0.0
brand_name_日产,0.0
brand_name_方程豹,0.0
brand_name_新龙马汽车,0.0
brand_name_斯柯达,0.0
brand_name_中国重汽VGV,0.0
brand_name_五菱汽车,0.0
brand_name_捷豹,0.0
brand_name_大运,0.0
