series_name,aspect,aspect_zh,mentioned_reviews,scored_mentions,mean_polarity,negative_rate_among_scored,positive_rate_among_scored,brand,category
AION RT,appearance,外观,41,41,0.8536585365853658,0.0,0.8536585365853658,埃安,轿车
AION RT,comfort,舒适性,46,45,0.4,0.2222222222222222,0.6222222222222222,埃安,轿车
AION RT,configuration,配置,44,42,0.23809523809523808,0.30952380952380953,0.5476190476190477,埃安,轿车
AION RT,control,操控,27,27,0.4074074074074074,0.18518518518518517,0.5925925925925926,埃安,轿车
AION RT,fuel_consumption,能耗/油耗,62,62,0.14516129032258066,0.27419354838709675,0.41935483870967744,埃安,轿车
AION RT,intelligence,智能化,36,36,0.16666666666666666,0.4166666666666667,0.5833333333333334,埃安,轿车
AION RT,interior,内饰,40,40,0.7,0.075,0.775,埃安,轿车
AION RT,power,动力,24,24,0.7916666666666666,0.0,0.7916666666666666,埃安,轿车
AION RT,space,空间,48,48,0.6666666666666666,0.125,0.7916666666666666,埃安,轿车
AION RT,value,性价比,40,40,0.775,0.075,0.85,埃安,轿车
AION S,appearance,外观,56,54,0.8333333333333334,0.037037037037037035,0.8703703703703703,埃安,轿车
AION S,comfort,舒适性,65,64,0.03125,0.359375,0.390625,埃安,轿车
AION S,configuration,配置,50,43,-0.023255813953488372,0.4186046511627907,0.3953488372093023,埃安,轿车
AION S,control,操控,49,44,0.045454545454545456,0.4090909090909091,0.45454545454545453,埃安,轿车
AION S,fuel_consumption,能耗/油耗,75,70,0.02857142857142857,0.35714285714285715,0.38571428571428573,埃安,轿车
AION S,intelligence,智能化,47,46,-0.21739130434782608,0.5652173913043478,0.34782608695652173,埃安,轿车
AION S,interior,内饰,53,52,0.5,0.1346153846153846,0.6346153846153846,埃安,轿车
AION S,power,动力,46,46,0.8913043478260869,0.0,0.8913043478260869,埃安,轿车
AION S,space,空间,61,60,0.6666666666666666,0.08333333333333333,0.75,埃安,轿车
AION S,value,性价比,52,50,0.42,0.18,0.6,埃安,轿车
AION UT,appearance,外观,49,49,0.9591836734693877,0.0,0.9591836734693877,埃安,轿车
