aspect,aspect_zh,polarity_group,rank,keyword,mean_tfidf,documents_available,documents_sampled,min_document_frequency
appearance,外观,all,1,外观,0.06685348947601646,16275,6000,6
appearance,外观,all,2,设计,0.035238117490959925,16275,6000,6
appearance,外观,all,3,内饰,0.03152779038827553,16275,6000,6
appearance,外观,all,4,喜欢,0.026444806031841742,16275,6000,6
appearance,外观,all,5,空间,0.02626555649545668,16275,6000,6
appearance,外观,all,6,颜值,0.02270992290838079,16275,6000,6
appearance,外观,all,7,好看,0.022183970110432952,16275,6000,6
appearance,外观,all,8,不错,0.01838286427109498,16275,6000,6
appearance,外观,all,9,大灯,0.017937322097558064,16275,6000,6
appearance,外观,all,10,造型,0.017285522326854222,16275,6000,6
appearance,外观,all,11,满意,0.01716070964496071,16275,6000,6
appearance,外观,all,12,动力,0.0160276891888897,16275,6000,6
appearance,外观,all,13,配置,0.015983689978007698,16275,6000,6
appearance,外观,all,14,大气,0.015303313944263184,16275,6000,6
appearance,外观,all,15,轮毂,0.015145988106585141,16275,6000,6
appearance,外观,all,16,外观·内饰,0.012632180951491738,16275,6000,6
appearance,外观,all,17,座椅,0.011782715965856167,16275,6000,6
appearance,外观,all,18,车身,0.011634504186756454,16275,6000,6
appearance,外观,all,19,还有,0.011147916043028209,16275,6000,6
appearance,外观,all,20,后排,0.011142544123518852,16275,6000,6
appearance,外观,positive,1,外观,0.06902596415016449,14234,6000,6
appearance,外观,positive,2,设计,0.03494497903683735,14234,6000,6
appearance,外观,positive,3,内饰,0.03194864961549096,14234,6000,6
appearance,外观,positive,4,喜欢,0.027059385992315645,14234,6000,6
appearance,外观,positive,5,空间,0.02551438871365612,14234,6000,6
appearance,外观,positive,6,颜值,0.024605276757198254,14234,6000,6
appearance,外观,positive,7,好看,0.023164667962989344,14234,6000,6
appearance,外观,positive,8,不错,0.018574346559782542,14234,6000,6
appearance,外观,positive,9,满意,0.018042671404201648,14234,6000,6
appearance,外观,positive,10,动力,0.017180773267838532,14234,6000,6
appearance,外观,positive,11,造型,0.017088128536440653,14234,6000,6
appearance,外观,positive,12,大气,0.016559736944631108,14234,6000,6
appearance,外观,positive,13,大灯,0.016049838420421805,14234,6000,6
appearance,外观,positive,14,配置,0.016023575839544748,14234,6000,6
appearance,外观,positive,15,轮毂,0.013947876111790476,14234,6000,6
appearance,外观,positive,16,外观·内饰,0.012843961716897109,14234,6000,6
appearance,外观,positive,17,前脸,0.012020953186419289,14234,6000,6
appearance,外观,positive,18,运动,0.011891654700387085,14234,6000,6
appearance,外观,positive,19,车身,0.01179315900895191,14234,6000,6
appearance,外观,positive,20,座椅,0.011678333316771955,14234,6000,6
appearance,外观,negative,1,外观,0.0763598276344535,508,508,2
appearance,外观,negative,2,内饰,0.0338179726906143,508,508,2
appearance,外观,negative,3,设计,0.03380286361312961,508,508,2
appearance,外观,negative,4,车漆,0.029082943497773215,508,508,2
appearance,外观,negative,5,好看,0.026910489995760935,508,508,2
appearance,外观,negative,6,喜欢,0.02362907807535862,508,508,2
appearance,外观,negative,7,空间,0.022686921164109232,508,508,2
appearance,外观,negative,8,满意,0.01904334884846205,508,508,2
appearance,外观,negative,9,前脸,0.018408102622168774,508,508,2
appearance,外观,negative,10,大灯,0.016883297838873528,508,508,2
appearance,外观,negative,11,轮毂,0.016717180806169896,508,508,2
appearance,外观,negative,12,配置,0.016154624383406143,508,508,2
appearance,外观,negative,13,外形,0.015407009799248826,508,508,2
appearance,外观,negative,14,造型,0.014694788980972049,508,508,2
appearance,外观,negative,15,外观·内饰,0.014662978035374542,508,508,2
appearance,外观,negative,16,动力,0.014253924076530549,508,508,2
appearance,外观,negative,17,还有,0.014154114580355663,508,508,2
appearance,外观,negative,18,颜值,0.013606096563621968,508,508,2
appearance,外观,negative,19,屁股,0.013461777106883207,508,508,2
appearance,外观,negative,20,车尾,0.013432305468907765,508,508,2
interior,内饰,all,1,内饰,0.0733166519175125,14731,6000,6
interior,内饰,all,2,空间,0.027748015563795435,14731,6000,6
interior,内饰,all,3,外观,0.025411844327495117,14731,6000,6
interior,内饰,all,4,喜欢,0.02098287329187615,14731,6000,6
interior,内饰,all,5,设计,0.019620089263664563,14731,6000,6
interior,内饰,all,6,不错,0.019498416722603835,14731,6000,6
interior,内饰,all,7,座椅,0.019222025308955042,14731,6000,6
interior,内饰,all,8,氛围,0.0185284203439621,14731,6000,6
interior,内饰,all,9,配置,0.01740366207101738,14731,6000,6
interior,内饰,all,10,中控,0.016743720604381517,14731,6000,6
interior,内饰,all,11,用料,0.01536933871519474,14731,6000,6
interior,内饰,all,12,车内,0.014515620514219544,14731,6000,6
interior,内饰,all,13,满意,0.01404119150864589,14731,6000,6
interior,内饰,all,14,塑料,0.013806324319661731,14731,6000,6
interior,内饰,all,15,外观·内饰,0.013579362990665216,14731,6000,6
interior,内饰,all,16,好看,0.013357671664493927,14731,6000,6
interior,内饰,all,17,内饰·内饰,0.012360933623755715,14731,6000,6
interior,内饰,all,18,动力,0.012315390655472625,14731,6000,6
interior,内饰,all,19,还有,0.011959565329941352,14731,6000,6
interior,内饰,all,20,后排,0.011348137215497748,14731,6000,6
interior,内饰,positive,1,外观,0.03059682009767347,8373,6000,6
interior,内饰,positive,2,空间,0.02735635286132517,8373,6000,6
interior,内饰,positive,3,喜欢,0.02369945899284538,8373,6000,6
interior,内饰,positive,4,不错,0.02323849043324977,8373,6000,6
interior,内饰,positive,5,设计,0.022416303397615762,8373,6000,6
interior,内饰,positive,6,座椅,0.021890422272268582,8373,6000,6
interior,内饰,positive,7,氛围,0.019711269600337977,8373,6000,6
interior,内饰,positive,8,配置,0.018046368994172793,8373,6000,6
interior,内饰,positive,9,外观·内饰,0.017196221371397757,8373,6000,6
interior,内饰,positive,10,好看,0.01686466827886686,8373,6000,6
interior,内饰,positive,11,用料,0.016329660969084676,8373,6000,6
interior,内饰,positive,12,中控,0.015108264246586173,8373,6000,6
interior,内饰,positive,13,内饰·内饰,0.014933345238251497,8373,6000,6
interior,内饰,positive,14,满意,0.01395237138325054,8373,6000,6
interior,内饰,positive,15,豪华,0.013905224520597866,8373,6000,6
interior,内饰,positive,16,动力,0.013878834018607723,8373,6000,6
interior,内饰,positive,17,车内,0.013822360452563402,8373,6000,6
interior,内饰,positive,18,质感,0.012299378334364824,8373,6000,6
interior,内饰,positive,19,科技,0.012229279017220776,8373,6000,6
interior,内饰,positive,20,舒服,0.011529143895014991,8373,6000,6
interior,内饰,negative,1,内饰,0.07751386882669375,3262,3262,4
interior,内饰,negative,2,塑料,0.029000752548525504,3262,3262,4
interior,内饰,negative,3,空间,0.02557726408717536,3262,3262,4
interior,内饰,negative,4,外观,0.020430652631319837,3262,3262,4
interior,内饰,negative,5,中控,0.01903643271779874,3262,3262,4
interior,内饰,negative,6,设计,0.017612626133927528,3262,3262,4
interior,内饰,negative,7,配置,0.017564200594068678,3262,3262,4
interior,内饰,negative,8,座椅,0.01751211947002891,3262,3262,4
interior,内饰,negative,9,喜欢,0.016373788215996454,3262,3262,4
interior,内饰,negative,10,满意,0.015972560702441192,3262,3262,4
interior,内饰,negative,11,氛围,0.015072461410503706,3262,3262,4
interior,内饰,negative,12,用料,0.014894791875462662,3262,3262,4
interior,内饰,negative,13,内饰·塑料,0.01456636678046725,3262,3262,4
interior,内饰,negative,14,不错,0.013276986836686254,3262,3262,4
interior,内饰,negative,15,还有,0.013061512947325049,3262,3262,4
interior,内饰,negative,16,车内,0.01184060762274501,3262,3262,4
interior,内饰,negative,17,动力,0.011826890939491566,3262,3262,4
interior,内饰,negative,18,后排,0.011538734827907954,3262,3262,4
interior,内饰,negative,19,大众,0.011266807536903081,3262,3262,4
interior,内饰,negative,20,异响,0.011030203406093992,3262,3262,4
space,空间,all,1,空间,0.10445245715063725,17568,6000,6
space,空间,all,2,后排,0.05055146133205406,17568,6000,6
space,空间,all,3,座椅,0.03161829281060734,17568,6000,6
space,空间,all,4,后备箱,0.031061950196566553,17568,6000,6
space,空间,all,5,乘坐,0.02766033481239466,17568,6000,6
space,空间,all,6,前排,0.021396364148069474,17568,6000,6
space,空间,all,7,不错,0.0210688868723697,17568,6000,6
space,空间,all,8,够用,0.019229064493238995,17568,6000,6
space,空间,all,9,后排·空间,0.019109627003307907,17568,6000,6
space,空间,all,10,空间·空间,0.018040768231355406,17568,6000,6
space,空间,all,11,体验,0.017009541066007827,17568,6000,6
space,空间,all,12,内饰,0.01594702589645371,17568,6000,6
space,空间,all,13,满意,0.015871055280785862,17568,6000,6
space,空间,all,14,舒服,0.01582146584453325,17568,6000,6
space,空间,all,15,很大,0.015132376558223276,17568,6000,6
space,空间,all,16,外观,0.015115072464588318,17568,6000,6
space,空间,all,17,还有,0.014918263075945659,17568,6000,6
space,空间,all,18,动力,0.014308259908608654,17568,6000,6
space,空间,all,19,宽敞,0.01396334346136684,17568,6000,6
space,空间,all,20,配置,0.013905537098612203,17568,6000,6
space,空间,positive,1,后排,0.0502669297798084,13160,6000,6
space,空间,positive,2,座椅,0.03186606785032033,13160,6000,6
space,空间,positive,3,后备箱,0.03108990531197599,13160,6000,6
space,空间,positive,4,乘坐,0.025595322606027576,13160,6000,6
space,空间,positive,5,不错,0.02237733743431765,13160,6000,6
space,空间,positive,6,前排,0.020186165293488392,13160,6000,6
space,空间,positive,7,空间·空间,0.02004165140915627,13160,6000,6
space,空间,positive,8,够用,0.020030596992402713,13160,6000,6
space,空间,positive,9,后排·空间,0.018117505306091044,13160,6000,6
space,空间,positive,10,很大,0.017667665251021154,13160,6000,6
space,空间,positive,11,满意,0.01717361253222784,13160,6000,6
space,空间,positive,12,宽敞,0.01698734190561011,13160,6000,6
space,空间,positive,13,外观,0.01650912529959305,13160,6000,6
space,空间,positive,14,舒服,0.01645061018616556,13160,6000,6
space,空间,positive,15,内饰,0.016367295343801047,13160,6000,6
space,空间,positive,16,第三排,0.01533486971178534,13160,6000,6
space,空间,positive,17,动力,0.015160724419277337,13160,6000,6
space,空间,positive,18,还有,0.015012993456329856,13160,6000,6
space,空间,positive,19,配置,0.014075628082628766,13160,6000,6
space,空间,positive,20,问题,0.013933902576284246,13160,6000,6
space,空间,negative,1,空间,0.09601070780622889,2403,2403,3
space,空间,negative,2,后排,0.05800749543093672,2403,2403,3
space,空间,negative,3,后备箱,0.03374786917005143,2403,2403,3
space,空间,negative,4,座椅,0.029313742222404307,2403,2403,3
space,空间,negative,5,后排·空间,0.026682645390515677,2403,2403,3
space,空间,negative,6,乘坐,0.023423103267621776,2403,2403,3
