aspect,aspect_zh,topic_id,topic_label,top_words,assigned_documents,topic_prevalence_in_sample,mean_polarity,negative_rate,documents_available,documents_sampled,min_document_frequency,method
appearance,外观,1,设计·/·造型·/·内饰,设计·|·造型·|·内饰·|·采用·|·外观·|·车身·|·风格·|·大灯·|·运动·|·尾灯,1071,0.1785,0.8792599805258033,0.027263875365141188,16275,6000,9,aspect-filtered LDA
appearance,外观,2,外观·/·喜欢·/·内饰,外观·|·喜欢·|·内饰·|·颜值·|·价格·|·动力·|·开始·|·考虑·|·试驾·|·空间,1489,0.24816666666666667,0.9195876288659793,0.021305841924398626,16275,6000,9,aspect-filtered LDA
appearance,外观,3,空间·/·座椅·/·后排,空间·|·座椅·|·后排·|·外观·|·配置·|·大灯·|·动力·|·不错·|·自动·|·设计,1636,0.27266666666666667,0.780550223928343,0.03902751119641715,16275,6000,9,aspect-filtered LDA
appearance,外观,4,外观·/·内饰·/·喜欢,外观·|·内饰·|·喜欢·|·好看·|·满意·|·大气·|·颜值·|·大灯·|·轮毂·|·造型,1804,0.3006666666666667,0.9151312116136237,0.02847571189279732,16275,6000,9,aspect-filtered LDA
interior,内饰,1,内饰·/·外观·/·喜欢,内饰·|·外观·|·喜欢·|·外观·内饰·|·好看·|·动力·|·价格·|·配置·|·试驾·|·不错,2119,0.3531666666666667,0.4673807205452775,0.20399221032132425,14731,6000,9,aspect-filtered LDA
interior,内饰,2,空间·/·后排·/·车内,空间·|·后排·|·车内·|·不错·|·隔音·|·明显·|·底盘·|·噪音·|·高速·|·座椅,846,0.141,0.26142857142857145,0.23142857142857143,14731,6000,9,aspect-filtered LDA
interior,内饰,3,内饰·/·中控·/·座椅,内饰·|·中控·|·座椅·|·氛围·|·配置·|·还有·|·塑料·|·功能·|·手机·|·车机,1427,0.23783333333333334,0.048411497730711045,0.3494704992435703,14731,6000,9,aspect-filtered LDA
interior,内饰,4,内饰·/·设计·/·用料,内饰·|·设计·|·用料·|·英寸·|·科技·|·中控台·|·内饰·内饰·|·风格·|·座椅·|·内饰·设计,1608,0.268,0.5663939584644431,0.17558212712397733,14731,6000,9,aspect-filtered LDA
space,空间,1,空间·/·内饰·/·外观,空间·|·内饰·|·外观·|·动力·|·不错·|·油耗·|·喜欢·|·后排·|·乘坐·|·体验,1357,0.22616666666666665,0.6689549961861174,0.11823035850495804,17568,6000,9,aspect-filtered LDA
space,空间,2,座椅·/·空间·/·第三排,座椅·|·空间·|·第三排·|·配置·|·后备箱·|·加热·|·空调·|·功能·|·前排·|·第二排,859,0.14316666666666666,0.5906801007556675,0.11712846347607053,17568,6000,9,aspect-filtered LDA
space,空间,3,空间·/·后排·/·后备箱,空间·|·后排·|·后备箱·|·够用·|·后排·空间·|·空间·空间·|·很大·|·后备箱·空间·|·完全·|·东西,2249,0.37483333333333335,0.6657694033198743,0.14221624046657694,17568,6000,9,aspect-filtered LDA
space,空间,4,空间·/·后排·/·座椅,空间·|·后排·|·座椅·|·乘坐·|·前排·|·腿部·|·头部·|·身高·|·腿部·空间·|·头部·空间,1535,0.25583333333333336,0.572289156626506,0.16599732262382866,17568,6000,9,aspect-filtered LDA
power,动力,1,动力·/·模式·/·加速,动力·|·模式·|·加速·|·超车·|·起步·|·高速·|·提速·|·油门·|·够用·|·运动,2430,0.405,0.6926586478639568,0.12318540024885939,16740,6000,9,aspect-filtered LDA
power,动力,2,发动机·/·动力·/·变速箱,发动机·|·动力·|·变速箱·|·换挡·|·顿挫·|·离合·|·明显·|·加速·|·平顺·|·油门,912,0.152,0.5067415730337078,0.1797752808988764,16740,6000,9,aspect-filtered LDA
power,动力,3,动力·/·油耗·/·空间,动力·|·油耗·|·空间·|·外观·|·内饰·|·不错·|·配置·|·发动机·|·喜欢·|·试驾,2092,0.3486666666666667,0.6359627633512984,0.13424791768740812,16740,6000,9,aspect-filtered LDA
power,动力,4,动力·/·最大·/·发动机,动力·|·最大·|·发动机·|·加速·|·扭矩·|·马力·|·功率·|·搭载·|·变速箱·|·涡轮,566,0.09433333333333334,0.6245551601423488,0.13345195729537365,16740,6000,9,aspect-filtered LDA
control,操控,1,底盘·/·悬挂·/·方向盘,底盘·|·悬挂·|·方向盘·|·转向·|·悬架·|·不错·|·车身·|·颠簸·|·路面·|·操控,1446,0.241,0.6136690647482015,0.14388489208633093,14626,6000,9,aspect-filtered LDA
control,操控,2,底盘·/·操控·/·空间,底盘·|·操控·|·空间·|·动力·|·内饰·|·外观·|·不错·|·喜欢·|·试驾·|·方向盘,1789,0.2981666666666667,0.5798467884502062,0.13553329404832057,14626,6000,9,aspect-filtered LDA
control,操控,3,刹车·/·方向盘·/·自动,刹车·|·方向盘·|·自动·|·配置·|·功能·|·辅助·|·主动·|·座椅·|·加热·|·主动·刹车,798,0.133,0.3950795947901592,0.16353111432706222,14626,6000,9,aspect-filtered LDA
control,操控,4,刹车·/·方向盘·/·操控,刹车·|·方向盘·|·操控·|·转向·|·高速·|·底盘·|·模式·|·动力·|·感受·|·起来,1967,0.3278333333333333,0.520042194092827,0.20147679324894516,14626,6000,9,aspect-filtered LDA
comfort,舒适性,1,空调·/·高速·/·异响,空调·|·高速·|·异响·|·模式·|·动力·|·油耗·|·舒适·|·隔音·|·问题·|·续航,2277,0.3795,0.05087140838436175,0.4027319830428639,16498,6000,9,aspect-filtered LDA
comfort,舒适性,2,底盘·/·噪音·/·明显,底盘·|·噪音·|·明显·|·隔音·|·颠簸·|·舒适·|·舒适性·|·路面·|·不错·|·悬架,1092,0.182,0.1657088122605364,0.3831417624521073,16498,6000,9,aspect-filtered LDA
comfort,舒适性,3,座椅·/·空间·/·后排,座椅·|·空间·|·后排·|·前排·|·乘坐·|·舒适·|·舒适性·|·后排·座椅·|·不错·|·舒服,1379,0.22983333333333333,0.29323899371069184,0.30660377358490565,16498,6000,9,aspect-filtered LDA
comfort,舒适性,4,座椅·/·配置·/·空调,座椅·|·配置·|·空调·|·加热·|·通风·|·内饰·|·功能·|·自动·|·电动·|·座椅·加热,1252,0.20866666666666667,0.1781818181818182,0.31727272727272726,16498,6000,9,aspect-filtered LDA
fuel_consumption,能耗/油耗,1,模式·/·充电·/·手机,模式·|·充电·|·手机·|·无线·|·无线·充电·|·运动·|·座椅·|·功能·|·自动·|·空调,443,0.07383333333333333,0.15128205128205127,0.258974358974359,17149,6000,9,aspect-filtered LDA
fuel_consumption,能耗/油耗,2,续航·/·充电·/·能耗,续航·|·充电·|·能耗·|·电耗·|·空调·|·高速·|·里程·|·电池·|·的话·|·实际,1774,0.2956666666666667,0.3394812680115274,0.23573487031700288,17149,6000,9,aspect-filtered LDA
fuel_consumption,能耗/油耗,3,动力·/·油耗·/·空间,动力·|·油耗·|·空间·|·外观·|·不错·|·内饰·|·配置·|·省油·|·喜欢·|·价格,1161,0.1935,0.3062330623306233,0.25835591689250226,17149,6000,9,aspect-filtered LDA
fuel_consumption,能耗/油耗,4,油耗·/·高速·/·市区,油耗·|·高速·|·市区·|·平均·|·个油·|·省油·|·综合·|·百公里·|·油耗·油耗·|·综合·油耗,2622,0.437,0.3375478927203065,0.289272030651341,17149,6000,9,aspect-filtered LDA
configuration,配置,1,功能·/·倒车·/·影像,功能·|·倒车·|·影像·|·自动·|·按键·|·车机·|·倒车·影像·|·雷达·|·配置·|·空调,1788,0.298,0.2230031948881789,0.3303514376996805,14247,6000,9,aspect-filtered LDA
configuration,配置,2,座椅·/·加热·/·配置,座椅·|·加热·|·配置·|·通风·|·座椅·加热·|·后排·|·功能·|·座椅·通风·|·电动·|·空间,886,0.14766666666666667,0.44430538172715894,0.24405506883604505,14247,6000,9,aspect-filtered LDA
configuration,配置,3,配置·/·辅助·/·功能,配置·|·辅助·|·功能·|·安全·|·内饰·|·丰富·|·车道·|·主动·|·适应·|·自动,1127,0.18783333333333332,0.6487562189054726,0.14925373134328357,14247,6000,9,aspect-filtered LDA
configuration,配置,4,配置·/·价格·/·外观,配置·|·价格·|·外观·|·内饰·|·空间·|·动力·|·喜欢·|·不错·|·满意·|·最后,2199,0.3665,0.367,0.2555,14247,6000,9,aspect-filtered LDA
intelligence,智能化,1,配置·/·功能·/·辅助,配置·|·功能·|·辅助·|·语音·|·智能·|·自动·|·影像·|·座椅·|·系统·|·控制,1034,0.17233333333333334,0.42072538860103625,0.23834196891191708,10995,6000,9,aspect-filtered LDA
