series_name,energy_type,vehicle_class,brand_name,sales_tier,total_sales,train_months,val_months,test_months
威朗,燃油,紧凑型车,别克,Q3,306244,33,6,6
型格,燃油,紧凑型车,本田,Q3,301412,35,6,6
荣威i5,燃油,紧凑型车,荣威,Q3,296031,30,6,6
奥迪A3,燃油,紧凑型车,奥迪,Q3,290718,34,6,6
领克03,燃油,紧凑型车,领克,Q3,261886,30,6,6
高尔夫,燃油,紧凑型车,大众,Q3,220295,33,6,6
捷达VA3,燃油,紧凑型车,捷达,Q3,184876,35,6,6
马自达3 昂克赛拉,燃油,紧凑型车,马自达,Q3,161037,34,6,6
轩逸,燃油,紧凑型车,日产,Q4,1557511,33,6,6
朗逸,燃油,紧凑型车,大众,Q4,1396450,33,6,6
速腾,燃油,紧凑型车,大众,Q4,1092980,36,6,6
逸动,燃油,紧凑型车,长安,Q4,685401,33,6,6
卡罗拉,燃油,紧凑型车,丰田,Q4,681421,31,6,6
星瑞,燃油,紧凑型车,吉利汽车,Q4,601846,33,6,6
新帝豪,燃油,紧凑型车,吉利汽车,Q4,567982,33,6,6
凯美瑞,燃油,中型车,丰田,Q4,922913,33,6,6
帕萨特,燃油,中型车,大众,Q4,912611,34,6,6
迈腾,燃油,中型车,大众,Q4,802467,33,6,6
雅阁,燃油,中型车,本田,Q4,738149,30,6,6
宝马3系,燃油,中型车,宝马,Q4,659548,34,6,6
奔驰C级,燃油,中型车,奔驰,Q4,621617,34,6,6
长安CS75 PLUS,燃油,紧凑型SUV,长安,Q4,973122,29,6,6
星越L,燃油,紧凑型SUV,吉利汽车,Q4,825887,30,6,6
锋兰达,燃油,紧凑型SUV,丰田,Q4,737974,34,6,6
卡罗拉锐放,燃油,紧凑型SUV,丰田,Q4,672800,34,6,6
威兰达,燃油,紧凑型SUV,丰田,Q4,573772,34,6,6
T-ROC探歌,燃油,紧凑型SUV,大众,Q3,274549,33,6,6
瑞虎7,燃油,紧凑型SUV,奇瑞,Q3,235599,33,6,6
奔驰GLB,燃油,紧凑型SUV,奔驰,Q3,215090,31,6,6
奥迪Q3,燃油,紧凑型SUV,奥迪,Q3,206273,33,6,6
凯迪拉克CT5,燃油,中型车,凯迪拉克,Q3,264620,35,6,6
蒙迪欧,燃油,中型车,福特,Q3,237754,36,6,6
君威,燃油,中型车,别克,Q3,235595,36,6,6
英仕派,燃油,中型车,本田,Q3,234724,33,6,6
途观L,燃油,中型SUV,大众,Q4,765182,35,6,6
瑞虎8,燃油,中型SUV,奇瑞,Q4,683953,36,6,6
探岳,燃油,中型SUV,大众,Q4,629329,35,6,6
奔驰GLC,燃油,中型SUV,奔驰,Q4,596905,36,6,6
探界者,燃油,中型SUV,雪佛兰,Q1,35353,33,6,6
福瑞迪,燃油,紧凑型车,起亚,Q2,78078,32,6,6
标致408,燃油,紧凑型车,标致,Q2,73063,32,6,6
骐达,燃油,紧凑型车,日产,Q2,66690,37,6,6
起亚K3,燃油,紧凑型车,起亚,Q2,43268,33,6,6
威然,燃油,中大型MPV,大众,Q2,67924,35,6,6
库斯途,燃油,中大型MPV,现代,Q2,64410,33,6,6
威霆,燃油,中大型MPV,奔驰,Q2,60254,37,6,6
奔驰V级,燃油,中大型MPV,奔驰,Q2,59912,36,6,6
凡尔赛C5 X,燃油,中型车,雪铁龙,Q2,89707,36,6,6
MG7,燃油,中型车,MG名爵,Q2,77405,25,6,6
林肯Z,燃油,中型车,林肯,Q2,55594,35,6,6
迈锐宝XL,燃油,中型车,雪佛兰,Q2,54059,34,6,6
凌尚,燃油,紧凑型车,丰田,Q1,34146,32,6,6
秦新能源,纯电动,紧凑型车,比亚迪,Q2,84467,34,6,6
小鹏P5,纯电动,紧凑型车,小鹏,Q2,62644,33,6,6
荣威i6 MAX新能源,纯电动,紧凑型车,荣威,Q2,43935,35,6,6
大通G10,燃油,中大型MPV,大通,Q1,25499,36,6,6
长安UNI-T,燃油,紧凑型SUV,长安,Q2,95196,36,6,6
