pcauto_series_id,annual_sales,pcauto_brand,brand_id,brand_name,series_id,series_name,car_id,car_name,year,energy_type,manufacturer,vehicle_class,official_price_wan,official_price_str,owner_price,dealer_price,engine_displacement_ml,engine_displacement_l,engine_intake_type,engine_cylinder_arrangement,engine_cylinder_nums,engine_unique_tech,engine_max_horsepower_ps,engine_max_power_kw,engine_max_power_rpm,engine_max_torque_nm,engine_max_torque_rpm,fuel_form,fuel_grade,oil_supply,cylinder_material,environmental_standard,gearbox_short,gear_count,gearbox_type,max_speed_kmh,acceleration_0_100_s,fuel_consumption_l_100km,warranty_period,motor_type,motor_total_power_kw,motor_total_torque_nm,motor_front_power_kw,motor_front_torque_nm,motor_rear_power_kw,motor_rear_torque_nm,motor_system_power_kw,motor_system_torque_nm,battery_type,battery_capacity_kwh,battery_range_km,electricity_consumption_kwh_100km,battery_warranty,charging_time_h,fast_charge_percent,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,min_ground_clearance_mm,curb_weight_kg,body_structure,door_count,seat_count,trunk_volume_l,door_open_way,driver_airbag,side_airbag,side_air_curtain,knee_airbag,steering_wheel_material,steering_wheel_adjustment,center_screen,multimedia_interface,sound_brand,speaker_count,seat_material,seat_heating,aircon_control,speaker_count_original,original_energy_type
1291,59337.0,五菱汽车,39.0,五菱汽车,1291,五菱荣光,75227,1.2L S 基本型 5座,2022,燃油,上汽通用五菱,微面,4.09,4.09万,暂无报价,4.09万,1206.0,1.2,自然吸气,L,4.0,,76.0,56.0,5600.0,112.0,3600,汽油,92#,多点电喷,铁,国VI,5挡手动,5.0,手动变速箱(MT),100.0,,,3年或6万公里,,,,,,,,,,,,,,,,,4135,1625,1870,2700,1386.0,1408.0,,1145.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,,,46056,织物,前 / 后,：,46056,燃油
1291,41599.0,五菱汽车,39.0,五菱汽车,1291,五菱荣光,88110,1.5L S 基本型 5/7座,2023,燃油,上汽通用五菱,微面,4.39,4.39万,5.10万,4.39万,1485.0,1.5,自然吸气,L,4.0,,102.0,75.0,5400.0,136.0,4000,汽油,92#,多点电喷,未知,国VI,5挡手动,5.0,手动变速箱(MT),120.0,,,3年或6万公里,,,,,,,,,,,,,,,,,4135,1625,1870,2700,1386.0,1408.0,,1180.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,AUX,,46056,织物,前 / 后,：,46056,燃油
1292,24884.0,五菱汽车,39.0,五菱汽车,1292,五菱之光,87150,1.5L 实用型 5/7座 LAR,2023,燃油,上汽通用五菱,微面,3.79,3.79万,3.71万,3.79万,1485.0,1.5,自然吸气,L,4.0,,102.0,75.0,5400.0,136.0,4000,汽油,92#,多点电喷,未知,国VI,5挡手动,5.0,手动变速箱(MT),115.0,,,待查,,,,,,,,,,,,,,,,,3797,1510,1820,2500,1290.0,1290.0,,990.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,AUX,,46056,织物,前 / 后,：,46056,燃油
1293,159806.0,五菱汽车,39.0,五菱汽车,1293,五菱荣光V,38177,1.5L实用型国VI LAR,2019,燃油,上汽通用五菱,微面,4.48,4.48万,4.24万,4.48万,1485.0,1.5,自然吸气,L,4.0,,99.0,73.0,5800.0,140.0,3400,汽油,92#,多点电喷,铁,国VI b,6挡手动,6.0,手动变速箱(MT),150.0,,,待查,,,,,,,,,,,,,,,,,4415,1665,1850,2720,1420.0,1440.0,,1250.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,AUX,,46056,织物,前 / 后,：,46056,燃油
1293,116950.0,五菱汽车,39.0,五菱汽车,1293,五菱荣光V,44493,1.5L实用型国VI LAR,2020,燃油,上汽通用五菱,微面,4.48,4.48万,4.38万,4.48万,1485.0,1.5,自然吸气,L,4.0,,99.0,73.0,5800.0,140.0,3400,汽油,92#,多点电喷,铁,国VI b,6挡手动,6.0,手动变速箱(MT),150.0,,,待查,,,,,,,,,,,,,,,,,4415,1665,1850,2720,1420.0,1440.0,,1250.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,AUX,,46056,织物,前 / 后,：,46056,燃油
24540,72763.0,长安,35.0,长安,24540,长安UNI-Z,248772,智慧新蓝鲸 500Bar PRO,2025,燃油,长安汽车,紧凑型SUV,11.59,11.59万,9.27万,9.59万,1494.0,1.5,涡轮增压,L,4.0,500Bar超高压直喷,192.0,141.0,5500.0,310.0,1500,汽油,92#,缸内直喷,铝,国VI,7挡双离合,7.0,湿式双离合变速箱（DCT）,200.0,7.8,,3年或10万公里,,,,,,,,,,,,,,,,,4730,1890,1680,2795,1603.0,1603.0,,1500.0,SUV,5.0,5.0,638.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,,USB/Type-C,,46180,仿皮,前 / 后,自动,46180,燃油
24540,19808.0,长安,35.0,长安,24540,长安UNI-Z,256845,智慧新蓝鲸 500Bar PRO,2026,燃油,长安汽车,紧凑型SUV,11.59,11.59万,8.50万,9.59万,1494.0,1.5,涡轮增压,L,4.0,500Bar超高压直喷,192.0,141.0,5500.0,310.0,1500,汽油,92#,缸内直喷,铝,国VI,7挡双离合,7.0,湿式双离合变速箱（DCT）,200.0,7.8,,3年或10万公里,,,,,,,,,,,,,,,,,4730,1890,1680,2795,1603.0,1603.0,,1500.0,SUV,5.0,5.0,638.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,,USB/Type-C,,46180,仿皮,前 / 后,自动,46180,燃油
24927,33780.0,五菱汽车,39.0,五菱汽车,24927,五菱之光EV,244524,标准型,2025,纯电动,上汽通用五菱,微面,4.78,4.78万,4.63万,4.08万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,100.0,,6.0,3年或10万公里,永磁/同步,30.0,85.0,,,30.0,85.0,,,,,201.0,,,,,3685,1530,1750,2600,1290.0,1290.0,,892.0,客车,5.0,4.0,527.0,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,手动,46056,纯电动
25544,6143.0,奇瑞风云,10409.0,奇瑞风云,25544,风云X3,250771,401风尚版,2025,纯电动,奇瑞汽车,紧凑型SUV,8.99,8.99万,8.54万,8.99万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,150.0,,,4年或12万公里,永磁/同步,185.0,300.0,,,185.0,300.0,,,,,401.0,,,,,4327,1910,1715,2715,1626.0,1645.0,200.0,1722.0,SUV,5.0,5.0,450.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,,USB/Type-C,,46180,仿皮,前 / 后,自动,46180,纯电动
25544,2620.0,奇瑞风云,10409.0,奇瑞风云,25544,风云X3,255861,520乐游版,2026,纯电动,奇瑞汽车,紧凑型SUV,12.99,12.99万,暂无报价,12.99万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,150.0,,,4年或12万公里,永磁/同步,185.0,300.0,,,185.0,300.0,,,,,520.0,,,,,4327,1910,1715,2715,1626.0,1645.0,200.0,1827.0,SUV,5.0,5.0,450.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,,USB/Type-C,,46243,仿皮,前 / 后,自动,46243,纯电动
