year,month,series_id,series_name,brand,category,monthly_sales,data_source
2023,6,sg10250,212,北汽制造,SUV,426,pcauto
2023,7,sg10250,212,北汽制造,SUV,345,pcauto
2023,8,sg10250,212,北汽制造,SUV,306,pcauto
2023,9,sg10250,212,北汽制造,SUV,266,pcauto
2023,10,sg10250,212,北汽制造,SUV,162,pcauto
2023,11,sg10250,212,北汽制造,SUV,72,pcauto
2023,12,sg10250,212,北汽制造,SUV,219,pcauto
2024,1,sg10250,212,北汽制造,SUV,142,pcauto
2024,2,sg10250,212,北汽制造,SUV,20,pcauto
2024,3,sg10250,212,北汽制造,SUV,122,pcauto
2024,4,sg10250,212,北汽制造,SUV,120,pcauto
2024,5,sg10250,212,北汽制造,SUV,172,pcauto
2024,6,sg10250,212,北汽制造,SUV,160,pcauto
2024,7,sg10250,212,北汽制造,SUV,148,pcauto
2024,8,sg10250,212,北汽制造,SUV,136,pcauto
2024,9,sg30510,212 T01,二一二越野车,SUV,615,pcauto
2024,10,sg30510,212 T01,二一二越野车,SUV,812,pcauto
2024,11,sg30510,212 T01,二一二越野车,SUV,1425,pcauto
2024,12,sg30510,212 T01,二一二越野车,SUV,2025,pcauto
2025,1,sg30510,212 T01,二一二越野车,SUV,1351,pcauto
2025,2,sg30510,212 T01,二一二越野车,SUV,1143,pcauto
2025,3,sg30510,212 T01,二一二越野车,SUV,1290,pcauto
2025,4,sg30510,212 T01,二一二越野车,SUV,1367,pcauto
2025,5,sg30510,212 T01,二一二越野车,SUV,1634,pcauto
2025,6,sg30510,212 T01,二一二越野车,SUV,1422,pcauto
2025,7,sg30510,212 T01,二一二越野车,SUV,1496,pcauto
2025,8,sg30510,212 T01,二一二越野车,SUV,1392,pcauto
2025,9,sg30510,212 T01,二一二越野车,SUV,1019,pcauto
2025,10,sg30510,212 T01,二一二越野车,SUV,1370,pcauto
2025,11,sg30510,212 T01,二一二越野车,SUV,1611,pcauto
2025,12,sg30510,212 T01,二一二越野车,SUV,1918,pcauto
2026,1,sg30510,212 T01,二一二越野车,SUV,1608,pcauto
2026,2,sg30510,212 T01,二一二越野车,SUV,1442,pcauto
2026,3,sg30510,212 T01,二一二越野车,SUV,1829,pcauto
2026,4,sg30510,212 T01,二一二越野车,SUV,1682,pcauto
2026,5,sg30510,212 T01,二一二越野车,SUV,780,pcauto
2022,1,sg23445,A5翼舞,东南,轿车,114,pcauto
2022,2,sg23445,A5翼舞,东南,轿车,71,pcauto
2022,3,sg23445,A5翼舞,东南,轿车,568,pcauto
2022,4,sg23445,A5翼舞,东南,轿车,301,pcauto
2022,5,sg23445,A5翼舞,东南,轿车,34,pcauto
2022,6,sg23445,A5翼舞,东南,轿车,134,pcauto
