brand_id,brand_name,series_name,车辆主表series_id,销量表原series_id,统一后series_id,销量数据来源,销量表车系名,核对状态,处理说明,pcauto_id语义,has_sales_data
196.0,Polestar极星,Polestar 3,5356,5356,5356,dongchedi_fill,Polestar 3,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱之光,1292,1292,1292,dongchedi_fill,五菱之光,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱之光EV,24927,24927,24927,dongchedi_fill,五菱之光EV,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱宏光V,3192,3192,3192,dongchedi_fill,五菱宏光V,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱荣光,1291,1291,1291,dongchedi_fill,五菱荣光,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱荣光EV,4320,4320,4320,dongchedi_fill,五菱荣光EV,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
39.0,五菱汽车,五菱荣光V,1293,1293,1293,dongchedi_fill,五菱荣光V,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
10445.0,华境,华境S,25695,25695,25695,dongchedi_fill,华境S,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
10409.0,奇瑞风云,风云X3,25544,25544,25544,dongchedi_fill,风云X3,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
139.0,开瑞,江豚,5855,5855,5855,dongchedi_fill,江豚,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
123.0,新龙马汽车,新龙马汽车启腾M70,558,558,558,dongchedi_fill,新龙马汽车启腾M70,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
198.0,瑞驰,瑞驰EC75,9255,9255,9255,dongchedi_fill,瑞驰EC75,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
35.0,长安,长安UNI-Z,24540,24540,24540,dongchedi_fill,长安UNI-Z,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
171.0,长安凯程,长安之星9 EV,3022,3022,3022,dongchedi_fill,长安之星9 EV,一致,销量源 ID 与车辆主表 series_id 一致,销量源与车辆主表同ID,True
176.0,ARCFOX极狐,极狐 贝塔S3,25573,sg30917,25573,pcauto,极狐贝塔S3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30917,False
176.0,ARCFOX极狐,极狐 贝塔T1,25401,sg30841,25401,pcauto,极狐贝塔T1,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30841,False
176.0,ARCFOX极狐,极狐 问道V9,25830,sg31087,25830,pcauto,极狐问道V9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31087,False
176.0,ARCFOX极狐,极狐 阿尔法S5,9179,sg30094,9179,pcauto,极狐 阿尔法S5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30094,True
176.0,ARCFOX极狐,极狐 阿尔法T5,6363,sg29434,6363,pcauto,极狐 阿尔法T5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29434,True
65.0,MINI,电动MINI ACEMAN,9945,sg30388,9945,pcauto,电动MINI ACEMAN,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30388,True
65.0,MINI,电动MINI COOPER,9793,sg30347,9793,pcauto,电动MINI COOPER,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30347,True
196.0,Polestar极星,Polestar 2,3166,sg24173,3166,pcauto,Polestar 2,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24173,True
196.0,Polestar极星,Polestar 4,5832,sg29652,5832,pcauto,Polestar 4,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29652,True
10363.0,firefly萤火虫,firefly萤火虫,25116,sg30673,25116,pcauto,firefly萤火虫,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30673,True
909.0,iCAR,iCAR V27,25620,sg30886,25620,pcauto,iCAR V27,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30886,True
909.0,iCAR,iCAR超级V23,10040,sg30412,10040,pcauto,iCAR 超级V23,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30412,False
48.0,smart,smart精灵#1,5322,sg28002,5322,pcauto,smart精灵#1,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28002,True
48.0,smart,smart精灵#3,6272,sg28755,6272,pcauto,smart精灵#3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28755,True
48.0,smart,smart精灵#5,10136,sg30432,10136,pcauto,smart精灵#5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30432,True
373.0,东风富康,e爱丽舍,4391,sg26592,4391,pcauto,e爱丽舍,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26592,True
95.0,东风风光,风光380,5390,sg28692,5390,pcauto,风光380,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28692,True
95.0,东风风光,风光500,4703,sg26831,4703,pcauto,风光500,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26831,True
95.0,东风风光,风光580,436,sg13817,436,dongchedi_fill、pcauto,风光580,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg13817,True
95.0,东风风光,风光E380,6230,sg29241,6230,pcauto,风光E380,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29241,True
95.0,东风风光,风光MINIEV,5389,sg28598,5389,dongchedi_fill、pcauto,风光MINIEV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28598,True
95.0,东风风光,风光S560,1712,sg21775,1712,pcauto,风光S560,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg21775,True
95.0,东风风光,风光ix5,2813,sg22857,2813,dongchedi_fill、pcauto,风光ix5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22857,True
92.0,东风风度,帕拉丁,9181,sg307,9181,pcauto,帕拉丁,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg307,True
37.0,东风风神,东风风神E70,1655,sg21603,1655,pcauto,东风风神E70,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg21603,True
37.0,东风风神,奕炫,3365,sg24417,3365,pcauto,奕炫,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24417,True
37.0,东风风神,皓极,5557,sg28542,5557,pcauto,皓极,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28542,True
37.0,东风风神,皓瀚,8788,sg29512,8788,pcauto,皓瀚,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29512,True
70.0,东风风行,星海S7,9958,sg30393,9958,pcauto,星海S7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30393,True
70.0,东风风行,星海T5,25831,sg31151,25831,pcauto,星海T5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31151,True
70.0,东风风行,星海V9,9374,sg29351,9374,dongchedi_fill、pcauto,星海V9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29351,True
70.0,东风风行,菱智,445,sg4556,445,pcauto,菱智,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg4556,True
70.0,东风风行,风行S50 EV,1810,sg21662,1810,pcauto,风行S50EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg21662,False
70.0,东风风行,风行T5,2820,sg22897,2820,pcauto,风行T5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22897,True
70.0,东风风行,风行T5 EVO,4654,sg26721,4654,dongchedi_fill、pcauto,风行T5 EVO,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26721,True
70.0,东风风行,风行雷霆,5802,sg29305,5802,dongchedi_fill、pcauto,风行雷霆,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29305,True
5.0,丰田,RAV4荣放,546,sg3715,546,pcauto,RAV4荣放,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3715,True
5.0,丰田,丰田bZ3,6126,sg29117,6126,pcauto,丰田bZ3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29117,True
5.0,丰田,丰田bZ5,25314,sg30455,25314,pcauto,丰田bZ5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30455,True
5.0,丰田,亚洲龙,3068,sg23627,3068,pcauto,亚洲龙,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg23627,True
5.0,丰田,凯美瑞,535,sg4550,535,pcauto,凯美瑞,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg4550,True
5.0,丰田,卡罗拉,542,sg2734,542,pcauto,卡罗拉,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg2734,True
5.0,丰田,卡罗拉锐放,5382,sg28123,5382,pcauto,卡罗拉锐放,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28123,True
5.0,丰田,威兰达,4172,sg25490,4172,pcauto,威兰达,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25490,True
5.0,丰田,威飒,5339,sg28006,5339,pcauto,威飒,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28006,True
5.0,丰田,普拉多,547,sg411,547,pcauto,普拉多,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg411,True
5.0,丰田,格瑞维亚,5858,sg28711,5858,pcauto,格瑞维亚,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28711,True
5.0,丰田,汉兰达,536,sg3836,536,pcauto,汉兰达,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3836,True
5.0,丰田,皇冠陆放,4840,sg27393,4840,pcauto,皇冠陆放,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27393,True
5.0,丰田,铂智3X,8987,sg30454,8987,pcauto,铂智3X,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30454,True
5.0,丰田,铂智4X,9668,sg30302,9668,pcauto,铂智4X,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30302,True
5.0,丰田,铂智7,9657,sg30672,9657,pcauto,铂智7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30672,True
5.0,丰田,锋兰达,5369,sg28071,5369,pcauto,锋兰达,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28071,True
5.0,丰田,雷凌,534,sg10801,534,pcauto,雷凌,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg10801,True
