source_site,pcauto_series_id,pcauto_series_name,pcauto_brand,brand_id,brand_name,series_id,series_name,car_id,car_name,version_name,year,config_code,config_title,sale_tab,sale_status,detail_url,source_url,scraped_at,energy_type,manufacturer,vehicle_class,official_price_wan,engine_model,engine_displacement_ml,engine_displacement_l,engine_intake_type,engine_cylinder_arrangement,engine_cylinder_nums,engine_valves_per_cylinder,engine_unique_tech,engine_max_horsepower_ps,engine_max_power_kw,engine_max_power_rpm,engine_max_torque_nm,engine_max_torque_rpm,fuel_form,fuel_grade,oil_supply,cylinder_head_material,cylinder_material,environmental_standard,gearbox_short,gear_count,gearbox_type,max_speed_kmh,acceleration_0_100_s,fuel_consumption_l_100km,warranty_period,motor_type,motor_total_power_kw,motor_total_torque_nm,motor_front_power_kw,motor_front_torque_nm,motor_rear_power_kw,motor_rear_torque_nm,motor_system_power_kw,motor_system_torque_nm,battery_type,battery_capacity_kwh,battery_range_km,battery_warranty,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,min_ground_clearance_mm,curb_weight_kg,body_structure,door_count,seat_count,trunk_volume_l,door_open_way,driver_airbag,side_airbag,knee_airbag,steering_wheel_adjustment,center_screen,multimedia_interface,sound_brand,speaker_count,seat_material,seat_adjustment,seat_heating,seat_massage,seat_ventilation,electric_window,mirror_adjustment,aircon_control,has_sales_data
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,255689.0,325i M运动套装,325i M运动套装,2026.0,M运动套装,亮点配置:,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=255689,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,25.8,B48B20C,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,204.0,150.0,5000.0,300.0,1350.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),233.0,7.6,,3年或10万公里,,,,,,,,,,,,,,4728.0,1827.0,1452.0,2851.0,1583.0,1598.0,160.0,1588.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,6-7,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,255691.0,330i M运动曜夜套装,330i M运动曜夜套装,2026.0,M运动曜夜套装,增加配置(4.0万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=255691,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,29.8,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4728.0,1827.0,1452.0,2851.0,1583.0,1568.0,160.0,1608.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,255690.0,325Li M运动套装,325Li M运动套装,2026.0,M运动套装,亮点配置:,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=255690,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,27.8,B48B20C,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,204.0,150.0,5000.0,300.0,1350.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),233.0,7.9,,3年或10万公里,,,,,,,,,,,,,,4838.0,1827.0,1454.0,2961.0,1583.0,1599.0,160.0,1601.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,6-7,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,255681.0,330Li M运动曜夜套装,330Li M运动曜夜套装,2026.0,M运动曜夜套装,增加配置(3.0万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=255681,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,30.8,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4838.0,1827.0,1454.0,2961.0,1583.0,1569.0,160.0,1618.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,256473.0,330Li 马年版,330Li 马年版,2026.0,马年版,增加配置(1.0万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=256473,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,31.8,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4838.0,1827.0,1454.0,2961.0,1583.0,1569.0,160.0,1618.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,255692.0,330Li 尊享型 M运动曜夜套装,330Li 尊享型 M运动曜夜套装,2026.0,M运动曜夜套装,增加配置(2.0万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=255692,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,33.8,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4838.0,1827.0,1454.0,2961.0,1583.0,1569.0,160.0,1618.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,93944.0,325i M运动套装,325i M运动套装,2025.0,M运动套装,亮点配置:,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=93944,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,31.99,B48B20C,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,204.0,150.0,5000.0,300.0,1350.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),233.0,7.6,,3年或10万公里,,,,,,,,,,,,,,4728.0,1827.0,1452.0,2851.0,1583.0,1598.0,160.0,1588.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,6-7,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,93948.0,325Li M运动套装,325Li M运动套装,2025.0,M运动套装,增加配置(2.0万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=93948,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,33.99,B48B20C,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,204.0,150.0,5000.0,300.0,1350.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),233.0,7.9,,3年或10万公里,,,,,,,,,,,,,,4838.0,1827.0,1454.0,2961.0,1583.0,1599.0,160.0,1601.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,6-7,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,247742.0,330i 50周年限量版,330i 50周年限量版,2025.0,50周年限量版,增加配置(0.5万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=247742,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,34.49,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4728.0,1827.0,1452.0,2851.0,1579.0,1568.0,160.0,1608.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
dongchedi,sg424,宝马3系,宝马,4.0,宝马,145,宝马3系,93945.0,330i M运动曜夜套装,330i M运动曜夜套装,2025.0,M运动曜夜套装,增加配置(1.5万):,online_all,-1.0,https://i.snssdk.com/motor/car_page/v1/get_entity/?car_id_list=93945,https://www.dongchedi.com/motor/pc/car/series/car_list?series_id=145&city_name=北京,2026-07-01T21:06:14,燃油,华晨宝马,中型车,35.99,B48B20G,1998.0,2.0,涡轮增压,L,4.0,4.0,Valvetronic/Double VANOS,272.0,200.0,4500.0,400.0,1600.0,汽油,95#,缸内直喷,铝,铝,国VI b,8挡手自一体,8.0,手自一体变速箱(AT),250.0,6.3,,3年或10万公里,,,,,,,,,,,,,,4728.0,1827.0,1452.0,2851.0,1583.0,1568.0,160.0,1608.0,三厢车,4.0,5.0,510.0,平开门,主 / 副,前 / 后,主 / 副,上下+前后,大屏,USB/Type-C,哈曼卡顿,12以上,仿皮,主驾：电动 / 副驾：电动,前 / 后,前 / 后,前 / 后,前 / 后,未知,自动,True
