identity,review_id,series_name,publish_time,corpus_source,platform,content_source,rating_overall,platform_rating_overall,platform_rating_overall_sentiment,platform_rating_overall_polarity,platform_rating_appearance,platform_rating_appearance_sentiment,platform_rating_appearance_available,platform_rating_interior,platform_rating_interior_sentiment,platform_rating_interior_available,platform_rating_space,platform_rating_space_sentiment,platform_rating_space_available,platform_rating_power,platform_rating_power_sentiment,platform_rating_power_available,platform_rating_control,platform_rating_control_sentiment,platform_rating_control_available,platform_rating_comfort,platform_rating_comfort_sentiment,platform_rating_comfort_available,platform_rating_fuel_consumption,platform_rating_fuel_consumption_sentiment,platform_rating_fuel_consumption_available,platform_rating_configuration,platform_rating_configuration_sentiment,platform_rating_configuration_available,platform_rating_intelligence,platform_rating_intelligence_sentiment,platform_rating_intelligence_available,platform_rating_value,platform_rating_value_sentiment,platform_rating_value_available,text_global_positive_cues,text_global_negative_cues,text_global_polarity,text_appearance_mentioned,text_appearance_positive_cues,text_appearance_negative_cues,text_appearance_polarity,text_interior_mentioned,text_interior_positive_cues,text_interior_negative_cues,text_interior_polarity,text_space_mentioned,text_space_positive_cues,text_space_negative_cues,text_space_polarity,text_power_mentioned,text_power_positive_cues,text_power_negative_cues,text_power_polarity,text_control_mentioned,text_control_positive_cues,text_control_negative_cues,text_control_polarity,text_comfort_mentioned,text_comfort_positive_cues,text_comfort_negative_cues,text_comfort_polarity,text_fuel_consumption_mentioned,text_fuel_consumption_positive_cues,text_fuel_consumption_negative_cues,text_fuel_consumption_polarity,text_configuration_mentioned,text_configuration_positive_cues,text_configuration_negative_cues,text_configuration_polarity,text_intelligence_mentioned,text_intelligence_positive_cues,text_intelligence_negative_cues,text_intelligence_polarity,text_value_mentioned,text_value_positive_cues,text_value_negative_cues,text_value_polarity
dongchedi::7433233998773489688,7433233998773489688,AION RT,2024-11-04 09:44:00,historical_archive,dongchedi,,3.8,3.8,0.3999999999999999,0.0,3.5,0.25,1,4.0,0.5,1,3.0,0.0,1,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,,,0,4.0,0.5,1,,,0,,,0,9,7,1,1,0,1,-1.0,1,1,0,1.0,1,0,5,-1.0,1,2,0,1.0,1,4,1,1.0,1,4,0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0
dongchedi::7434339953368109118,7434339953368109118,AION RT,2024-11-07 09:15:00,historical_archive,dongchedi,,4.1,4.1,0.5499999999999998,0.0,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,,,0,4.5,0.75,1,,,0,,,0,5,3,1,1,0,0,0.0,0,0,0,,1,2,0,1.0,1,0,0,0.0,1,0,0,0.0,1,3,2,1.0,1,3,1,1.0,1,0,1,-1.0,1,2,0,1.0,1,0,2,-1.0
dongchedi::7439160003048525848,7439160003048525848,AION RT,2024-11-20 09:00:00,historical_archive,dongchedi,,3.9,3.9,0.44999999999999996,0.0,3.5,0.25,1,4.5,0.75,1,3.0,0.0,1,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,,,0,4.0,0.5,1,,,0,,,0,4,10,-1,1,0,3,-1.0,0,0,0,,1,4,2,1.0,1,2,1,1.0,1,2,1,1.0,1,2,0,1.0,1,0,4,-1.0,1,0,3,-1.0,1,0,1,-1.0,0,0,0,
dongchedi::7442243301412966425,7442243301412966425,AION RT,2024-11-28 16:58:00,historical_archive,dongchedi,,3.9,3.9,0.44999999999999996,0.0,4.0,0.5,1,4.0,0.5,1,4.0,0.5,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3,3,0,1,2,1,1.0,1,2,1,1.0,1,2,1,1.0,0,0,0,,1,1,0,1.0,1,0,1,-1.0,1,0,1,-1.0,1,0,1,-1.0,1,2,1,1.0,0,0,0,
dongchedi::7442875764778733630,7442875764778733630,AION RT,2024-11-30 09:46:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,5.0,1.0,1,4.0,0.5,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1,11,-1,1,0,4,-1.0,1,1,0,1.0,1,0,1,-1.0,0,0,0,,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,2,-1.0
dongchedi::7442938576909635608,7442938576909635608,AION RT,2024-11-30 13:22:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,4.0,0.5,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2,21,-1,0,0,0,,1,0,3,-1.0,1,0,3,-1.0,1,0,0,0.0,1,0,2,-1.0,1,1,0,1.0,1,1,5,-1.0,1,0,1,-1.0,1,0,3,-1.0,1,0,0,0.0
dongchedi::7443782249561985048,7443782249561985048,AION RT,2024-12-02 20:03:00,historical_archive,dongchedi,,4.8,4.8,0.8999999999999999,1.0,4.0,0.5,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,1,1,1,3,1,1.0,0,0,0,,1,1,1,0.0,0,0,0,,0,0,0,,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,1,0,1.0,1,3,1,1.0
dongchedi::7443828122543198233,7443828122543198233,AION RT,2024-12-02 23:00:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2,1,1,1,1,0,1.0,1,1,0,1.0,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,1,0,0,0.0
dongchedi::7444021854240526360,7444021854240526360,AION RT,2024-12-03 11:26:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,5.0,1.0,1,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,4.5,0.75,1,,,0,,,0,8,7,1,1,2,0,1.0,1,0,2,-1.0,1,0,1,-1.0,0,0,0,,0,0,0,,1,2,1,1.0,1,0,2,-1.0,1,0,2,-1.0,0,0,0,,1,1,0,1.0
dongchedi::7444199046090084377,7444199046090084377,AION RT,2024-12-03 22:54:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,0,1,1,0,0,0.0,0,0,0,,1,2,0,1.0,0,0,0,,0,0,0,,1,2,0,1.0,1,1,0,1.0,1,0,0,0.0,1,1,0,1.0,1,0,0,0.0
