series_name_canonical,corpus_source,platform,rows,target_series,unique_platform_review_ids,missing_review_id,missing_publish_time,blank_content,mean_content_length,list_summary_rows,detail_full_html_rows,possibly_abbreviated_rows,pre_test_end_rows,post_test_end_rows,earliest_review,latest_review,possibly_abbreviated_rate
AION RT,old_v1,dongchedi,98,1,98,0,0,0,224.9591836734694,0,0,0,96,2,2024-11-04 09:44:00,2026-07-05 22:59:00,0.0
AION S,old_v1,dongchedi,100,1,100,0,0,0,474.03,0,0,0,100,0,2021-02-24 02:10:00,2026-04-01 22:26:00,0.0
AION UT,old_v1,dongchedi,94,1,94,0,0,0,301.8829787234043,0,0,0,93,1,2025-02-24 11:28:00,2026-07-06 18:24:00,0.0
EO 羿欧,old_v1,dongchedi,4,1,4,0,0,0,91.25,0,0,0,4,0,2025-11-08 22:46:00,2026-04-14 11:28:00,0.0
EVOS,autohome_incremental,autohome,10,1,10,0,0,0,1319.8,0,10,0,10,0,2022-03-13 00:00:00,2025-07-06 00:00:00,0.0
ID.4 CROZZ,old_v1,dongchedi,198,1,198,0,0,0,761.7929292929293,0,0,0,197,1,2020-12-15 13:01:00,2026-07-04 13:00:00,0.0
ID.4 X,old_v1,dongchedi,200,1,200,0,0,0,833.39,0,0,0,200,0,2021-03-27 17:32:00,2026-06-27 14:45:00,0.0
ID.6 CROZZ,autohome_incremental,autohome,10,1,10,0,0,0,1792.6,0,10,0,10,0,2023-11-07 00:00:00,2026-01-08 00:00:00,0.0
IQ傲歌,old_v1,dongchedi,34,1,34,0,0,0,290.11764705882354,0,0,0,34,0,2024-05-22 19:53:00,2026-04-25 14:16:00,0.0
IQ锐歌,old_v1,dongchedi,99,1,99,0,0,0,536.7272727272727,0,0,0,98,1,2022-06-27 15:20:00,2026-07-04 22:09:00,0.0
MG4,dongchedi_incremental,dongchedi,182,1,182,0,0,0,439.9725274725275,0,0,0,142,40,2025-09-02 02:50:42,2026-08-21 13:14:38,0.0
MG6,dongchedi_incremental,dongchedi,199,1,199,0,0,0,672.8241206030151,0,0,0,194,5,2020-10-25 11:35:14,2026-08-13 20:15:13,0.0
MG7,autohome_incremental,autohome,27,1,27,0,0,0,888.4814814814815,0,27,0,27,0,2023-08-16 00:00:00,2026-03-25 00:00:00,0.0
Model 3,old_v1,dongchedi,100,1,100,0,0,0,932.72,0,0,0,93,7,2020-09-29 15:29:00,2026-07-09 16:35:00,0.0
Model Y,old_v1,dongchedi,100,1,100,0,0,0,1186.9,0,0,0,95,5,2021-01-21 21:15:00,2026-07-09 15:29:00,0.0
PATHFINDER探陆,autohome_incremental,autohome,10,1,10,0,0,0,811.1,0,10,0,10,0,2024-07-09 00:00:00,2026-04-15 00:00:00,0.0
Polestar 4,old_v1,dongchedi,65,1,65,0,0,0,407.2769230769231,0,0,0,65,0,2023-08-29 20:29:00,2026-06-14 16:10:00,0.0
QQ冰淇淋,dongchedi_incremental,dongchedi,15,1,15,0,0,0,674.6666666666666,0,0,0,15,0,2022-01-10 10:58:56,2026-06-20 09:43:14,0.0
RAV4荣放,old_v1,dongchedi,100,1,100,0,0,0,1371.93,0,0,0,98,2,2020-12-22 16:16:00,2026-07-03 19:37:00,0.0
T-ROC探歌,autohome_incremental,autohome,10,1,10,0,0,0,952.6,0,10,0,10,0,2024-07-17 00:00:00,2026-06-17 00:00:00,0.0
eπ007,dongchedi_incremental,dongchedi,15,1,15,0,0,0,844.6666666666666,0,0,0,6,9,2024-04-12 00:24:27,2026-08-11 09:25:55,0.0
e爱丽舍,old_v1,dongchedi,1,1,1,0,0,0,311.0,0,0,0,1,0,2023-12-11 16:59:00,2023-12-11 16:59:00,0.0
firefly萤火虫,old_v1,dongchedi,95,1,95,0,0,0,344.2526315789474,0,0,0,95,0,2025-04-27 11:08:00,2026-06-29 21:38:00,0.0
iCAR 03,autohome_incremental,autohome,10,1,10,0,0,0,1074.0,0,10,0,10,0,2025-02-24 00:00:00,2026-02-10 00:00:00,0.0
世纪,old_v1,dongchedi,39,1,39,0,0,0,319.4871794871795,0,0,0,39,0,2022-11-15 16:21:00,2026-06-26 09:44:00,0.0
东风本田S7,old_v1,dongchedi,32,1,32,0,0,0,149.25,0,0,0,32,0,2025-03-27 12:03:00,2026-06-28 11:23:00,0.0
丰田bZ3,old_v1,dongchedi,58,1,58,0,0,0,229.05172413793105,0,0,0,58,0,2023-03-16 11:19:00,2026-05-06 00:59:00,0.0
丰田bZ5,old_v1,dongchedi,57,1,57,0,0,0,262.280701754386,0,0,0,56,1,2025-07-13 15:06:00,2026-07-05 16:00:00,0.0
五菱佳辰,autohome_incremental,autohome,10,1,10,0,0,0,1218.1,0,10,0,10,0,2022-09-08 00:00:00,2024-05-08 00:00:00,0.0
