feature_protocol,forecast_month,split,series_rows,information_cutoff_exclusive,lookback_start_inclusive,max_review_time_used,all_prior_review_rows,recent_180d_review_rows,series_with_any_prior_review,series_with_recent_180d_review,recent_historical_label_rows,recent_project_label_rows,recent_manual_override_rows
fixed_origin,2022-07,train,371,2022-07-01,2022-01-02,2022-06-30T23:27:00,7980,2807,172,167,2721,86,0
fixed_origin,2022-08,train,371,2022-08-01,2022-02-02,2022-07-31T20:03:00,8518,2862,174,169,2787,75,0
fixed_origin,2022-09,train,371,2022-09-01,2022-03-05,2022-08-31T23:58:00,9171,3017,176,168,2953,64,0
fixed_origin,2022-10,train,371,2022-10-01,2022-04-04,2022-09-30T23:54:00,9497,2864,180,170,2810,54,0
fixed_origin,2022-11,train,371,2022-11-01,2022-05-05,2022-10-31T23:37:00,9907,2886,186,175,2830,56,0
fixed_origin,2022-12,train,371,2022-12-01,2022-06-04,2022-11-30T22:32:00,10344,2856,190,177,2805,51,0
fixed_origin,2023-01,train,371,2023-01-01,2022-07-05,2022-12-31T22:13:00,10626,2564,191,177,2518,46,0
fixed_origin,2023-02,train,371,2023-02-01,2022-08-05,2023-01-31T13:24:00,10875,2252,193,173,2204,48,0
fixed_origin,2023-03,train,371,2023-03-01,2022-09-02,2023-02-28T20:21:00,11121,1937,193,167,1889,48,0
fixed_origin,2023-04,train,371,2023-04-01,2022-10-03,2023-03-31T22:33:00,11364,1845,195,167,1790,55,0
fixed_origin,2023-05,train,371,2023-05-01,2022-11-02,2023-04-30T22:27:00,11567,1644,199,170,1585,59,0
fixed_origin,2023-06,train,371,2023-06-01,2022-12-03,2023-05-31T18:41:00,11767,1396,202,167,1336,60,0
fixed_origin,2023-07,train,371,2023-07-01,2023-01-02,2023-06-30T22:22:00,11935,1307,205,167,1240,67,0
fixed_origin,2023-08,train,371,2023-08-01,2023-02-02,2023-07-31T23:21:00,12138,1248,207,164,1182,66,0
fixed_origin,2023-09,train,371,2023-09-01,2023-03-05,2023-08-31T23:51:00,12364,1206,215,166,1132,74,0
fixed_origin,2023-10,train,371,2023-10-01,2023-04-04,2023-09-30T22:17:00,12538,1147,217,161,1068,79,0
fixed_origin,2023-11,train,371,2023-11-01,2023-05-05,2023-10-31T19:45:00,12716,1127,218,149,1054,73,0
fixed_origin,2023-12,train,371,2023-12-01,2023-06-04,2023-11-30T22:56:00,12912,1133,225,148,1053,80,0
fixed_origin,2024-01,train,371,2024-01-01,2023-07-05,2023-12-31T20:00:00,13093,1139,226,148,1061,78,0
fixed_origin,2024-02,train,371,2024-02-01,2023-08-05,2024-01-31T20:10:00,13308,1138,231,149,1058,80,0
fixed_origin,2024-03,train,371,2024-03-01,2023-09-03,2024-02-29T17:54:00,13450,1078,233,143,1010,68,0
fixed_origin,2024-04,train,371,2024-04-01,2023-10-04,2024-03-31T17:49:00,13638,1089,236,149,1024,65,0
fixed_origin,2024-05,train,371,2024-05-01,2023-11-03,2024-04-30T23:11:00,13837,1110,239,152,1048,62,0
fixed_origin,2024-06,train,371,2024-06-01,2023-12-04,2024-05-31T20:34:00,14025,1085,242,152,1035,50,0
fixed_origin,2024-07,train,371,2024-07-01,2024-01-03,2024-06-30T23:33:00,14185,1088,244,153,1037,51,0
fixed_origin,2024-08,train,371,2024-08-01,2024-02-03,2024-07-31T15:54:00,14390,1076,249,156,1006,70,0
fixed_origin,2024-09,train,371,2024-09-01,2024-03-05,2024-08-31T19:23:00,14560,1086,250,161,1016,70,0
fixed_origin,2024-10,train,371,2024-10-01,2024-04-04,2024-09-30T22:53:00,14704,1049,255,168,985,64,0
fixed_origin,2024-11,train,371,2024-11-01,2024-05-05,2024-10-31T22:18:00,14910,1051,257,172,996,55,0
fixed_origin,2024-12,train,371,2024-12-01,2024-06-04,2024-11-30T23:18:00,15164,1122,261,176,1060,62,0
fixed_origin,2025-01,train,371,2025-01-01,2024-07-05,2024-12-31T12:11:00,15363,1149,263,178,1080,69,0
