series_name,date,split,review_count_prior_all,review_count_180d,review_available_prior,review_available_180d,review_appearance_score_prior_mean,review_interior_score_prior_mean,review_space_score_prior_mean,review_power_score_prior_mean,review_control_score_prior_mean,review_comfort_score_prior_mean,review_fuel_consumption_score_prior_mean,review_configuration_score_prior_mean,review_intelligence_score_prior_mean,review_value_score_prior_mean,review_appearance_score_180d_mean,review_interior_score_180d_mean,review_space_score_180d_mean,review_power_score_180d_mean,review_control_score_180d_mean,review_comfort_score_180d_mean,review_fuel_consumption_score_180d_mean,review_configuration_score_180d_mean,review_intelligence_score_180d_mean,review_value_score_180d_mean,review_appearance_positive_180d_rate,review_interior_positive_180d_rate,review_space_positive_180d_rate,review_power_positive_180d_rate,review_control_positive_180d_rate,review_comfort_positive_180d_rate,review_fuel_consumption_positive_180d_rate,review_configuration_positive_180d_rate,review_intelligence_positive_180d_rate,review_value_positive_180d_rate,review_appearance_negative_180d_rate,review_interior_negative_180d_rate,review_space_negative_180d_rate,review_power_negative_180d_rate,review_control_negative_180d_rate,review_comfort_negative_180d_rate,review_fuel_consumption_negative_180d_rate,review_configuration_negative_180d_rate,review_intelligence_negative_180d_rate,review_value_negative_180d_rate,review_appearance_uniform_mention_180d_count,review_interior_uniform_mention_180d_count,review_space_uniform_mention_180d_count,review_power_uniform_mention_180d_count,review_control_uniform_mention_180d_count,review_comfort_uniform_mention_180d_count,review_fuel_consumption_uniform_mention_180d_count,review_configuration_uniform_mention_180d_count,review_intelligence_uniform_mention_180d_count,review_value_uniform_mention_180d_count,review_appearance_uniform_mention_180d_rate,review_interior_uniform_mention_180d_rate,review_space_uniform_mention_180d_rate,review_power_uniform_mention_180d_rate,review_control_uniform_mention_180d_rate,review_comfort_uniform_mention_180d_rate,review_fuel_consumption_uniform_mention_180d_rate,review_configuration_uniform_mention_180d_rate,review_intelligence_uniform_mention_180d_rate,review_value_uniform_mention_180d_rate,review_overall_aspect_score_180d_mean,review_any_positive_180d_rate,review_any_negative_180d_rate,feature_protocol,information_cutoff_exclusive
AION S,2022-04-01,train,23,13,1,1,0.6521739130434783,0.391304347826087,0.5217391304347826,0.8260869565217391,0.13043478260869565,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.0,0.43478260869565216,0.5384615384615384,0.23076923076923078,0.46153846153846156,0.7692307692307693,0.15384615384615385,0.0,0.23076923076923078,0.3076923076923077,-0.23076923076923078,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.7692307692307693,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.23076923076923078,0.46153846153846156,0.0,0.23076923076923078,0.07692307692307693,0.0,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.07692307692307693,7,10,10,10,10,10,9,10,6,8,0.5384615384615384,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.7692307692307693,0.46153846153846156,0.6153846153846154,0.2846153846153846,0.9230769230769231,0.7692307692307693,fixed_origin,2022-04-01
EVOS,2022-04-01,train,2,2,1,1,1.0,0.5,1.0,1.0,-0.5,0.5,0.5,0.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-0.5,0.5,0.5,0.0,-1.0,-1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,fixed_origin,2022-04-01
ID.4 CROZZ,2022-04-01,train,69,51,1,1,0.6376811594202898,0.2753623188405797,0.5217391304347826,0.4782608695652174,0.7246376811594203,0.4782608695652174,0.4782608695652174,0.42028985507246375,-0.2318840579710145,0.5652173913043478,0.6274509803921569,0.19607843137254902,0.6078431372549019,0.45098039215686275,0.7843137254901961,0.5098039215686274,0.45098039215686275,0.45098039215686275,-0.43137254901960786,0.5686274509803921,0.6274509803921569,0.27450980392156865,0.6470588235294118,0.5098039215686274,0.8235294117647058,0.6666666666666666,0.6078431372549019,0.5882352941176471,0.2549019607843137,0.6078431372549019,0.0,0.0784313725490196,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.1568627450980392,0.1568627450980392,0.13725490196078433,0.6862745098039216,0.0392156862745098,34,29,41,34,43,43,48,42,46,40,0.6666666666666666,0.5686274509803921,0.803921568627451,0.6666666666666666,0.8431372549019608,0.8431372549019608,0.9411764705882353,0.8235294117647058,0.9019607843137255,0.7843137254901961,0.4215686274509804,1.0,0.8235294117647058,fixed_origin,2022-04-01
ID.4 X,2022-04-01,train,59,18,1,1,0.576271186440678,0.3050847457627119,0.6610169491525424,0.6440677966101694,0.7966101694915254,0.4915254237288136,0.3728813559322034,0.3389830508474576,0.0847457627118644,0.13559322033898305,0.7222222222222222,0.4444444444444444,0.7777777777777778,0.5,0.6111111111111112,0.3333333333333333,0.4444444444444444,0.3333333333333333,-0.05555555555555555,0.16666666666666666,0.7222222222222222,0.5555555555555556,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.4444444444444444,0.5555555555555556,0.5,0.3333333333333333,0.2777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.1111111111111111,13,12,14,14,13,15,17,12,14,9,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.9444444444444444,0.6666666666666666,0.7777777777777778,0.5,0.4277777777777778,0.9444444444444444,0.5555555555555556,fixed_origin,2022-04-01
ID.6 CROZZ,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
IQ锐歌,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
MG4,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
MG6,2022-04-01,train,148,46,1,1,0.7837837837837838,0.16891891891891891,0.46621621621621623,0.7162162162162162,0.22297297297297297,-0.2905405405405405,0.12162162162162163,0.30405405405405406,0.02027027027027027,0.39864864864864863,0.7608695652173914,0.043478260869565216,0.43478260869565216,0.8260869565217391,0.13043478260869565,-0.2826086956521739,0.30434782608695654,0.32608695652173914,-0.043478260869565216,0.3695652173913043,0.782608695652174,0.30434782608695654,0.5652173913043478,0.8695652173913043,0.391304347826087,0.17391304347826086,0.43478260869565216,0.391304347826087,0.2608695652173913,0.4782608695652174,0.021739130434782608,0.2608695652173913,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.45652173913043476,0.13043478260869565,0.06521739130434782,0.30434782608695654,0.10869565217391304,36,34,40,43,32,35,34,27,19,33,0.782608695652174,0.7391304347826086,0.8695652173913043,0.9347826086956522,0.6956521739130435,0.7608695652173914,0.7391304347826086,0.5869565217391305,0.41304347826086957,0.717391304347826,0.28695652173913044,1.0,0.8478260869565217,fixed_origin,2022-04-01
Model 3,2022-04-01,train,58,26,1,1,0.5517241379310345,0.05172413793103448,0.017241379310344827,0.8620689655172413,0.6206896551724138,-0.5172413793103449,0.3793103448275862,0.22413793103448276,0.4482758620689655,0.5172413793103449,0.7307692307692307,0.038461538461538464,-0.038461538461538464,0.8846153846153846,0.8076923076923077,-0.46153846153846156,0.5,0.3076923076923077,0.6538461538461539,0.6923076923076923,0.7307692307692307,0.23076923076923078,0.19230769230769232,0.8846153846153846,0.8076923076923077,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.7692307692307693,0.7692307692307693,0.0,0.19230769230769232,0.23076923076923078,0.0,0.0,0.5384615384615384,0.11538461538461539,0.0,0.11538461538461539,0.07692307692307693,21,15,17,23,22,21,26,21,22,22,0.8076923076923077,0.5769230769230769,0.6538461538461539,0.8846153846153846,0.8461538461538461,0.8076923076923077,1.0,0.8076923076923077,0.8461538461538461,0.8461538461538461,0.4115384615384615,1.0,0.7307692307692307,fixed_origin,2022-04-01
Model Y,2022-04-01,train,62,42,1,1,0.532258064516129,0.20967741935483872,0.8387096774193549,0.8709677419354839,0.6451612903225806,-0.5967741935483871,0.46774193548387094,0.3064516129032258,0.45161290322580644,0.5,0.4523809523809524,0.19047619047619047,0.8571428571428571,0.8333333333333334,0.6666666666666666,-0.7380952380952381,0.42857142857142855,0.2857142857142857,0.5476190476190477,0.5,0.5238095238095238,0.3333333333333333,0.8809523809523809,0.8571428571428571,0.7857142857142857,0.047619047619047616,0.5714285714285714,0.38095238095238093,0.6666666666666666,0.5238095238095238,0.07142857142857142,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.11904761904761904,0.7857142857142857,0.14285714285714285,0.09523809523809523,0.11904761904761904,0.023809523809523808,31,28,40,36,38,37,38,31,33,32,0.7380952380952381,0.6666666666666666,0.9523809523809523,0.8571428571428571,0.9047619047619048,0.8809523809523809,0.9047619047619048,0.7380952380952381,0.7857142857142857,0.7619047619047619,0.40238095238095234,1.0,0.8571428571428571,fixed_origin,2022-04-01
