series_name,reviews_available_before_2026_01,reviews_available_before_2026_02,reviews_available_before_2026_03,reviews_available_before_2026_04,reviews_available_before_2026_05,reviews_available_before_2026_06
AION RT,57,66,73,75,82,89
AION S,91,96,99,99,100,100
AION UT,70,81,83,87,89,89
EO 羿欧,2,3,3,3,4,4
EVOS,10,10,10,10,10,10
ID.4 CROZZ,193,194,194,194,195,197
ID.4 X,198,198,198,198,199,199
ID.6 CROZZ,9,10,10,10,10,10
IQ傲歌,31,33,33,33,34,34
IQ锐歌,97,97,97,97,97,97
MG4,115,123,128,129,133,134
MG6,192,193,193,194,194,194
MG7,17,17,25,27,27,27
Model 3,80,81,82,82,82,82
Model Y,93,94,94,95,95,95
PATHFINDER探陆,7,7,7,9,10,10
Polestar 4,64,64,64,64,64,64
QQ冰淇淋,11,11,12,12,12,13
RAV4荣放,97,97,98,98,98,98
T-ROC探歌,8,8,8,9,9,9
eπ007,6,6,6,6,6,6
e爱丽舍,1,1,1,1,1,1
firefly萤火虫,60,70,77,79,84,89
iCAR 03,8,9,10,10,10,10
世纪,36,36,36,36,36,37
东风本田S7,18,19,20,20,26,29
丰田bZ3,51,54,56,56,57,58
丰田bZ5,37,39,40,44,47,52
五菱佳辰,10,10,10,10,10,10
五菱宏光,10,10,10,10,10,10
五菱宏光S,0,0,0,0,0,0
五菱征程,10,10,10,10,10,10
五菱星云,10,10,10,10,10,10
五菱星光,9,9,9,10,10,10
五菱星驰,10,10,10,10,10,10
亚洲狮,10,10,10,10,10,10
亚洲龙,85,85,85,85,85,85
享域,10,10,10,10,10,10
伊兰特,98,98,98,98,98,98
传祺E8新能源,15,15,15,15,16,16
传祺GA8,10,10,10,10,10,10
传祺M6,78,79,80,83,90,96
传祺M8,71,71,72,75,84,95
元PLUS,80,85,88,90,91,94
元UP,41,52,55,63,71,82
冠道,97,97,97,98,98,100
凌宝BOX,9,9,9,9,9,9
凌尚,9,9,9,10,10,10
凌放HARRIER,10,10,10,10,10,10
凌渡,175,181,183,185,187,192
凡尔赛C5 X,94,94,94,94,94,94
凯威德,0,0,0,0,0,0
凯美瑞,96,96,99,99,99,99
凯翼拾月,13,13,13,13,13,13
凯迪拉克CT5,100,100,100,100,100,100
凯迪拉克XT5,60,65,68,72,78,87
凯迪拉克XT6,94,95,96,97,98,99
别克E4,10,10,10,10,10,10
别克GL6,10,10,10,10,10,10
别克GL8,91,92,95,96,97,98
别克GL8新能源,10,10,10,10,13,14
勇士,9,9,10,10,10,10
北京EU5,10,10,10,10,10,10
北京现代ix35,9,9,9,10,10,10
博越REV,0,0,0,1,14,15
卡罗拉,73,75,80,86,89,93
卡罗拉双擎E+,10,10,10,10,10,10
卡罗拉锐放,35,45,51,62,73,86
合创A06,10,10,10,10,10,10
吉利ICON,94,97,99,99,99,99
吉利熊猫,7,10,10,10,10,10
君威,100,100,100,100,100,100
君越,95,95,95,95,96,96
启辰D60,88,92,92,94,96,96
启辰T60,10,10,10,10,10,10
唐新能源,18,18,18,18,18,18
嘉华,97,97,99,99,100,100
型格,94,96,97,98,99,99
埃尚,2,3,4,4,4,4
夏,52,53,55,61,63,67
大众CC,186,188,188,189,194,197
大众ID.3,188,190,192,195,196,197
大家7,10,10,10,10,10,10
大家9,10,10,10,10,10,10
大通G10,40,41,42,42,43,43
大通G50,93,93,95,95,96,97
大通G70,7,7,7,7,7,7
大通G90,25,25,25,25,26,26
天籁,99,99,100,100,100,100
奇骏,100,100,100,100,100,100
奔奔E-Star,3,3,3,3,3,3
奔腾小马,58,64,70,76,76,78
奔驰A级,98,99,99,99,100,100
奔驰C级,88,88,88,88,88,88
奔驰E级,53,54,56,58,68,79
奔驰GLB,79,81,86,91,92,94
奔驰GLC,55,57,62,68,73,83
奔驰V级,76,77,77,77,78,80
奕炫,97,99,99,99,99,100
奕跑,71,72,73,75,80,81
奥德赛,87,90,93,93,95,98
奥迪A3,64,70,74,81,86,93
奥迪A4L,100,100,100,100,100,100
奥迪A5L,69,78,80,88,89,91
奥迪A5L Sportback,58,66,74,85,89,92
奥迪A6L,74,76,78,82,85,89
奥迪A6L e-tron,0,0,0,0,0,1
奥迪A7L,82,90,90,94,95,96
奥迪E5 Sportback,38,52,55,60,60,63
奥迪Q2L,99,99,99,99,100,100
