series_name,review_count,archived_reviews,dongchedi_incremental_reviews,autohome_incremental_reviews,earliest_review,latest_review,pre_test_end_reviews,post_test_end_reviews,review_coverage_status
五菱宏光S,0,0,0,0,,,0,0,no_review
帕萨特新能源,0,0,0,0,,,0,0,no_review
摩卡,0,0,0,0,,,0,0,no_review
新帝豪,0,0,0,0,,,0,0,no_review
星海T5,0,0,0,0,,,0,0,no_review
星瑞L,0,0,0,0,,,0,0,no_review
星越L 智擎,0,0,0,0,,,0,0,no_review
沃尔沃S90新能源,0,0,0,0,,,0,0,no_review
海豹06DM-i,0,0,0,0,,,0,0,no_review
海马INJOY,0,0,0,0,,,0,0,no_review
瑞风RF8新能源,0,0,0,0,,,0,0,no_review
红旗国耀,0,0,0,0,,,0,0,no_review
起亚K5凯酷,0,0,0,0,,,0,0,no_review
轩度EV,0,0,0,0,,,0,0,no_review
途胜L,0,0,0,0,,,0,0,no_review
途观L新能源,0,0,0,0,,,0,0,no_review
锐界L,0,0,0,0,,,0,0,no_review
长安UNI-Z新能源,0,0,0,0,,,0,0,no_review
长安启源Q05经典,0,0,0,0,,,0,0,no_review
长安欧尚520,0,0,0,0,,,0,0,no_review
领克07,0,0,0,0,,,0,0,no_review
风光330,0,0,0,0,,,0,0,no_review
风光380,0,0,0,0,,,0,0,no_review
风光E380,0,0,0,0,,,0,0,no_review
骐达,0,0,0,0,,,0,0,no_review
魏牌 高山,0,0,0,0,,,0,0,no_review
AION RT,98,98,0,0,2024-11-04 09:44:00,2026-07-05 22:59:00,96,2,pre_test_review_available
AION S,100,100,0,0,2021-02-24 02:10:00,2026-04-01 22:26:00,100,0,pre_test_review_available
AION UT,94,94,0,0,2025-02-24 11:28:00,2026-07-06 18:24:00,93,1,pre_test_review_available
EO 羿欧,4,4,0,0,2025-11-08 22:46:00,2026-04-14 11:28:00,4,0,pre_test_review_available
EVOS,10,0,0,10,2022-03-13 00:00:00,2025-07-06 00:00:00,10,0,pre_test_review_available
ID.4 CROZZ,198,198,0,0,2020-12-15 13:01:00,2026-07-04 13:00:00,197,1,pre_test_review_available
ID.4 X,200,200,0,0,2021-03-27 17:32:00,2026-06-27 14:45:00,200,0,pre_test_review_available
ID.6 CROZZ,10,0,0,10,2023-11-07 00:00:00,2026-01-08 00:00:00,10,0,pre_test_review_available
IQ傲歌,34,34,0,0,2024-05-22 19:53:00,2026-04-25 14:16:00,34,0,pre_test_review_available
IQ锐歌,99,99,0,0,2022-06-27 15:20:00,2026-07-04 22:09:00,98,1,pre_test_review_available
MG4,182,0,182,0,2025-09-02 02:50:42,2026-08-21 13:14:38,142,40,pre_test_review_available
MG6,199,0,199,0,2020-10-25 11:35:14,2026-08-13 20:15:13,194,5,pre_test_review_available
MG7,27,0,0,27,2023-08-16 00:00:00,2026-03-25 00:00:00,27,0,pre_test_review_available
Model 3,100,100,0,0,2020-09-29 15:29:00,2026-07-09 16:35:00,93,7,pre_test_review_available
Model Y,100,100,0,0,2021-01-21 21:15:00,2026-07-09 15:29:00,95,5,pre_test_review_available
PATHFINDER探陆,10,0,0,10,2024-07-09 00:00:00,2026-04-15 00:00:00,10,0,pre_test_review_available
Polestar 4,65,65,0,0,2023-08-29 20:29:00,2026-06-14 16:10:00,65,0,pre_test_review_available
QQ冰淇淋,15,0,15,0,2022-01-10 10:58:56,2026-06-20 09:43:14,15,0,pre_test_review_available
RAV4荣放,100,100,0,0,2020-12-22 16:16:00,2026-07-03 19:37:00,98,2,pre_test_review_available
T-ROC探歌,10,0,0,10,2024-07-17 00:00:00,2026-06-17 00:00:00,10,0,pre_test_review_available
eπ007,15,0,15,0,2024-04-12 00:24:27,2026-08-11 09:25:55,6,9,pre_test_review_available
e爱丽舍,1,1,0,0,2023-12-11 16:59:00,2023-12-11 16:59:00,1,0,pre_test_review_available
firefly萤火虫,95,95,0,0,2025-04-27 11:08:00,2026-06-29 21:38:00,95,0,pre_test_review_available
iCAR 03,10,0,0,10,2025-02-24 00:00:00,2026-02-10 00:00:00,10,0,pre_test_review_available
世纪,39,39,0,0,2022-11-15 16:21:00,2026-06-26 09:44:00,39,0,pre_test_review_available
东风本田S7,32,32,0,0,2025-03-27 12:03:00,2026-06-28 11:23:00,32,0,pre_test_review_available
