identity,review_id,series_name,publish_time,corpus_source,content_chars,content_sha256,legacy_absa_available,prompt_version,requested_model,batch_id,batch_size,success,error,scored_at,appearance_mentioned,appearance_polarity,legacy_compatible_appearance,interior_mentioned,interior_polarity,legacy_compatible_interior,space_mentioned,space_polarity,legacy_compatible_space,power_mentioned,power_polarity,legacy_compatible_power,control_mentioned,control_polarity,legacy_compatible_control,comfort_mentioned,comfort_polarity,legacy_compatible_comfort,fuel_consumption_mentioned,fuel_consumption_polarity,legacy_compatible_fuel_consumption,configuration_mentioned,configuration_polarity,legacy_compatible_configuration,intelligence_mentioned,intelligence_polarity,legacy_compatible_intelligence,value_mentioned,value_polarity,legacy_compatible_value
dongchedi::7647519401394049086,7647519401394049086,AION RT,2026-06-04 20:41:00,old_v1,35,df30cd9330b6b85cdda88da8ea69bb5e3b719cef011bcb4e5e622e4934b50653,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,de6f0c5aa69cba2b,10,True,,2026-08-24T07:59:50.111490+00:00,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0
dongchedi::7647773692813922328,7647773692813922328,AION RT,2026-06-05 21:16:00,old_v1,348,789fc6f4441311bef28b3fdca0fcb1cddba92535b7c7927305fe1ccb1c9d8449,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,4347bac76a9aafd1,10,True,,2026-08-24T08:09:18.057210+00:00,False,,0,False,,0,True,1.0,1,False,,0,False,,0,False,,0,True,-1.0,-1,True,1.0,1,False,,0,True,1.0,1
dongchedi::7649326573748768792,7649326573748768792,AION RT,2026-06-09 17:33:00,old_v1,52,0b711e4871de3944c0dd3c113b67ea3864a345e4389818c46d3e7a44ecac85eb,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,db4cf053fd1ec5ca,10,True,,2026-08-24T08:02:06.434829+00:00,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,True,1.0,1
dongchedi::7649687673392615448,7649687673392615448,AION RT,2026-06-10 16:55:00,old_v1,30,c071415b4465b134b67504362b381096257b332532268d6b61a68eda5d06dc13,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,3b43df8c5ac6fb3b,10,True,,2026-08-24T07:58:41.320079+00:00,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0
dongchedi::7651186873032790040,7651186873032790040,AION RT,2026-06-14 17:52:00,old_v1,64,5757209b52c12bd5cced057eeb717fa14eafc5b889d0b2d581277a14ea382626,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,158b0bbb4a8b792f,10,True,,2026-08-24T08:02:39.628549+00:00,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,True,-1.0,-1,False,,0,False,,0
dongchedi::7652908547507769368,7652908547507769368,AION RT,2026-06-19 09:23:00,old_v1,61,848fd0b343c8e6f7e02884c71e924e50adeee51e9c7e9b0cd13785e83308374e,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,fe07541ade383baf,10,True,,2026-08-24T08:02:30.169221+00:00,False,,0,False,,0,False,,0,False,,0,True,-1.0,-1,False,,0,True,1.0,1,False,,0,False,,0,True,1.0,1
dongchedi::7656349549388107838,7656349549388107838,AION RT,2026-06-28 15:47:00,old_v1,34,843bb490f1ea89c55467bfb10bcf352975b05c1cfb2f5eae9f91e4f17713c40d,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,1245b3b950e455e6,10,True,,2026-08-24T07:59:40.588148+00:00,False,,0,True,1.0,1,False,,0,True,1.0,1,False,,0,False,,0,True,1.0,1,False,,0,False,,0,True,1.0,1
dongchedi::7658514521404755993,7658514521404755993,AION RT,2026-07-04 11:48:00,old_v1,34,1ae9507ef128f36ea2045cd38c122a7dcb636846c845e17af93bc27d1ed44c5f,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,1245b3b950e455e6,10,True,,2026-08-24T07:59:40.588148+00:00,True,1.0,1,True,-1.0,-1,False,,0,False,,0,False,,0,False,,0,False,,0,True,1.0,1,False,,0,False,,0
dongchedi::7659057754979455038,7659057754979455038,AION RT,2026-07-05 22:59:00,old_v1,40,0ca836cbeb901223a97c2812f8b4c77b8567cf2e5ed5e143736696b64ddd040d,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,f3abaed2c4ac6a28,10,True,,2026-08-24T08:00:53.936625+00:00,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0,True,1.0,1,False,,0,True,-1.0,-1,False,,0
dongchedi::6932496590535921678,6932496590535921678,AION S,2021-02-24 02:10:00,old_v1,405,1645f60f1ffbfea3e5f440312a8a1c2385aac3b93e4b94178fc94c4da49976b6,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,105cdf1b79576f72,10,True,,2026-08-24T08:11:37.107035+00:00,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,-1.0,-1,True,1.0,1,False,,0,True,1.0,1,False,,0,False,,0
dongchedi::6971433626978226184,6971433626978226184,AION S,2021-06-08 22:42:00,old_v1,655,765aaf59c7c727ed36164e861d43975baf8dc4ac71cfb68fac17fccf2c38449b,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,a4ab5bcdf5491ad3,10,True,,2026-08-24T08:25:07.705057+00:00,False,,0,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0
dongchedi::6971671545215193118,6971671545215193118,AION S,2021-06-09 14:06:00,old_v1,648,9cd5119492c56410034d53c3427a0fee214ed6ee53e5d3c4aabd859c35c92a01,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,78ff103755df1f6a,10,True,,2026-08-24T08:24:52.302234+00:00,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0,False,,0,True,1.0,1
dongchedi::6976622481138257932,6976622481138257932,AION S,2021-06-22 22:18:00,old_v1,734,7c5b7a3e1494be07ea550d5721928735471fdec5464a2ee4c17cd25469cb491b,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,8ea10a7b29d80889,10,True,,2026-08-24T08:32:25.688281+00:00,False,,0,True,-1.0,-1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,True,1.0,1,True,1.0,1
dongchedi::6992809011456249887,6992809011456249887,AION S,2021-08-05 13:10:00,old_v1,457,4ac5285176956324b62dff1dd53fe0511e345be31c37a3db0810d3aa693610fd,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,8d08bd6890c138a2,10,True,,2026-08-24T08:13:22.229209+00:00,True,1.0,1,True,1.0,1,True,0.0,0,True,1.0,1,True,-1.0,-1,True,1.0,1,False,,0,True,-1.0,-1,False,,0,False,,0
