identity,review_id,series_name,publish_time,corpus_source,content_chars,content_sha256,prompt_version,success,error,attempts,requested_model,api_model,thinking_mode,finish_reason,prompt_tokens,cache_hit_tokens,cache_miss_tokens,completion_tokens,total_tokens,pricing_tier,estimated_cost_usd,estimated_cost_cny,started_at,finished_at,appearance_mentioned,appearance_polarity,appearance_evidence,interior_mentioned,interior_polarity,interior_evidence,space_mentioned,space_polarity,space_evidence,power_mentioned,power_polarity,power_evidence,control_mentioned,control_polarity,control_evidence,comfort_mentioned,comfort_polarity,comfort_evidence,fuel_consumption_mentioned,fuel_consumption_polarity,fuel_consumption_evidence,configuration_mentioned,configuration_polarity,configuration_evidence,intelligence_mentioned,intelligence_polarity,intelligence_evidence,value_mentioned,value_polarity,value_evidence
dongchedi::7659057754979455038,7659057754979455038,AION RT,2026-07-05 22:59:00,old_v1,40,0ca836cbeb901223a97c2812f8b4c77b8567cf2e5ed5e143736696b64ddd040d,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,622,256,366,186,808,off_peak,0.000205072,0.0014765184,2026-08-24T05:41:37.457876+00:00,2026-08-24T05:41:41.011426+00:00,True,1.0,外观比较好看,True,1.0,内饰也还可以,False,,,False,,,False,,,False,,,True,1.0,续航还可以，没什么虚电,True,-1.0,配置比较简单，省去了一键功能,False,,,False,,
dongchedi::7324116642336624702,7324116642336624702,AION S,2024-01-15 08:33:00,old_v1,162,7eeb67bb5b05bc55e39fe4d700c459635d0e4db3226a58e82532b66b12125d6b,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,685,512,173,198,883,off_peak,0.000172324,0.0012407328,2026-08-24T05:29:04.226396+00:00,2026-08-24T05:29:07.015942+00:00,True,1.0,我个人比较喜欢但并不惊艳,True,1.0,内饰简洁漂亮是我喜欢的风格,True,1.0,空间大、软包多适合家用,False,,,True,1.0,操控还不错，方向盘交轻，指向精准,False,,,True,-1.0,差不多三百公里就要充电,False,,,False,,,False,,
dongchedi::6955392567760392222,6955392567760392222,ID.4 X,2021-04-26 17:15:00,old_v1,946,782dd7dc3765d7c59f0f9b3acc790cd5732d3d2200c1ce57f7f1c79dc98c0853,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1149,512,637,243,1392,off_peak,0.00030410400000000003,0.0021895488,2026-08-24T05:42:08.615664+00:00,2026-08-24T05:42:12.095611+00:00,True,1.0,设计方面采用大众品牌最新电动车家族设计语言,True,1.0,内饰整体氛围充分满足年轻消费者的个性化需求,False,,,True,1.0,稍稍对“电门”施加压力，车头便会微微上扬,True,1.0,过弯时，车尾的跟随性变得利索,True,-1.0,这台车对于胎噪的抑制并不是那么出色,True,0.0,NEDC工况下续航里程为555公里,True,1.0,还加入了气动按摩功能,True,1.0,智能车联网部分，是与百度一同开发而成,False,,
dongchedi::7447033020965474328,7447033020965474328,IQ傲歌,2024-12-11 14:14:00,old_v1,340,4eb3da1f279e1fc0e1dcd562c6bf041006a7dd2f1b91ca59902e610d9728c14d,autopulse_absa_v3_2026-08-24,False,ValueError: interior.evidence is not an exact quote from the review,3,deepseek-v4-flash,deepseek-v4-flash,disabled,,2478,2048,430,664,3142,off_peak,0.000547176,0.0039396672,2026-08-24T05:42:08.616237+00:00,2026-08-24T05:42:23.378549+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dongchedi::7204036902884741157,7204036902884741157,IQ锐歌,2023-02-25 18:22:00,old_v1,546,6249029e3c6fc67a8643fd24785c2163eec342aa076933ef005174b49f4a9e2a,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,918,512,406,221,1139,off_peak,0.000238764,0.0017191008000000002,2026-08-24T05:42:23.381589+00:00,2026-08-24T05:42:27.305081+00:00,True,1.0,外观相比较于现在主流的新能源汽车设计上有很大的不同,True,1.0,不论外观还是内饰都很豪华,True,-1.0,第二排的乘坐空间并不算大,False,,,True,1.0,底盘有高级感,True,1.0,对于路面细碎的震动过滤的很不错,True,1.0,跑高速下来大概是一个92折的样子,True,1.0,保留的大量的实体按键,True,-1.0,车机系统还有可以优化的地方,False,,
dongchedi::7550526380799184958,7550526380799184958,MG4,2025-09-16 11:43:44,dongchedi_incremental,1912,b7c093fd20bea547cf39ec59e97be36a3b3a4f8589a524f8b6e1bcdcd1afda66,autopulse_absa_v3_2026-08-24,True,,3,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1743,512,1231,378,2121,off_peak,0.0005238840000000001,0.0037719648000000008,2026-08-24T05:44:24.801641+00:00,2026-08-24T05:44:38.587541+00:00,True,0.0,车头在远一点的地方看的时候有点像大众的一款车,False,,,True,1.0,在空间上我觉得还挺大的，都基本跟我自己车子的空间差不多了,True,1.0,运动模式的时候它出现的推背感还挺强的,True,1.0,它比我去试那个p7的转向更精准,True,-1.0,在过坑或者过减速带的时候它的地盘表现就是属于偏硬的那种,True,0.0,这次在电耗方面是中规中矩吧,True,-1.0,就一个开后备箱的开关还设计的那么隐蔽,True,1.0,我觉得它这次的雨夜模式是个值得点赞的配置,False,,
dongchedi::7574347529051967550,7574347529051967550,MG4,2025-11-19 16:46:09,dongchedi_incremental,332,4164a637732c05c13d29689b97e136981c297504b29c1375b350864d1aa760e9,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,796,512,284,227,1023,off_peak,0.00021588399999999998,0.0015543648,2026-08-24T05:43:43.307838+00:00,2026-08-24T05:43:52.638909+00:00,False,,,False,,,True,1.0,空间非常的宽裕，一点也不拥挤,True,1.0,动力非常足，比我的油车好开多了,True,0.0,操纵性不太好，我自己更换了轮毂和轮胎,True,-1.0,轮胎噪音有点大，我又把轮胎周围做了隔音,True,0.0,续航还可以，现在是2025年11月19日,True,-1.0,功能少了比较多。需要自己买个行车记录仪,False,,,False,,
dongchedi::7582225431508553752,7582225431508553752,MG4,2025-12-11 00:04:12,dongchedi_incremental,312,7baf5f7895b380db3500b23c5ae36da9fa8a0be18defbc2b820ca8336933c78b,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,791,512,279,220,1011,off_peak,0.00021016400000000002,0.0015131808,2026-08-24T05:29:42.362867+00:00,2026-08-24T05:29:45.492411+00:00,True,1.0,家里人也都很喜欢这款车的颜值,True,-1.0,内饰颜色太浅了，紫内紫外中控台也是浅色系,True,1.0,车内空间也大就决定买了,False,,,False,,,False,,,True,1.0,现在气温1-10度的话13-14电耗也挺不错,False,,,False,,,True,1.0,发布会后价格太顶了就直接转了大定
dongchedi::7591775308919869502,7591775308919869502,MG4,2026-01-05 15:33:44,dongchedi_incremental,47,b008316604fa02b12c2a4b1b329130ee8e6d74bafa92082fd0a71c6ac0ce38b7,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,617,512,105,189,806,off_peak,0.00015142400000000002,0.0010902528000000002,2026-08-24T05:29:35.043600+00:00,2026-08-24T05:29:37.895124+00:00,False,,,False,,,False,,,True,1.0,动力还行,False,,,False,,,False,,,True,0.0,配置也还可以 电动座椅 方向盘加热 空调啥的 缺一个360℃的雷达,False,,,False,,
dongchedi::7645106399449452606,7645106399449452606,MG4,2026-05-29 08:40:50,dongchedi_incremental,1102,4b734a469d72a265366bd906396c5eab2c9d3c5c061d1148b07d99efa25ca618,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1302,512,790,177,1479,off_peak,0.000294204,0.0021182688000000002,2026-08-24T05:29:46.438023+00:00,2026-08-24T05:29:49.152812+00:00,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,-1.0,处处是坑，防不胜防
dongchedi::7666702077640331289,7666702077640331289,MG4,2026-07-26 13:23:06,dongchedi_incremental,281,c458499e4bb357274b65e5ecaeb5d15d15a756e0004fb532e1d055633361a12b,autopulse_absa_v3_2026-08-24,False,"SSLError: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))",3,deepseek-v4-flash,deepseek-v4-flash,disabled,,0,0,0,0,0,off_peak,0.0,0.0,2026-08-24T05:44:06.771093+00:00,2026-08-24T05:44:20.583614+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
