aspect,label,review_count,share
appearance,1.0,10386,0.6280082234853066
appearance,0.0,5678,0.3433305115491595
appearance,-1.0,474,0.028661264965533922
interior,0.0,8433,0.5099165558108598
interior,1.0,5579,0.33734429798040877
interior,-1.0,2526,0.1527391462087314
space,1.0,8971,0.5424476962147781
space,0.0,5779,0.34943765872535976
space,-1.0,1788,0.10811464505986214
power,1.0,8648,0.5229169186116822
power,0.0,6433,0.3889829483613496
power,-1.0,1457,0.08810013302696819
control,1.0,8020,0.48494376587253596
control,0.0,6569,0.3972064336679163
control,-1.0,1949,0.11784980045954771
comfort,0.0,6109,0.36939170395452897
comfort,1.0,5929,0.35850767928407307
comfort,-1.0,4500,0.272100616761398
fuel_consumption,1.0,6707,0.4055508525819325
fuel_consumption,0.0,6352,0.38408513725964444
fuel_consumption,-1.0,3479,0.21036401015842301
configuration,1.0,6525,0.3945458943040271
configuration,0.0,6010,0.3634054903857782
configuration,-1.0,4003,0.2420486153101947
intelligence,0.0,8394,0.5075583504655944
intelligence,-1.0,4564,0.2759704921997823
intelligence,1.0,3580,0.2164711573346233
value,0.0,7841,0.4741202080058048
value,1.0,7289,0.44074253234974
value,-1.0,1408,0.08513725964445519
