series_name_canonical,pre_test_reviews,legacy_absa_reviews,legacy_absa_coverage
AION RT,96,89,0.9270833333333334
AION S,100,84,0.84
AION UT,93,89,0.956989247311828
EO 羿欧,4,4,1.0
EVOS,10,0,0.0
ID.4 CROZZ,197,173,0.8781725888324873
ID.4 X,200,153,0.765
ID.6 CROZZ,10,0,0.0
IQ傲歌,34,34,1.0
IQ锐歌,98,97,0.9897959183673469
MG4,142,0,0.0
MG6,194,0,0.0
MG7,27,0,0.0
Model 3,93,38,0.40860215053763443
Model Y,95,53,0.5578947368421052
PATHFINDER探陆,10,0,0.0
Polestar 4,65,64,0.9846153846153847
QQ冰淇淋,15,0,0.0
RAV4荣放,98,49,0.5
T-ROC探歌,10,0,0.0
eπ007,6,0,0.0
e爱丽舍,1,1,1.0
firefly萤火虫,95,89,0.9368421052631579
iCAR 03,10,0,0.0
世纪,39,37,0.9487179487179487
东风本田S7,32,29,0.90625
丰田bZ3,58,58,1.0
丰田bZ5,56,52,0.9285714285714286
五菱佳辰,10,0,0.0
五菱宏光,10,0,0.0
五菱征程,10,0,0.0
五菱星云,10,0,0.0
五菱星光,10,0,0.0
五菱星驰,10,0,0.0
亚洲狮,10,0,0.0
亚洲龙,93,45,0.4838709677419355
享域,10,0,0.0
伊兰特,100,40,0.4
传祺E8新能源,18,0,0.0
传祺GA8,10,0,0.0
传祺M6,98,85,0.8673469387755102
传祺M8,100,70,0.7
元PLUS,98,94,0.9591836734693877
元UP,89,82,0.9213483146067416
冠道,100,35,0.35
凌宝BOX,10,8,0.8
凌尚,10,0,0.0
凌放HARRIER,10,0,0.0
凌渡,197,123,0.6243654822335025
凡尔赛C5 X,94,91,0.9680851063829787
凯威德,1,0,0.0
凯美瑞,99,69,0.696969696969697
凯翼拾月,13,0,0.0
凯迪拉克CT5,100,49,0.49
凯迪拉克XT5,94,53,0.5638297872340425
凯迪拉克XT6,100,46,0.46
别克E4,10,0,0.0
别克GL6,10,0,0.0
别克GL8,100,42,0.42
别克GL8新能源,17,0,0.0
勇士,10,0,0.0
北京EU5,10,0,0.0
北京现代ix35,10,0,0.0
博越REV,16,15,0.9375
卡罗拉,98,50,0.5102040816326531
卡罗拉双擎E+,10,0,0.0
卡罗拉锐放,90,86,0.9555555555555556
合创A06,10,0,0.0
吉利ICON,99,48,0.48484848484848486
吉利熊猫,10,0,0.0
君威,100,60,0.6
君越,96,47,0.4895833333333333
启辰D60,98,64,0.6530612244897959
启辰T60,10,0,0.0
唐新能源,18,0,0.0
嘉华,100,66,0.66
型格,100,99,0.99
埃尚,5,4,0.8
夏,69,67,0.9710144927536232
大众CC,200,139,0.695
大众ID.3,199,183,0.9195979899497487
大家7,10,0,0.0
大家9,10,0,0.0
大通G10,43,23,0.5348837209302325
大通G50,99,49,0.494949494949495
大通G70,7,7,1.0
大通G90,26,26,1.0
天籁,100,60,0.6
奇骏,100,71,0.71
奔奔E-Star,3,0,0.0
奔腾小马,81,78,0.9629629629629629
奔驰A级,100,61,0.61
奔驰C级,97,50,0.5154639175257731
奔驰E级,88,47,0.5340909090909091
奔驰GLB,98,71,0.7244897959183674
奔驰GLC,95,49,0.5157894736842106
奔驰V级,83,44,0.5301204819277109
奕炫,100,47,0.47
奕跑,82,38,0.4634146341463415
奥德赛,99,57,0.5757575757575758
奥迪A3,96,68,0.7083333333333334
奥迪A4L,100,65,0.65
奥迪A5L,96,90,0.9375
奥迪A5L Sportback,93,91,0.978494623655914
奥迪A6L,99,47,0.47474747474747475
奥迪A6L e-tron,1,1,1.0
奥迪A7L,98,95,0.9693877551020408
奥迪E5 Sportback,69,62,0.8985507246376812
奥迪Q2L,100,16,0.16
奥迪Q3,100,57,0.57
奥迪Q3 Sportback,99,64,0.6464646464646465
奥迪Q4 e-tron,100,98,0.98
奥迪Q5 e-tron,80,80,1.0
奥迪Q5L,94,56,0.5957446808510638
奥迪Q5L Sportback,100,64,0.64
奥迪Q6L Sportback e-tron,16,16,1.0
奥迪Q6L e-tron,53,52,0.9811320754716981
威兰达,98,78,0.7959183673469388
威朗,100,100,1.0
威然,179,121,0.6759776536312849
威霆,39,31,0.7948717948717948
威飒,99,99,1.0
宋L EV,99,98,0.98989898989899
宋PLUS新能源,20,0,0.0
宋Pro新能源,1,0,0.0
宏光MINIEV,18,0,0.0
宝来,199,118,0.592964824120603
宝马1系,10,0,0.0
宝马2系,23,23,1.0
宝马3系,100,63,0.63
宝马5系,100,60,0.6
宝马X1,99,63,0.6363636363636364
宝马X2,10,0,0.0
宝马X3,95,56,0.5894736842105263
宝马X5,96,93,0.96875
宝马i3,98,96,0.9795918367346939
宝马i5,40,38,0.95
宝马iX1,48,48,1.0
宝马iX3,10,0,0.0
宝骏KiWi EV,10,0,0.0
小米SU7,74,28,0.3783783783783784
小虎FEV,5,2,0.4
小鹏G3,9,0,0.0
小鹏P5,10,0,0.0
小鹏P7,10,0,0.0
小鹏P7+,27,0,0.0
小鹏X9,26,0,0.0
岚图追光L,15,0,0.0
帕萨特,195,138,0.7076923076923077
广汽本田P7,27,27,1.0
库斯途,99,86,0.8686868686868687
影豹,100,73,0.73
微蓝6,99,95,0.9595959595959596
思域,100,72,0.72
悦意03,61,58,0.9508196721311475
悦意07,13,12,0.9230769230769231
护卫舰07,10,0,0.0
捷豹XEL,10,0,0.0
捷豹XFL,98,80,0.8163265306122449
捷达VA3,89,42,0.47191011235955055
捷达VA7,18,18,1.0
探岳,196,136,0.6938775510204082
探岳X,199,85,0.4271356783919598
探界者,100,71,0.71
探险者,94,61,0.648936170212766
揽境,198,148,0.7474747474747475
揽巡,195,189,0.9692307692307692
日产N6,83,77,0.927710843373494
日产N7,91,91,1.0
日产NX8,34,18,0.5294117647058824
昂科威,97,48,0.4948453608247423
昊铂GT,10,0,0.0
星海S7,36,36,1.0
