aspect,eligible_review_rows,platform_rating_reviews,platform_rating_coverage,text_mentioned_reviews,text_mention_coverage,text_positive_mentions,text_neutral_mentions,text_negative_mentions
appearance,24175,24078,0.996,16275,0.6732,9375,3826,3074
interior,24175,24078,0.996,14731,0.6093,6822,3440,4469
space,24175,24078,0.996,17568,0.7267,9268,3886,4414
power,24175,7338,0.3035,16740,0.6925,7611,3849,5280
control,24175,6488,0.2684,14626,0.605,7086,3242,4298
comfort,24175,6488,0.2684,16498,0.6824,8035,2689,5774
fuel_consumption,24175,5155,0.2132,17149,0.7094,6413,4909,5827
configuration,24175,22592,0.9345,14247,0.5893,6256,3378,4613
intelligence,24175,0,0.0,10995,0.4548,3809,2609,4577
value,24175,0,0.0,15316,0.6335,7357,3942,4017
