forecast_month,information_cutoff_exclusive,series_rows,series_with_any_prior_review,series_with_recent_180d_review,all_prior_review_rows,recent_180d_review_rows
2022-04,2022-04-01 00:00:00,202,135,132,5598,2276
2022-05,2022-05-01 00:00:00,205,134,129,5659,2146
2022-06,2022-06-01 00:00:00,203,151,146,6513,2357
2022-07,2022-07-01 00:00:00,201,152,147,6957,2462
2022-08,2022-08-01 00:00:00,204,150,147,7507,2542
2022-09,2022-09-01 00:00:00,203,147,140,8027,2616
2022-10,2022-10-01 00:00:00,195,145,136,7768,2418
2022-11,2022-11-01 00:00:00,209,162,154,8637,2498
2022-12,2022-12-01 00:00:00,204,161,151,9103,2503
2023-01,2023-01-01 00:00:00,208,167,155,9173,2311
2023-02,2023-02-01 00:00:00,196,161,143,9357,1883
2023-03,2023-03-01 00:00:00,207,164,141,9341,1530
2023-04,2023-04-01 00:00:00,241,173,147,10068,1625
2023-05,2023-05-01 00:00:00,235,173,148,10288,1464
2023-06,2023-06-01 00:00:00,235,174,143,10197,1199
2023-07,2023-07-01 00:00:00,224,164,138,9875,1108
2023-08,2023-08-01 00:00:00,234,175,138,10311,1074
2023-09,2023-09-01 00:00:00,235,178,135,10560,1003
2023-10,2023-10-01 00:00:00,229,185,139,10556,979
2023-11,2023-11-01 00:00:00,226,179,127,10706,962
2023-12,2023-12-01 00:00:00,236,185,121,10831,977
2024-01,2024-01-01 00:00:00,246,196,131,11891,1064
2024-02,2024-02-01 00:00:00,239,194,126,11517,1041
2024-03,2024-03-01 00:00:00,227,186,116,10960,829
2024-04,2024-04-01 00:00:00,266,189,120,11185,833
2024-05,2024-05-01 00:00:00,260,190,118,11153,853
2024-06,2024-06-01 00:00:00,276,204,127,11758,851
2024-07,2024-07-01 00:00:00,270,203,125,11597,889
2024-08,2024-08-01 00:00:00,282,213,127,12510,837
2024-09,2024-09-01 00:00:00,279,218,135,12797,840
2024-10,2024-10-01 00:00:00,265,203,132,11637,870
2024-11,2024-11-01 00:00:00,276,215,145,12698,862
2024-12,2024-12-01 00:00:00,276,223,147,13020,849
2025-01,2025-01-01 00:00:00,276,222,146,13380,916
2025-02,2025-02-01 00:00:00,284,228,139,13747,851
2025-03,2025-03-01 00:00:00,284,232,145,14086,856
2025-04,2025-04-01 00:00:00,317,241,151,13468,928
2025-05,2025-05-01 00:00:00,299,232,148,13399,957
2025-06,2025-06-01 00:00:00,314,246,161,13655,981
2025-07,2025-07-01 00:00:00,362,293,191,16680,1315
2025-08,2025-08-01 00:00:00,362,297,204,17119,1657
2025-09,2025-09-01 00:00:00,362,304,217,17505,1933
2025-10,2025-10-01 00:00:00,362,313,235,18006,2181
2025-11,2025-11-01 00:00:00,362,319,253,18620,2518
2025-12,2025-12-01 00:00:00,362,325,263,19295,2928
2026-01,2026-01-01 00:00:00,371,330,272,19905,3189
2026-02,2026-02-01 00:00:00,371,331,272,20538,3361
2026-03,2026-03-01 00:00:00,371,332,275,21011,3487
2026-04,2026-04-01 00:00:00,371,333,272,21556,3531
2026-05,2026-05-01 00:00:00,371,336,271,22094,3458
2026-06,2026-06-01 00:00:00,371,339,266,22690,3348
