series_name,date,sentiment_review_count_prior_all,sentiment_review_count_180d,sentiment_available_prior,sentiment_available_180d,platform_rating_overall_sentiment_180d_mean,platform_rating_overall_polarity_180d_mean,text_global_polarity_180d_mean,platform_rating_appearance_sentiment_180d_mean,text_appearance_polarity_180d_mean,platform_rating_interior_sentiment_180d_mean,text_interior_polarity_180d_mean,platform_rating_space_sentiment_180d_mean,text_space_polarity_180d_mean,platform_rating_power_sentiment_180d_mean,text_power_polarity_180d_mean,platform_rating_control_sentiment_180d_mean,text_control_polarity_180d_mean,platform_rating_comfort_sentiment_180d_mean,text_comfort_polarity_180d_mean,platform_rating_fuel_consumption_sentiment_180d_mean,text_fuel_consumption_polarity_180d_mean,platform_rating_configuration_sentiment_180d_mean,text_configuration_polarity_180d_mean,platform_rating_intelligence_sentiment_180d_mean,text_intelligence_polarity_180d_mean,platform_rating_value_sentiment_180d_mean,text_value_polarity_180d_mean,text_appearance_mentioned_180d_count,text_interior_mentioned_180d_count,text_space_mentioned_180d_count,text_power_mentioned_180d_count,text_control_mentioned_180d_count,text_comfort_mentioned_180d_count,text_fuel_consumption_mentioned_180d_count,text_configuration_mentioned_180d_count,text_intelligence_mentioned_180d_count,text_value_mentioned_180d_count
AION S,2022-04-01,23,13,1,1,0.5384615384615384,0.07692307692307693,-0.23076923076923078,0.7692307692307693,0.2857142857142857,0.5769230769230769,-0.3,0.5384615384615384,0.4,0.6666666666666666,0.1,0.5277777777777778,-0.1,0.6111111111111112,0.4,,0.2222222222222222,0.46153846153846156,-0.4,,0.16666666666666666,,0.625,7,10,10,10,10,10,9,10,6,8
EVOS,2022-04-01,2,2,1,1,0.595,0.0,-1.0,0.75,1.0,0.25,0.0,1.0,-0.5,0.5,0.0,0.5,0.0,0.75,1.0,0.5,0.5,,-1.0,,-1.0,,0.0,2,2,2,2,2,2,2,2,2,2
ID.4 CROZZ,2022-04-01,69,51,1,1,0.6931372549019608,0.49019607843137253,-0.3137254901960784,0.8235294117647058,0.17647058823529413,0.5931372549019608,0.10344827586206896,0.7549019607843137,0.12195121951219512,0.7058823529411765,0.20588235294117646,0.7941176470588235,0.20930232558139536,0.8235294117647058,0.2558139534883721,,-0.2916666666666667,0.6666666666666666,-0.023809523809523808,,-0.41304347826086957,,0.2,34,29,41,34,43,43,48,42,46,40
ID.4 X,2022-04-01,59,18,1,1,0.5916666666666667,0.2222222222222222,0.3888888888888889,0.7222222222222222,0.5384615384615384,0.625,0.5,0.6805555555555556,0.7142857142857143,0.5,0.5714285714285714,0.6944444444444444,0.07692307692307693,0.6388888888888888,0.4,,0.0,0.5277777777777778,0.25,,0.14285714285714285,,-0.3333333333333333,13,12,14,14,13,15,17,12,14,9
ID.6 CROZZ,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
IQ锐歌,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
MG4,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
MG6,2022-04-01,148,46,1,1,0.507391304347826,0.021739130434782608,-0.391304347826087,0.7119565217391305,0.4444444444444444,0.4673913043478261,0.08823529411764706,0.5434782608695652,0.1,0.5234375,-0.06976744186046512,0.546875,-0.03125,0.234375,-0.02857142857142857,,0.0,0.46195652173913043,-0.2222222222222222,,-0.3684210526315789,,-0.09090909090909091,36,34,40,43,32,35,34,27,19,33
Model 3,2022-04-01,58,26,1,1,0.6499999999999999,0.2692307692307692,0.15384615384615385,0.8653846153846154,0.42857142857142855,0.5,0.06666666666666667,0.375,-0.11764705882352941,0.9166666666666666,0.43478260869565216,0.9,0.3181818181818182,0.4,0.23809523809523808,,0.0,0.5769230769230769,0.14285714285714285,,0.18181818181818182,,0.09090909090909091,21,15,17,23,22,21,26,21,22,22
Model Y,2022-04-01,62,42,1,1,0.6797619047619047,0.42857142857142855,-0.2857142857142857,0.7797619047619048,0.0,0.5119047619047619,-0.10714285714285714,0.8333333333333334,0.325,0.9396551724137931,0.5833333333333334,0.8362068965517241,0.3157894736842105,0.3103448275862069,0.0,,0.10526315789473684,0.625,-0.22580645161290322,,-0.030303030303030304,,-0.0625,31,28,40,36,38,37,38,31,33,32
QQ冰淇淋,2022-04-01,6,6,1,1,0.18500000000000003,-0.6666666666666666,-0.3333333333333333,0.5833333333333334,0.2,0.3333333333333333,0.4,0.08333333333333333,-0.3333333333333333,-0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.5,,-0.5,0.08333333333333333,0.2,,0.0,,0.0,5,5,6,5,4,4,6,5,1,6
RAV4荣放,2022-04-01,59,19,1,1,0.47105263157894733,0.0,-0.5789473684210527,0.6973684210526315,0.08333333333333333,0.11842105263157894,-0.625,0.618421052631579,0.11764705882352941,0.40384615384615385,-0.5,0.46153846153846156,-0.2222222222222222,0.38461538461538464,-0.2631578947368421,,-0.05555555555555555,0.32894736842105265,-0.0625,,-0.16666666666666666,,0.26666666666666666,12,16,17,16,18,19,18,16,6,15
T-ROC探歌,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
e爱丽舍,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
五菱佳辰,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
五菱宏光S,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
