identity,review_id,review_id_key,series_name,publish_time,corpus_source,platform,content_source,content_len,rating_overall,legacy_available,prompt_version,requested_model,scored_at,text_global_polarity,label_source,manual_qa_status,deepseek_appearance_raw_polarity,deepseek_appearance_legacy_compatible,deepseek_appearance_api_mentioned,uniform_local_appearance_mentioned,deepseek_interior_raw_polarity,deepseek_interior_legacy_compatible,deepseek_interior_api_mentioned,uniform_local_interior_mentioned,deepseek_space_raw_polarity,deepseek_space_legacy_compatible,deepseek_space_api_mentioned,uniform_local_space_mentioned,deepseek_power_raw_polarity,deepseek_power_legacy_compatible,deepseek_power_api_mentioned,uniform_local_power_mentioned,deepseek_control_raw_polarity,deepseek_control_legacy_compatible,deepseek_control_api_mentioned,uniform_local_control_mentioned,deepseek_comfort_raw_polarity,deepseek_comfort_legacy_compatible,deepseek_comfort_api_mentioned,uniform_local_comfort_mentioned,deepseek_fuel_consumption_raw_polarity,deepseek_fuel_consumption_legacy_compatible,deepseek_fuel_consumption_api_mentioned,uniform_local_fuel_consumption_mentioned,deepseek_configuration_raw_polarity,deepseek_configuration_legacy_compatible,deepseek_configuration_api_mentioned,uniform_local_configuration_mentioned,deepseek_intelligence_raw_polarity,deepseek_intelligence_legacy_compatible,deepseek_intelligence_api_mentioned,uniform_local_intelligence_mentioned,deepseek_value_raw_polarity,deepseek_value_legacy_compatible,deepseek_value_api_mentioned,uniform_local_value_mentioned,content_sha256
dongchedi::7433233998773489688,7433233998773489688,7433233998773489688,AION RT,2024-11-04 09:44:00,old_v1,dongchedi,,631,3.8,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,22bb25c66da37f33d43ba6b3964ba306887120aa9f237c4b4e532fc15d5344b1
dongchedi::7434339953368109118,7434339953368109118,7434339953368109118,AION RT,2024-11-07 09:15:00,old_v1,dongchedi,,1236,4.1,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,0.0,0,,0,1.0,1,,1,0.0,0,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,97c59474db44f65997876720abfe1c023fe1a53103b4742964b9f82b2f10df6e
dongchedi::7439160003048525848,7439160003048525848,7439160003048525848,AION RT,2024-11-20 09:00:00,old_v1,dongchedi,,871,3.9,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,0.0,0,,0,-1.0,-1,,1,0.0,0,,1,0.0,0,,1,1.0,1,,1,0.0,0,,1,0.0,0,,1,1.0,1,,1,0.0,0,,0,cdcf26a5d72d26f55792572d3360ad28e67ad16d9648a52ebac6b8ffb62e8e85
dongchedi::7442243301412966425,7442243301412966425,7442243301412966425,AION RT,2024-11-28 16:58:00,old_v1,dongchedi,,325,3.9,True,,,,0,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,-1.0,-1,,1,1.0,1,,0,a9c3667d9d0f87b1a824223affb536a7fa7ab1b1cf2e68dc05c089c6ae9d52fe
dongchedi::7442875764778733630,7442875764778733630,7442875764778733630,AION RT,2024-11-30 09:46:00,old_v1,dongchedi,,444,4.7,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,1,0.0,0,,1,-1.0,-1,,1,1.0,1,,1,0.0,0,,1,f502ec36d6bfd546df07e8d122a32dc82a229bb440f6cbbca47ea664909435f2
dongchedi::7442938576909635608,7442938576909635608,7442938576909635608,AION RT,2024-11-30 13:22:00,old_v1,dongchedi,,921,4.7,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,1.0,1,,1,1.0,1,,1,0.0,0,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,894f451953c5791b18d8f81f267132dd301067e45470298301ed5c665c7f3fb1
dongchedi::7443782249561985048,7443782249561985048,7443782249561985048,AION RT,2024-12-02 20:03:00,old_v1,dongchedi,,462,4.8,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,1,1.0,1,,1,1.0,1,,0,1.0,1,,1,1.0,1,,1,acd442db7de9cf411e258d955a67e7142c488547c8d67b93f2cee92dca0b154c
dongchedi::7443828122543198233,7443828122543198233,7443828122543198233,AION RT,2024-12-02 23:00:00,old_v1,dongchedi,,366,4.6,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,0.0,0,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,1,0.0,0,,0,0.0,0,,0,1.0,1,,1,8017d0803e710c6bd36a0c80701650bc588e15d39110f0ae0e4c5afcd28db2e0
dongchedi::7444021854240526360,7444021854240526360,7444021854240526360,AION RT,2024-12-03 11:26:00,old_v1,dongchedi,,527,4.6,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,1,0.0,0,,1,0.0,0,,0,1.0,1,,0,1.0,1,,1,-1.0,-1,,1,-1.0,-1,,1,0.0,0,,0,1.0,1,,1,af278ca347598ac0d435f6cc673f68610fe25333c92198850e3571f7c576f337
dongchedi::7444199046090084377,7444199046090084377,7444199046090084377,AION RT,2024-12-03 22:54:00,old_v1,dongchedi,,295,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,d1332041d67c5b81e0fde6597ca5b187c547e5f57c232cb75be4476f1ef0fdc0
dongchedi::7444473540125921305,7444473540125921305,7444473540125921305,AION RT,2024-12-04 17:00:00,old_v1,dongchedi,,345,4.9,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,-1.0,-1,,0,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,0f967b2901ac93f25ff2847478dbe90cc173522e1ac8182afcd38e69f87a4ae9
dongchedi::7445949804263247897,7445949804263247897,7445949804263247897,AION RT,2024-12-08 17:21:00,old_v1,dongchedi,,511,4.6,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,1,0.0,0,,0,0.0,0,,0,0.0,0,,1,1.0,1,,1,0.0,0,,1,0a0c5d40170eff0c028fb0e39ec96e2de2c2de90b98553f141e1598666f93228
dongchedi::7446610102661943320,7446610102661943320,7446610102661943320,AION RT,2024-12-10 11:20:00,old_v1,dongchedi,,311,3.8,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,0,-1.0,-1,,1,-1.0,-1,,1,-1.0,-1,,0,0.0,0,,0,b6b1692ad42209f80849adffd4ba297c77908b3bfe3687fafecffc1402970d17
dongchedi::7446971112447021081,7446971112447021081,7446971112447021081,AION RT,2024-12-11 10:28:00,old_v1,dongchedi,,531,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,0,1.0,1,,1,-1.0,-1,,0,1.0,1,,1,0.0,0,,0,bdd2657e0788ae40b25db2bc560605eb479ffdad1ecd2bfa979ea7cba029989b
dongchedi::7447152323702296638,7447152323702296638,7447152323702296638,AION RT,2024-12-11 21:59:00,old_v1,dongchedi,,572,4.8,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,0.0,0,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,1.0,1,,0,d2c7b85d861e8a641e116c667fe311411a1d92142229ba2f5bfd97759379fb0f
dongchedi::7448073431473475609,7448073431473475609,7448073431473475609,AION RT,2024-12-14 09:45:00,old_v1,dongchedi,,840,4.6,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,5fe0226b0f58aec285182da766e36f364ab6628b8b6cf6563aa5c3435f7999b1
dongchedi::7448163811292368921,7448163811292368921,7448163811292368921,AION RT,2024-12-14 15:21:00,old_v1,dongchedi,,380,4.6,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,387613b1daf1d947ef8f5a5167d1dc1ac2fb018d290cdf91e710feae332c84e3
dongchedi::7448268489816543257,7448268489816543257,7448268489816543257,AION RT,2024-12-14 23:08:00,old_v1,dongchedi,,660,4.6,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,1,-1.0,-1,,1,-1.0,-1,,1,1.0,1,,1,34d8a6279f5c18ae744e6f083cc5f24b4684f11b338ac10929d9121a0e28a8c5
dongchedi::7450347157585924121,7450347157585924121,7450347157585924121,AION RT,2024-12-20 12:36:00,old_v1,dongchedi,,544,4.2,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,-1.0,-1,,1,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,-1.0,-1,,1,1.0,1,,1,3a95c7c153d5683fdff0396b4ea4129ef66039a79e0f7f1d39ecb36417cb0689
dongchedi::7451415935090429976,7451415935090429976,7451415935090429976,AION RT,2024-12-23 09:46:00,old_v1,dongchedi,,318,4.7,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,1.0,1,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,0,082f50539c23251d52bf02b20a0c0be95b07c7c071fe0444f0c3c28fbdc917e6
dongchedi::7451526631467798553,7451526631467798553,7451526631467798553,AION RT,2024-12-23 16:49:00,old_v1,dongchedi,,386,3.7,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,0.0,0,,0,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,-1.0,-1,,1,0.0,0,,0,043367afd7ac143c30c38922d2602b2e0944c503d52ff2a397fd1ad6de6f884a
dongchedi::7452595655085674520,7452595655085674520,7452595655085674520,AION RT,2024-12-26 13:57:00,old_v1,dongchedi,,300,4.4,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,1,1.0,1,,0,1.0,1,,1,0.0,0,,0,b3180db64e4ba77b688b62259ca38c261e8b06f4f48524c30154835e63f8fdf2
dongchedi::7452600174347571262,7452600174347571262,7452600174347571262,AION RT,2024-12-26 14:16:00,old_v1,dongchedi,,181,4.4,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,f9c8cda2b07aca298fd997a94dd0d93ca199bbffb89e659713043585a773aea6
dongchedi::7454043234637975577,7454043234637975577,7454043234637975577,AION RT,2024-12-30 11:35:00,old_v1,dongchedi,,814,4.5,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,80d8c712914ad8592e43ea34d5344eacad11057ba593ac47e58152bffdf0ba78
dongchedi::7454206697163198489,7454206697163198489,7454206697163198489,AION RT,2024-12-30 22:09:00,old_v1,dongchedi,,316,4.8,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,1,-1.0,-1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,a2330958045f23fd10291f789a9258444f733f3c32a77fdad144accd1781cc1d
dongchedi::7454422019573043225,7454422019573043225,7454422019573043225,AION RT,2024-12-31 12:11:00,old_v1,dongchedi,,324,4.7,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,0,1.0,1,,1,-1.0,-1,,0,-1.0,-1,,1,0.0,0,,0,57828e71071b3bb559468c405bd8ac44be33d913d04e19e33a6371e862d13f5d
dongchedi::7469365999217692696,7469365999217692696,7469365999217692696,AION RT,2025-02-09 18:50:00,old_v1,dongchedi,,693,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,0,1.0,1,,1,d6d598f3ea1d50dcde5443a792a08c335e4ee7995455eb50f1eabaacb3c901ec
dongchedi::7473752349022900248,7473752349022900248,7473752349022900248,AION RT,2025-02-21 14:16:00,old_v1,dongchedi,,462,3.9,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,-1.0,-1,,1,1.0,1,,1,0.0,0,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,6d953cd991363678538e211f6f2d1035a0a649e856250cbebfdf06bcf73bc321
dongchedi::7487912061024866329,7487912061024866329,7487912061024866329,AION RT,2025-04-01 09:22:00,old_v1,dongchedi,,547,4.7,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,23139181a4754c168ef2396869154f24daa542946d0b19f19c6ea10d7ba276a6
