series_name,autohome_series_id,cutoff,status,pages_fetched,source_total,eligible_records_seen,new_records_added,checked_at,error
唐新能源,3430,2025-12-31,ok,6,14255,18,18,2026-08-23T22:47:14,
宏光MINIEV,5714,2025-12-31,ok,11,1557,18,18,2026-08-23T22:48:53,
凯翼拾月,6845,2025-12-31,ok,3,24,13,13,2026-08-23T23:15:19,
别克GL8新能源,7658,2025-12-31,ok,3,187,10,10,2026-08-23T23:15:23,
宋Pro新能源,5279,2025-12-31,partial,8,3038,1,1,2026-08-24T01:28:08,
小鹏MONA M03,6998,2025-12-31,partial,8,269,0,0,2026-08-24T01:28:17,
小鹏P7+,7554,2025-12-31,ok,4,142,17,17,2026-08-24T01:28:22,
小鹏X9,7067,2025-12-31,ok,3,138,16,16,2026-08-24T01:28:25,
岚图梦想家,6459,2025-12-31,partial,8,1620,0,0,2026-08-24T01:28:34,
岚图追光L,8259,2025-12-31,partial,3,23,8,8,2026-08-24T01:28:37,
极氪001,6091,2025-12-31,ok,7,1499,16,16,2026-08-24T01:46:43,
极氪009,6846,2025-12-31,ok,7,362,17,17,2026-08-24T01:46:50,
汉,5499,2025-12-31,ok,6,11999,10,10,2026-08-24T01:46:57,
沃尔沃ES90,8050,2025-12-31,partial,1,1,0,0,2026-08-24T01:46:58,
秦L,7578,2025-12-31,partial,8,1079,0,0,2026-08-24T01:59:42,
秦PLUS,5964,2025-12-31,ok,6,10006,15,15,2026-08-24T01:59:47,
纳米01,7364,2025-12-31,ok,3,472,13,13,2026-08-24T01:59:51,
腾势D9,6669,2025-12-31,partial,8,2456,0,0,2026-08-24T01:59:58,
赛那SIENNA,6272,2025-12-31,partial,8,583,9,9,2026-08-24T02:00:06,
MG7,531,2025-12-31,ok,7,376,17,17,2026-08-24T11:06:49,
传祺E8新能源,7329,2025-12-31,ok,3,280,15,15,2026-08-24T11:06:52,
宋PLUS新能源,5761,2025-12-31,ok,2,5062,10,10,2026-08-24T11:06:55,
凯威德,8471,2025-12-31,partial,1,3,0,0,2026-08-24T11:47:08,
奥迪A6L e-tron,8105,2025-12-31,partial,3,21,0,0,2026-08-24T11:47:15,
海豹07EV,8462,2025-12-31,partial,8,90,0,0,2026-08-24T11:47:37,
铂智7,7724,2025-12-31,partial,8,124,0,0,2026-08-24T11:48:00,
银河V900,8436,2025-12-31,partial,1,5,0,0,2026-08-24T11:48:02,
银河星耀7,8313,2025-12-31,partial,8,104,0,0,2026-08-24T11:48:24,
领克10,8176,2025-12-31,ok,6,197,15,15,2026-08-24T11:48:42,
